,heuristic_param,seed,n_gen,reward,accuracy,variance,n_steps_proc,n_steps_acc,n_steps
5301,0.95,16,58,41.87248631858768,0.26875,31.08737002204098,216800,83480,300280
5302,0.95,16,59,36.43643158938323,0.26875,28.385423435115463,222160,83480,305640
5303,0.95,16,60,36.60727287777576,0.26875,26.539928428423632,227520,83480,311000
5304,0.95,16,61,37.84163014888914,0.26875,11.964694036370124,232880,83480,316360
5305,0.95,16,62,31.21035823768109,0.26875,25.97375692034561,238240,83480,321720
5306,0.95,16,63,38.97691352862009,0.26875,48.39467847436702,243600,83480,327080
5307,0.95,16,64,39.41828803283555,0.26875,30.38134390461904,248960,83480,332440
5308,0.95,16,65,36.39438093636856,0.26875,43.55135691348818,254320,83480,337800
5309,0.95,16,66,39.59546246756342,0.26875,39.9279555581568,259680,83480,343160
5310,0.95,16,67,38.33619583261925,0.26875,26.68716229499119,265040,83480,348520
5311,0.95,16,68,22.460746908206715,0.26875,27.49132038547857,270400,83480,353880
5312,0.95,16,69,37.616560691568,0.26875,151.48596702323647,275760,104350,380110
5313,0.95,16,70,43.10757033332435,0.26875,246.27395876703815,281120,104350,385470
5314,0.95,16,71,40.06897114633988,0.26875,144.05217655946848,286480,104350,390830
5315,0.95,16,72,32.07114664628661,0.26875,130.62445264194452,291840,104350,396190
5316,0.95,16,73,39.03714236187657,0.26875,13.761033847250156,297200,104350,401550
5317,0.95,16,74,-4.335900993664927,0.26875,186.2881681983889,302560,104350,406910
5318,0.95,16,75,35.34152228186252,0.26875,99.63164782641502,307920,104350,412270
5319,0.95,16,76,24.64611593295394,0.26875,80.34663638664077,313280,104350,417630
5320,0.95,16,77,32.65396463831453,0.26875,23.442899535598617,318640,104350,422990
5321,0.95,16,78,38.55702975788372,0.26875,100.81412912701146,324000,104350,428350
5322,0.95,16,79,35.34536562648495,0.26875,49.55989653063611,329360,104350,433710
5323,0.95,16,80,37.92950753673544,0.26875,22.754750129576077,334720,104350,439070
5324,0.95,16,81,29.230496650643524,0.26875,32.94691921013705,340080,104350,444430
5325,0.95,16,82,33.179797345847945,0.49375,49.1887120754919,349940,127470,477410
5326,0.95,16,83,30.48614262497698,0.49375,16.515197668664857,359800,127470,487270
5327,0.95,16,84,31.516756855023072,0.49375,55.45641674938943,369660,127470,497130
5328,0.95,16,85,45.90728742554752,0.49375,104.4357456995744,379520,127470,506990
5329,0.95,16,86,39.58134406632864,0.49375,253.1791815935797,389380,127470,516850
5330,0.95,16,87,-28.79803099282239,0.49375,379.9556242523553,399240,127470,526710
5331,0.95,16,88,2.848549933825596,0.49375,385.3077542229124,409100,127470,536570
5332,0.95,16,89,35.67134745923075,0.49375,146.93814653728504,418960,127470,546430
5333,0.95,16,90,33.79283270328741,0.49375,324.4941613268155,428820,150590,579410
5334,0.95,16,91,37.98716951297844,0.49375,158.4421889094512,438680,150590,589270
5335,0.95,16,92,40.55704232896437,0.49375,110.1621125013875,448540,150590,599130
5336,0.95,16,93,36.42270089198859,0.49375,46.86044811393423,458400,150590,608990
5337,0.95,16,94,23.179701918585373,0.49375,362.1006193357672,468260,150590,618850
5338,0.95,16,95,41.95293682160896,0.49375,36.15465402100921,478120,150590,628710
5339,0.95,16,96,35.530751932186,0.49375,326.2404734856133,487980,150590,638570
5340,0.95,16,97,41.39691600360367,0.49375,453.4903102457894,497840,150590,648430
5341,0.95,16,98,31.54947978289313,0.60625,402.4641653288818,509960,180460,690420
5342,0.95,16,99,5.356652847833678,0.60625,86.57806163192,522080,180460,702540
5343,0.95,16,100,53.348209033272745,0.60625,573.6539544306895,534200,180460,714660
5344,0.95,16,101,232.4265394282851,0.60625,1223.623777137823,546320,180460,726780
5345,0.95,16,102,32.020489384220845,0.60625,564.8767652999597,558440,180460,738900
5346,0.95,16,103,17.485106376231183,0.60625,851.174617387844,570560,180460,751020
5347,0.95,16,104,43.3372831403891,0.94375,3768.953966554274,589420,212580,802000
5348,0.95,16,105,197.16749227196345,0.94375,4675.814410240589,608280,212580,820860
5349,0.95,16,106,-14.45315953965662,0.94375,4628.752525467568,627140,212580,839720
5350,0.95,16,107,-20.90891632815859,0.94375,3749.454579638928,646000,212580,858580
5351,0.95,16,108,165.96168814252138,0.94375,4854.945470448927,664860,212580,877440
5352,0.95,16,109,113.17806887974018,0.94375,5226.057608668589,683720,244700,928420
5353,0.95,16,110,164.36267713162553,0.94375,6313.596307959191,702580,244700,947280
5354,0.95,16,111,262.33956181266046,0.94375,4649.080891852061,721440,244700,966140
5355,0.95,16,112,46.04296183465916,0.94375,6652.345280110136,740300,244700,985000
5356,0.95,16,113,308.6404079004332,0.94375,9226.359403381595,759160,244700,1003860
5357,0.95,17,1,-12.430059335639234,0.15625,273.84046865048174,3120,20870,23990
5358,0.95,17,2,-23.50367920775667,0.15625,273.5902593274925,6240,20870,27110
5359,0.95,17,3,-11.805332397262124,0.15625,234.50902259975587,9360,20870,30230
5360,0.95,17,4,-16.941572102726976,0.15625,281.3428879336989,12480,20870,33350
5361,0.95,17,5,-12.317398509830817,0.15625,330.68001773626395,15600,20870,36470
5362,0.95,17,6,-22.80379849795764,0.15625,169.49452466658175,18720,20870,39590
5363,0.95,17,7,-7.6726721540111695,0.15625,215.5612236986952,21840,20870,42710
5364,0.95,17,8,23.272402154015214,0.15625,231.48214334738668,24960,20870,45830
5365,0.95,17,9,12.2861694056684,0.15625,229.3560711774306,28080,20870,48950
5366,0.95,17,10,15.50851058513815,0.15625,270.15993301127384,31200,20870,52070
5367,0.95,17,11,-36.22289098913193,0.15625,136.7192006815436,34320,20870,55190
5368,0.95,17,12,13.442552959870593,0.15625,131.42297545146,37440,20870,58310
5369,0.95,17,13,34.84944023174049,0.15625,276.6450474383449,40560,20870,61430
5370,0.95,17,14,14.931315052679532,0.15625,189.766463655271,43680,20870,64550
5371,0.95,17,15,17.48244925868603,0.15625,187.2173217245356,46800,20870,67670
5372,0.95,17,16,17.203739988828893,0.15625,288.6085205075482,49920,20870,70790
5373,0.95,17,17,12.953569697404898,0.15625,247.24530254525945,53040,20870,73910
5374,0.95,17,18,-18.0918612412936,0.15625,270.7634307295274,56160,20870,77030
5375,0.95,17,19,17.003748602224732,0.15625,104.62297910851352,59280,20870,80150
5376,0.95,17,20,14.931315052679532,0.15625,194.60718590387475,62400,20870,83270
5377,0.95,17,21,-12.524544493968106,0.15625,304.19686301799845,65520,20870,86390
