,heuristic_param,seed,n_gen,reward,accuracy,variance,n_steps_proc,n_steps_acc,n_steps
0,0.95,7,1,-24.435086602728198,0.15625,288.2692497144292,3120,20870,23990
1,0.95,7,2,-17.538185094349892,0.15625,179.0068966909732,6240,20870,27110
2,0.95,7,3,-28.215297638466428,0.15625,204.56784402078532,9360,20870,30230
3,0.95,7,4,10.38023327450296,0.15625,196.62217226615326,12480,20870,33350
4,0.95,7,5,-12.472601489714988,0.15625,250.1692741867627,15600,20870,36470
5,0.95,7,6,9.614228948181701,0.15625,230.03598589816806,18720,20870,39590
6,0.95,7,7,21.433030033781865,0.15625,188.05469880786205,21840,20870,42710
7,0.95,7,8,27.7032954766645,0.15625,225.42951862390524,24960,20870,45830
8,0.95,7,9,12.609088035452213,0.15625,262.50682223911474,28080,20870,48950
9,0.95,7,10,9.614228948181701,0.15625,181.82266094968355,31200,20870,52070
10,0.95,7,11,-19.762998374728262,0.15625,300.13596766727164,34320,20870,55190
11,0.95,7,12,-26.64299611738222,0.15625,290.2075310086519,37440,20870,58310
12,0.95,7,13,18.707145396448478,0.15625,330.7078450024934,40560,20870,61430
13,0.95,7,14,18.411902832859468,0.15625,342.53404342282255,43680,20870,64550
14,0.95,7,15,23.04498761450614,0.15625,193.4629836785141,46800,20870,67670
15,0.95,7,16,-19.944706704421673,0.15625,299.81667509657933,49920,20870,70790
16,0.95,7,17,27.7032954766645,0.15625,176.0209213916726,53040,20870,73910
17,0.95,7,18,22.045842771957997,0.15625,262.3661707846021,56160,20870,77030
18,0.95,7,19,32.93753210357492,0.15625,194.407752520446,59280,20870,80150
19,0.95,7,20,-16.883278177260955,0.15625,206.6842717081182,62400,20870,83270
20,0.95,7,21,16.530150915649667,0.15625,401.501567589649,65520,20870,86390
21,0.95,7,22,9.614228948181701,0.15625,209.24848323408006,68640,41740,110380
22,0.95,7,23,37.661144814713644,0.15625,412.8833312231679,71760,41740,113500
23,0.95,7,24,30.8380576008633,0.15625,289.22387952028976,74880,41740,116620
24,0.95,7,25,26.957424295503227,0.15625,148.8133789841406,78000,41740,119740
25,0.95,7,26,31.958740396278728,0.15625,125.36134147425726,81120,41740,122860
26,0.95,7,27,25.932315542356413,0.15625,96.63318954471622,84240,41740,125980
27,0.95,7,28,32.84613377235121,0.15625,62.96272275655417,87360,41740,129100
28,0.95,7,29,48.842891349386186,0.15625,44.014832784244675,90480,41740,132220
29,0.95,7,30,38.51380217969844,0.15625,97.91586592873674,93600,41740,135340
30,0.95,7,31,36.595521247816905,0.15625,100.18387270545601,96720,41740,138460
31,0.95,7,32,27.715017085722458,0.15625,75.93960928847368,99840,41740,141580
