,accuracy,seed,n_gen,xbest,score,elapsed_time
0,0.55,2,0,"[3, 0.5779913066042683, 0.6967334250589352, 0.5135911355364616, 1.8663509526224145, 9]",0.44153984806085705,47.56769895553589
1,0.55,2,1,"[3, 0.5779913066042683, 0.6967334250589352, 0.5135911355364616, 1.8663509526224145, 9]",0.44153984806085705,98.52661466598511
2,0.55,2,2,"[3, 0.4026571029893973, 0.6740535784668765, 0.5844514852750243, 1.1090465003098262, 6]",0.4586892546178539,151.15479135513306
3,0.55,2,3,"[3, 0.5314044757968176, 0.569636224413396, 0.604341445126469, 0.617316736737044, 0]",0.47663965141457065,204.61938977241516
4,0.55,2,4,"[3, 0.5314044757968176, 0.569636224413396, 0.604341445126469, 0.617316736737044, 0]",0.47663965141457065,262.592001914978
5,0.55,2,5,"[3, 0.4634168656293204, 0.6346468041911411, 0.5706386175323706, 0.5822749705917063, 6]",0.488046673334964,327.77816677093506
