,accuracy,seed,n_gen,xbest,score,elapsed_time
0,1.0,2,0,"[3, 0.5779913066042683, 0.6967334250589352, 0.5135911355364616, 1.8663509526224145, 9]",0.44153984806085705,72.02219033241272
1,1.0,2,1,"[3, 0.5779913066042683, 0.6967334250589352, 0.5135911355364616, 1.8663509526224145, 9]",0.44153984806085705,144.39844465255737
2,1.0,2,2,"[3, 0.5779913066042683, 0.6967334250589352, 0.5135911355364616, 1.8663509526224145, 9]",0.44153984806085705,220.81368470191956
3,1.0,2,3,"[3, 0.6356931667551825, 0.6967016642326453, 0.4620933790476001, 0.9915260741541309, 26]",0.5023207363980027,305.7986042499542
