,seed,n_gen,score,readjustement,accuracy,variance,elapsed_time_proc,elapsed_time_acc,elapsed_time
0,2,0,0.441539848060857,True,0.168957948907758,0.023423613216221,18.3016548156738,59.6071681976318,77.9088230133057
1,2,1,0.441539848060857,False,0.168957948907758,0.016478399874055,38.8777809143066,59.6071681976318,98.4849491119385
2,2,2,0.441539848060857,False,0.168957948907758,0.019217244546866,63.6856479644775,59.6071681976318,123.292816162109
3,2,3,0.490340847576657,False,0.168957948907758,0.022408961943939,87.2232291698456,59.6071681976318,146.830397367477
4,2,4,0.490340847576657,False,0.168957948907758,0.026483557761113,116.672012805939,59.6071681976318,176.279181003571
5,2,5,0.490340847576657,False,0.168957948907758,0.013495643773693,147.993121862412,59.6071681976318,207.600290060043
6,2,6,0.491755743433903,False,0.168957948907758,0.037479185494346,177.05308675766,59.6071681976318,236.660254955292
7,2,7,0.491755743433903,False,0.168957948907758,0.021398209955252,204.396723985672,59.6071681976318,264.003892183304
8,2,8,0.491755743433903,False,0.168957948907758,0.030337580109959,231.473224639893,59.6071681976318,291.080392837524
9,2,9,0.491755743433903,False,0.168957948907758,0.006526241578789,261.388391494751,59.6071681976318,320.995559692383
10,2,10,0.492037570612041,False,0.168957948907758,0.011807006267445,293.653225660324,59.6071681976318,353.260393857956
11,2,11,0.492037570612041,False,0.168957948907758,0.016718248719681,322.535216331482,59.6071681976318,382.142384529114
12,2,12,0.492978658256741,False,0.168957948907758,0.007257351449921,355.775210142136,59.6071681976318,415.382378339768
13,2,13,0.492978658256741,False,0.168957948907758,0.010475882774427,387.454895973206,59.6071681976318,447.062064170837
14,2,14,0.492189464139687,False,0.168957948907758,0.004102741718278,421.70041847229,59.6071681976318,481.307586669922
15,2,15,0.492189464139687,False,0.168957948907758,0.000210882749125,453.810944795609,59.6071681976318,513.41811299324
16,2,16,0.494998937389832,False,0.168957948907758,0.004729867689785,489.590756177902,59.6071681976318,549.197924375534
17,2,17,0.494998937389832,False,0.168957948907758,0.010459078647908,521.373109102249,59.6071681976318,580.980277299881
18,2,18,0.500263852034523,False,0.168957948907758,0.012545658400395,552.580622911453,59.6071681976318,612.187791109085
19,2,19,0.500263852034523,False,0.168957948907758,0.011118953491795,582.789440155029,59.6071681976318,642.396608352661
20,2,20,0.500263852034523,False,0.168957948907758,0.009045081564528,614.328384160995,59.6071681976318,673.935552358627
21,2,21,0.500263852034523,False,0.168957948907758,0.00726519755328,647.229181528091,59.6071681976318,706.836349725723
22,2,22,0.503417056083882,False,0.168957948907758,0.006480326086301,676.192331790924,59.6071681976318,735.799499988556
23,2,23,0.523687447817992,False,0.168957948907758,0.005200948803214,708.453424453735,59.6071681976318,768.060592651367
24,2,24,0.523687447817992,False,0.168957948907758,0.021691876489728,743.410623073578,59.6071681976318,803.01779127121
25,2,25,0.523687447817992,True,0.168957948907758,0.012789165454031,781.014183044434,164.799853801727,945.814036846161
26,2,26,0.523687447817992,False,0.168957948907758,0.002091908467955,820.861974477768,164.799853801727,985.661828279495
27,2,27,0.523687447817992,False,0.168957948907758,0.008276157571532,858.726871490479,164.799853801727,1023.52672529221
28,2,28,0.523687447817992,False,0.168957948907758,0.011514203775429,899.369488716125,164.799853801727,1064.16934251785
29,2,29,0.523687447817992,False,0.168957948907758,0.002142290564456,940.293304204941,164.799853801727,1105.09315800667
30,2,30,0.523687447817992,False,0.168957948907758,0.002271725215954,983.975192546844,164.799853801727,1148.77504634857
31,2,31,0.523492767528549,False,0.168957948907758,0.000128998347454,1028.44394612312,164.799853801727,1193.24379992485
32,2,32,0.523492767528549,False,0.168957948907758,0.01811353869947,1069.08883190155,164.799853801727,1233.88868570328
33,2,33,0.523492767528549,False,0.168957948907758,0.006049777901685,1106.83947563171,164.799853801727,1271.63932943344
34,2,34,0.523569103565984,False,0.168957948907758,0.006535329484132,1146.28666591644,164.799853801727,1311.08651971817
35,2,35,0.523569103565984,False,0.168957948907758,0.003859000982593,1187.64468050003,164.799853801727,1352.44453430176
36,2,36,0.523569103565984,False,0.168957948907758,0.000910664687734,1228.0258333683,164.799853801727,1392.82568717003
37,2,37,0.523569103565984,False,0.168957948907758,0.004450079693734,1267.33422160149,164.799853801727,1432.13407540321
38,2,38,0.524482112588797,False,0.168957948907758,0.002908611771524,1311.04763531685,164.799853801727,1475.84748911858
39,2,39,0.525524258622148,False,0.168957948907758,0.004350509157904,1356.48353886604,164.799853801727,1521.28339266777
40,2,40,0.525524258622148,False,0.168957948907758,0.010387550005841,1402.7057390213,164.799853801727,1567.50559282303
41,2,41,0.525524258622148,True,0.652073417560559,0.005944854846775,1484.25071263313,288.625774860382,1772.87648749352
42,2,42,0.389030418762867,False,0.652073417560559,0.001640127327872,1559.72385525703,288.625774860382,1848.34963011742
43,2,43,0.389030418762867,False,0.652073417560559,0.004163856033246,1635.93617033958,288.625774860382,1924.56194519997
44,2,44,0.389030418762867,False,0.652073417560559,0.002874887975295,1720.27723145485,288.625774860382,2008.90300631523
45,2,45,0.389030418762867,False,0.652073417560559,3.66021135603556E-06,1795.45931887627,288.625774860382,2084.08509373665
46,2,46,0.389030418762867,False,0.652073417560559,0.004582670248189,1870.24268436432,288.625774860382,2158.8684592247
47,2,47,0.389030418762867,False,0.652073417560559,0.002987708328506,1950.42288446426,288.625774860382,2239.04865932465
48,2,48,0.389030418762867,False,0.652073417560559,0.004706131468509,2030.01809930801,288.625774860382,2318.6438741684
49,2,49,0.525361445814933,False,0.652073417560559,0.002484462973434,2111.73129153252,288.625774860382,2400.3570663929
