,seed,n_gen,xbest,score,readjustment,accuracy,variance,elapsed_time_proc,elapsed_time_acc,elapsed_time
0,2,0,"[3, 0.5779913066042683, 0.6967334250589352, 0.5135911355364616, 1.8663509526224145, 9]",0.44153984806085705,True,0.16895794890775848,0.02342361321622138,8.144906282424927,22.75482988357544,30.899736166000366
1,2,1,"[3, 0.5779913066042683, 0.6967334250589352, 0.5135911355364616, 1.8663509526224145, 9]",0.44153984806085705,False,0.16895794890775848,0.014955194698011395,17.143908739089966,22.75482988357544,39.898738622665405
2,2,2,"[3, 0.40716961613857466, 0.6524857431235191, 0.6361226754140408, 0.42698253129991737, 18]",0.4445482003366292,False,0.16895794890775848,0.019494182606110955,27.302027463912964,22.75482988357544,50.0568573474884
3,2,3,"[3, 0.5927343429672873, 0.661580080255831, 0.49202575793349645, 0.12731837476821553, 2]",0.4869782504107756,False,0.16895794890775848,0.03138254496561779,37.68460416793823,22.75482988357544,60.43943405151367
4,2,4,"[3, 0.43572794991553265, 0.6998059446778221, 0.5448471992787998, 0.1658403725384151, 25]",0.4849009303733752,False,0.16895794890775848,0.025801627990193716,47.01263880729675,22.75482988357544,69.76746869087219
5,2,5,"[3, 0.6058203038440517, 0.6991379682966432, 0.4685825631647682, 1.112943226139893, 19]",0.49497213192969386,False,0.16895794890775848,0.034023015519069,55.8147132396698,22.75482988357544,78.56954312324524
6,2,6,"[3, 0.6058203038440517, 0.6991379682966432, 0.4685825631647682, 1.112943226139893, 19]",0.49497213192969386,False,0.16895794890775848,0.015915504675463068,66.15202736854553,22.75482988357544,88.90685725212097
7,2,7,"[3, 0.6058203038440517, 0.6991379682966432, 0.4685825631647682, 1.112943226139893, 19]",0.49497213192969386,False,0.16895794890775848,0.029693263195077025,76.33874845504761,22.75482988357544,99.09357833862305
8,2,8,"[3, 0.6058203038440517, 0.6991379682966432, 0.4685825631647682, 1.112943226139893, 19]",0.49497213192969386,False,0.16895794890775848,0.026688593055625914,89.95021605491638,22.75482988357544,112.70504593849182
9,2,9,"[3, 0.5801673053720161, 0.6663445327129832, 0.4926557088970025, 0.6787770253466625, 20]",0.5107774940054028,False,0.16895794890775848,0.02089867551874724,101.27507066726685,22.75482988357544,124.02990055084229
10,2,10,"[3, 0.5801673053720161, 0.6663445327129832, 0.4926557088970025, 0.6787770253466625, 20]",0.5107774940054028,False,0.16895794890775848,0.040874127052643296,111.79349756240845,22.75482988357544,134.5483274459839
11,2,11,"[3, 0.6880714704465528, 0.6994724043692695, 0.4217593452756135, 1.3557592313842441, 18]",0.5110733116816341,False,0.16895794890775848,0.033143144166551966,121.72026944160461,22.75482988357544,144.47509932518005
12,2,12,"[3, 0.6880714704465528, 0.6994724043692695, 0.4217593452756135, 1.3557592313842441, 18]",0.5110733116816341,False,0.16895794890775848,0.023781372867500674,132.1876015663147,22.75482988357544,154.94243144989014
13,2,13,"[3, 0.6902388747198838, 0.6776951351088298, 0.42947531138877315, 0.7117595006367605, 20]",0.5196291445124406,False,0.16895794890775848,0.04255878792737602,143.21946716308594,22.75482988357544,165.97429704666138
14,2,14,"[3, 0.6902388747198838, 0.6776951351088298, 0.42947531138877315, 0.7117595006367605, 20]",0.5196291445124406,False,0.16895794890775848,0.014556521233382158,152.23177814483643,22.75482988357544,174.98660802841187
15,2,15,"[3, 0.6902388747198838, 0.6776951351088298, 0.42947531138877315, 0.7117595006367605, 20]",0.5196291445124406,False,0.16895794890775848,0.008154206826386918,160.83704543113708,22.75482988357544,183.59187531471252
16,2,16,"[3, 0.6902388747198838, 0.6776951351088298, 0.42947531138877315, 0.7117595006367605, 20]",0.5196291445124406,False,0.16895794890775848,0.007754087190338495,172.2748990058899,22.75482988357544,195.02972888946533
17,2,17,"[3, 0.6902388747198838, 0.6776951351088298, 0.42947531138877315, 0.7117595006367605, 20]",0.5196291445124406,False,0.16895794890775848,0.007084084790567664,182.73540687561035,22.75482988357544,205.4902367591858
18,2,18,"[3, 0.6902388747198838, 0.6776951351088298, 0.42947531138877315, 0.7117595006367605, 20]",0.5196291445124406,False,0.16895794890775848,0.006917014895416561,193.20198822021484,22.75482988357544,215.95681810379028
19,2,19,"[3, 0.6902388747198838, 0.6776951351088298, 0.42947531138877315, 0.7117595006367605, 20]",0.5196291445124406,False,0.16895794890775848,0.00646484936169766,202.81374526023865,22.75482988357544,225.5685751438141
20,2,20,"[3, 0.6902388747198838, 0.6776951351088298, 0.42947531138877315, 0.7117595006367605, 20]",0.5196291445124406,False,0.16895794890775848,0.005421253623456622,212.3342604637146,22.75482988357544,235.08909034729004
21,2,21,"[3, 0.6902388747198838, 0.6776951351088298, 0.42947531138877315, 0.7117595006367605, 20]",0.5196291445124406,False,0.16895794890775848,0.0018395173189855913,219.72259426116943,22.75482988357544,242.47742414474487
22,2,22,"[3, 0.6902388747198838, 0.6776951351088298, 0.42947531138877315, 0.7117595006367605, 20]",0.5196291445124406,False,0.16895794890775848,0.002723213512043257,228.12110233306885,22.75482988357544,250.8759322166443
23,2,23,"[3, 0.6902388747198838, 0.6776951351088298, 0.42947531138877315, 0.7117595006367605, 20]",0.5196291445124406,False,0.16895794890775848,0.030699397885474357,236.20425724983215,22.75482988357544,258.9590871334076
24,2,24,"[3, 0.6902388747198838, 0.6776951351088298, 0.42947531138877315, 0.7117595006367605, 20]",0.5196291445124406,False,0.16895794890775848,0.009239327969462042,244.4669268131256,22.75482988357544,267.22175669670105
