,N,seed,n_gen,n_eval,score,time
0,50,0,1,1,0.199338715,9.969849586
1,45,0,1,1,0.200701624,9.349796534
2,40,0,1,1,0.200085066,6.810615301
3,35,0,1,1,0.199945116,8.784791708
4,30,0,1,1,0.200066533,6.265166759
5,25,0,1,1,0.199756582,8.133468151
6,20,0,1,1,0.200498938,5.796601057
7,15,0,1,1,0.201726314,7.820010185
8,10,0,1,1,0.198925592,5.82788229
9,5,0,1,1,0.202899304,10.08440137
10,50,0,1,2,0.439028253,6.909551382
11,45,0,1,2,0.437778919,8.442364931
12,40,0,1,2,0.440476897,6.261372566
13,35,0,1,2,0.440209276,7.453704834
14,30,0,1,2,0.438821133,5.452681541
15,25,0,1,2,0.438614494,7.019972801
16,20,0,1,2,0.437638331,5.043656588
17,15,0,1,2,0.434628641,5.498198032
18,10,0,1,2,0.443233665,3.957513809
19,5,0,1,2,0.443373581,3.963541508
20,50,0,1,3,0.391373813,11.41315007
21,45,0,1,3,0.39017532,15.06915355
22,40,0,1,3,0.388622152,10.45937157
23,35,0,1,3,0.392907586,14.85705304
24,30,0,1,3,0.389537423,9.874497414
25,25,0,1,3,0.385752767,13.9882977
26,20,0,1,3,0.395859715,9.42329669
27,15,0,1,3,0.386696504,13.73902035
28,10,0,1,3,0.401611136,7.439461946
29,5,0,1,3,0.405708409,10.99173236
30,50,0,1,4,0.273027963,13.30033636
31,45,0,1,4,0.269714475,18.16603398
32,40,0,1,4,0.273685088,12.53324175
33,35,0,1,4,0.270058037,17.33716774
34,30,0,1,4,0.273268126,11.89890456
35,25,0,1,4,0.269088041,16.72018313
36,20,0,1,4,0.276482742,10.94758272
37,15,0,1,4,0.267773546,16.24963498
38,10,0,1,4,0.277836182,10.80196238
39,5,0,1,4,0.274233996,17.42740059
40,50,0,1,5,0.245966933,12.44914436
41,45,0,1,5,0.242482576,16.33163404
42,40,0,1,5,0.247079297,11.32596254
43,35,0,1,5,0.241965686,15.76558208
44,30,0,1,5,0.248100014,10.95046186
45,25,0,1,5,0.240675519,15.36538124
46,20,0,1,5,0.246984154,10.62304091
47,15,0,1,5,0.241624322,14.81606889
48,10,0,1,5,0.25283146,9.328932524
49,5,0,1,5,0.238230113,13.44818497
50,50,0,1,6,0.43582658,6.613494873
51,45,0,1,6,0.435618045,8.075371265
52,40,0,1,6,0.435331793,6.047998667
53,35,0,1,6,0.43666683,7.455970764
54,30,0,1,6,0.43460348,5.458904743
55,25,0,1,6,0.437361653,7.077451468
56,20,0,1,6,0.435034979,4.89098382
57,15,0,1,6,0.437488524,6.705771208
58,10,0,1,6,0.441269694,4.889680386
59,5,0,1,6,0.443312426,8.224955082
60,50,0,1,7,0.419119934,6.174342632
61,45,0,1,7,0.417827866,7.422478199
62,40,0,1,7,0.421118264,5.614661694
63,35,0,1,7,0.420623066,7.083522558
64,30,0,1,7,0.420160885,5.19863987
65,25,0,1,7,0.419709031,6.48045969
66,20,0,1,7,0.419399592,3.913642883
67,15,0,1,7,0.414927136,5.039093256
68,10,0,1,7,0.426451043,3.055904627
69,5,0,1,7,0.427771573,4.074311256
70,50,0,1,8,0.127483626,10.86220241
71,45,0,1,8,0.133863644,13.9170928
72,40,0,1,8,0.126791645,9.80792141
73,35,0,1,8,0.125422746,12.95542765
74,30,0,1,8,0.133759089,9.132717371
75,25,0,1,8,0.122191111,12.24023843
76,20,0,1,8,0.13376338,8.096853495
77,15,0,1,8,0.135608009,11.05125141
78,10,0,1,8,0.136221598,7.248044729
79,5,0,1,8,0.136874632,10.13814569
80,50,0,1,9,0.294916967,9.098925591
81,45,0,1,9,0.292460824,11.64265656
82,40,0,1,9,0.295489585,8.489439011
83,35,0,1,9,0.293090848,10.93025661
84,30,0,1,9,0.296524617,7.791953325
85,25,0,1,9,0.291551922,10.5375967
86,20,0,1,9,0.297098566,7.268021345
87,15,0,1,9,0.292588954,9.955404758
88,10,0,1,9,0.30061844,6.598426342
89,5,0,1,9,0.295031653,10.13178086
90,50,0,1,10,0.482390608,6.385867357
91,45,0,1,10,0.480950338,8.07954216
92,40,0,1,10,0.484391621,5.859583616
93,35,0,1,10,0.481860446,7.278699636
94,30,0,1,10,0.478739471,5.333474874
95,25,0,1,10,0.485652423,6.894201756
96,20,0,1,10,0.484660231,3.834481001
97,15,0,1,10,0.477818581,4.961221457
98,10,0,1,10,0.484609417,3.863498926
99,5,0,1,10,0.488332801,5.124842644
100,50,0,2,1,0.346304003,5.876715422
101,45,0,2,1,0.343978388,6.819379568
102,40,0,2,1,0.34711094,5.254119158
103,35,0,2,1,0.346985091,6.26002717
104,30,0,2,1,0.344913878,4.748152256
105,25,0,2,1,0.348308427,5.897566319
106,20,0,2,1,0.345124357,4.297032595
107,15,0,2,1,0.341510423,5.844233751
108,10,0,2,1,0.350351604,4.554214716
109,5,0,2,1,0.351677319,8.54323864
110,50,0,2,2,0.383535089,10.73027587
111,45,0,2,2,0.386681988,14.26551461
112,40,0,2,2,0.384665175,10.08365822
113,35,0,2,2,0.388904668,13.59893012
114,30,0,2,2,0.386488105,9.365905523
115,25,0,2,2,0.383385637,13.05891228
116,20,0,2,2,0.389445267,8.785387993
117,15,0,2,2,0.386625366,12.45578718
118,10,0,2,2,0.397691123,8.413894892
119,5,0,2,2,0.401516078,13.31791496
120,50,0,2,3,0.393493141,8.492959738
121,45,0,2,3,0.395282973,10.85629439
122,40,0,2,3,0.392248859,7.880818367
123,35,0,2,3,0.394803963,10.23445773
124,30,0,2,3,0.393666894,7.373049021
125,25,0,2,3,0.390559363,9.832518339
126,20,0,2,3,0.396939773,6.77459836
