,N,seed,n_gen,n_eval,score,time
190,50,5,4,9,0.4924041262705048,10.460729122161865
191,40,5,4,9,0.49063144778449164,9.820513725280762
192,30,5,4,9,0.4924248914409987,9.19810676574707
193,20,5,4,9,0.49636949444960127,8.599502086639404
194,10,5,4,9,0.5028613524051697,8.414127588272095
195,50,5,4,10,0.5061793047903788,4.569667816162109
196,40,5,4,10,0.38112158678608116,4.072274684906006
197,30,5,4,10,0.3821558205232389,3.583409070968628
198,20,5,4,10,0.5061353947858124,3.1798758506774902
199,10,5,4,10,0.5075123217676012,2.398078203201294
200,50,5,5,1,0.3994092736243372,5.544865608215332
201,40,5,5,1,0.40006214078233876,4.83462929725647
202,30,5,5,1,0.40025835589895237,4.305772304534912
203,20,5,5,1,0.4053935049202797,3.7608284950256348
204,10,5,5,1,0.41307753166572003,3.507080554962158
205,50,5,5,2,0.018161470604431754,3.7177631855010986
206,40,5,5,2,0.018076626221468464,3.3495500087738037
207,30,5,5,2,0.018554095371024888,2.9107675552368164
208,20,5,5,2,0.017363651140331803,2.031572103500366
209,10,5,5,2,0.01750651976543532,1.4080655574798584
210,50,5,5,3,0.363305315248535,7.649479627609253
211,40,5,5,3,0.36319830167965933,7.070903301239014
212,30,5,5,3,0.3669243122241671,6.222872018814087
213,20,5,5,3,0.36809156388925945,5.7664642333984375
214,10,5,5,3,0.3763484565072991,5.114371061325073
215,50,5,5,4,0.014968314563201681,6.309426546096802
216,40,5,5,4,0.014534069941190811,5.740561246871948
217,30,5,5,4,0.014242434077413957,5.014374017715454
218,20,5,5,4,0.01474010507576696,4.554563999176025
219,10,5,5,4,0.01626210464233957,4.136486530303955
220,50,5,5,5,0.4526962229911111,11.015887260437012
221,40,5,5,5,0.45109556529143785,20.629855155944824
222,30,5,5,5,0.44877731210265315,9.271989345550537
223,20,5,5,5,0.44949974270888127,8.14929485321045
224,10,5,5,5,0.45743448250838364,7.837862253189087
225,50,5,5,6,0.49538585175100386,5.400255441665649
226,40,5,5,6,0.4979400709826703,4.879056453704834
227,30,5,5,6,0.4942529630594357,4.610885858535767
228,20,5,5,6,0.49716384903613314,4.23147177696228
229,10,5,5,6,0.49897984876190205,3.8800225257873535
230,50,5,5,7,0.5011481510863923,9.044121265411377
231,40,5,5,7,0.5024501852572273,8.633304119110107
232,30,5,5,7,0.5013295402754979,8.225569248199463
233,20,5,5,7,0.5004333200295792,6.940983772277832
234,10,5,5,7,0.5089919432808663,6.557663202285767
235,50,5,5,8,0.49763947244899676,4.889270544052124
236,40,5,5,8,0.4973412111745511,4.242971897125244
237,30,5,5,8,0.49707516128951906,3.6175172328948975
238,20,5,5,8,0.497467995699667,2.999264717102051
239,10,5,5,8,0.355193867168981,2.326965570449829
240,50,5,5,9,0.20773584411953466,5.432141542434692
241,40,5,5,9,0.2063347897579923,4.918590068817139
242,30,5,5,9,0.205206835720475,4.364557504653931
243,20,5,5,9,0.2074007701603212,3.8364696502685547
244,10,5,5,9,0.21139955118213535,3.5014586448669434
245,50,5,5,10,0.35235250784257954,7.166013479232788
246,40,5,5,10,0.3531667065041018,6.555380582809448
247,30,5,5,10,0.3535008700870951,5.976702451705933
248,20,5,5,10,0.3522504759181594,5.4401915073394775
249,10,5,5,10,0.35846492866623336,5.119933843612671
250,50,5,6,1,0.21388693845906595,3.454477548599243
251,40,5,6,1,0.21367523337326155,2.952017307281494
252,30,5,6,1,0.21419159046837677,2.5137596130371094
253,20,5,6,1,0.21333813509349098,2.1241395473480225
254,10,5,6,1,0.2138409783576054,2.008054256439209
255,50,5,6,2,0.015266628574921297,6.921010255813599
256,40,5,6,2,0.01520492411194662,6.256036758422852
257,30,5,6,2,0.015768738298747736,5.621542453765869
258,20,5,6,2,0.014819087764507927,5.0657267570495605
259,10,5,6,2,0.01685336132079022,4.669960021972656
260,50,5,6,3,0.1961734517991577,5.367376804351807
261,40,5,6,3,0.19806876186256464,4.826641321182251
262,30,5,6,3,0.19998585874490338,4.201237440109253
263,20,5,6,3,0.19979073918433793,3.6042447090148926
264,10,5,6,3,0.20410140825546177,3.03692364692688
265,50,5,6,4,0.0,9.260855436325073
266,40,5,6,4,0.0,7.978535890579224
267,30,5,6,4,0.0,7.50809121131897
268,20,5,6,4,0.0,6.877957582473755
269,10,5,6,4,0.0,6.177691459655762
270,50,5,6,5,0.19868642850322243,6.519646167755127
271,40,5,6,5,0.1980971428247549,6.098257541656494
272,30,5,6,5,0.19843924001022006,5.498539686203003
273,20,5,6,5,0.19903812570599794,5.2479634284973145
274,10,5,6,5,0.19991474557055047,3.763592004776001
275,50,5,6,6,0.3426441836633706,12.1006338596344
276,40,5,6,6,0.34395440753895756,11.33429741859436
277,30,5,6,6,0.34614986941939546,10.449626207351685
278,20,5,6,6,0.34886495044500904,8.937081575393677
279,10,5,6,6,0.3582775853678186,8.872138023376465
280,50,5,6,7,0.19237255820398239,8.357425689697266
281,40,5,6,7,0.19821529127021195,7.654383659362793
282,30,5,6,7,0.19328815663731233,6.751922369003296
283,20,5,6,7,0.1915759852130658,5.936920404434204
284,10,5,6,7,0.1916417282107676,4.909686088562012
285,50,5,6,8,0.01284971979900343,3.9667627811431885
286,40,5,6,8,0.012523435414556434,3.427988052368164
287,30,5,6,8,0.01236062408485589,2.860877275466919
288,20,5,6,8,0.012794023864871572,2.3741648197174072
289,10,5,6,8,0.01405498846454656,2.028195381164551
290,50,5,6,9,0.38290915839588574,8.192016839981079
291,40,5,6,9,0.3844566151389853,7.616694927215576
292,30,5,6,9,0.3842241267494083,7.103731632232666
293,20,5,6,9,0.3934737025284928,6.576526403427124
294,10,5,6,9,0.40313226246102074,6.945762395858765
295,50,5,6,10,0.49883801579510734,10.435545921325684
296,40,5,6,10,0.4940911304443746,9.81586766242981
297,30,5,6,10,0.4954610550629465,9.26347804069519
298,20,5,6,10,0.4984722263252913,8.48800778388977
299,10,5,6,10,0.5057815987266678,8.580520868301392
300,50,5,7,1,0.4858945442488116,6.202130079269409
301,40,5,7,1,0.4861995581419305,5.54806923866272
302,30,5,7,1,0.4883523537862398,4.922992944717407
303,20,5,7,1,0.48760344190617105,4.31855583190918
304,10,5,7,1,0.49201813999328115,3.814936876296997
305,50,5,7,2,0.21213149322319963,4.388354778289795
306,40,5,7,2,0.2116810624348156,3.9970035552978516
307,30,5,7,2,0.21373896593851913,3.5743608474731445
308,20,5,7,2,0.2117713802751793,2.6427738666534424
309,10,5,7,2,0.21281360033199315,1.9288973808288574
310,50,5,7,3,0.49761584199267983,5.850046873092651
311,40,5,7,3,0.5014332590733697,5.270297050476074
312,30,5,7,3,0.5027218287181239,4.721266746520996
313,20,5,7,3,0.501796677455714,4.439741611480713
314,10,5,7,3,0.5041631428820479,3.608569860458374
315,50,5,7,4,0.39855364140894267,4.486550331115723
316,40,5,7,4,0.401916971788909,3.887176036834717
317,30,5,7,4,0.4029858306790837,3.272642135620117
318,20,5,7,4,0.39417307390447115,2.7154572010040283
319,10,5,7,4,0.38824893959841383,2.2563109397888184
320,50,5,7,5,0.17115127441668793,6.06828498840332
321,40,5,7,5,0.17215873517606747,5.3548359870910645
322,30,5,7,5,0.17714319469035195,4.685580253601074
323,20,5,7,5,0.17197490024880896,4.137577295303345
324,10,5,7,5,0.17854787919564744,3.3110837936401367
325,50,5,7,6,0.2725606411688033,6.344066858291626
326,40,5,7,6,0.26914136329678406,5.682938098907471
327,30,5,7,6,0.2745059813214151,5.00372052192688
328,20,5,7,6,0.2697946483900442,4.407541751861572
329,10,5,7,6,0.25658240094472357,3.9907069206237793
330,50,5,7,7,0.22160106753004893,6.339240550994873
331,40,5,7,7,0.2219738794276394,5.833719491958618
332,30,5,7,7,0.018338628687014063,5.341909885406494
333,20,5,7,7,0.018097846008758675,4.895354747772217
334,10,5,7,7,0.01814304496997534,5.247276067733765
335,50,5,7,8,0.48453415500569014,6.054468631744385
336,40,5,7,8,0.4849274072078726,5.4624342918396
337,30,5,7,8,0.4852978377405453,4.859675407409668
338,20,5,7,8,0.4879465929064376,4.322008371353149
339,10,5,7,8,0.4921477064999013,3.9360220432281494
340,50,5,7,9,0.5034552477965256,7.3813745975494385
341,40,5,7,9,0.5019932018532651,6.7723047733306885
342,30,5,7,9,0.5009004314975517,6.21167778968811
343,20,5,7,9,0.5026736511468766,5.726920127868652
344,10,5,7,9,0.5087000014006159,5.661072015762329
345,50,5,7,10,0.44700012805949124,4.151362180709839
346,40,5,7,10,0.44694974015139094,3.735661268234253
347,30,5,7,10,0.446952504195733,3.3979127407073975
348,20,5,7,10,0.44292851088531054,3.124584674835205
349,10,5,7,10,0.4549205371377675,2.9594385623931885
350,50,5,8,1,0.38172090090229216,8.903751134872437
351,40,5,8,1,0.38248392686618315,8.140286207199097
352,30,5,8,1,0.38316252808211965,7.494892358779907
353,20,5,8,1,0.386216362602174,6.85239052772522
354,10,5,8,1,0.39252150909198735,6.452784299850464
355,50,5,8,2,0.38065668153361987,6.967427015304565
356,40,5,8,2,0.3796163508538554,6.443370580673218
357,30,5,8,2,0.382440519551794,6.038503170013428
358,20,5,8,2,0.3793257225038965,5.853747606277466
359,10,5,8,2,0.386561444017551,4.74891209602356
360,50,5,8,3,0.39223638905145797,9.376272678375244
361,40,5,8,3,0.3915940569566835,8.071146726608276
362,30,5,8,3,0.3902403117961577,7.389179944992065
363,20,5,8,3,0.3899809655765412,7.229938745498657
364,10,5,8,3,0.395233043839379,7.146589517593384
365,50,5,8,4,0.0,6.2297523021698
366,40,5,8,4,0.0,5.634308815002441
367,30,5,8,4,0.0,5.095242500305176
368,20,5,8,4,0.0,4.6328747272491455
369,10,5,8,4,0.0,4.32959508895874
370,50,5,8,5,0.3641707295911715,7.228464841842651
371,40,5,8,5,0.3638545422068967,6.518815755844116
372,30,5,8,5,0.3647015685665728,5.7890284061431885
373,20,5,8,5,0.36569889622965396,5.289338827133179
374,10,5,8,5,0.3633636765662555,4.782623291015625
375,50,5,8,6,0.4947300821497229,6.065215587615967
376,40,5,8,6,0.4935826643445236,5.657529592514038
377,30,5,8,6,0.494751087155561,5.136828422546387
378,20,5,8,6,0.4948091092521467,4.648176670074463
379,10,5,8,6,0.5022932855770165,5.009967088699341
380,50,5,8,7,0.47323888496685745,4.474741697311401
381,40,5,8,7,0.47696693308862925,3.840494394302368
382,30,5,8,7,0.4766039584805249,3.180894136428833
383,20,5,8,7,0.46989078820914326,2.572665214538574
384,10,5,8,7,0.47322730401569313,1.9164228439331055
385,50,5,8,8,0.49465477955701975,8.451414585113525
386,40,5,8,8,0.49581609946738453,7.814785480499268
387,30,5,8,8,0.495829509689366,7.276443243026733
388,20,5,8,8,0.4939566112136805,6.8681700229644775
389,10,5,8,8,0.497648006957515,6.510239362716675
390,50,5,8,9,0.0,6.6361658573150635
391,40,5,8,9,0.0,5.973056793212891
392,30,5,8,9,0.0,5.557537317276001
393,20,5,8,9,0.0,5.142358779907227
394,10,5,8,9,0.0,4.280591726303101
395,50,5,8,10,0.35528411945759514,4.78772497177124
396,40,5,8,10,0.35697690986730385,4.208428859710693
397,30,5,8,10,0.3584492126062591,3.6143229007720947
398,20,5,8,10,0.36030610283783143,3.032963275909424
399,10,5,8,10,0.3655625604081461,2.452993631362915
400,50,5,9,1,0.408117584960781,9.777361154556274
401,40,5,9,1,0.40946013151336746,9.087904691696167
402,30,5,9,1,0.4124858586872053,8.240779399871826
403,20,5,9,1,0.4134096209030791,7.589088678359985
404,10,5,9,1,0.42347324511247203,7.0802788734436035
405,50,5,9,2,0.4843831637252356,7.874182224273682
406,40,5,9,2,0.4829308603871479,7.264189958572388
407,30,5,9,2,0.4820708970271467,6.783394813537598
408,20,5,9,2,0.479528358539222,5.063403367996216
409,10,5,9,2,0.4894128354982329,4.884228229522705
410,50,5,9,3,0.4952247848890021,7.198251247406006
411,40,5,9,3,0.49411437205610503,6.688887357711792
412,30,5,9,3,0.4960206976940488,6.053744077682495
413,20,5,9,3,0.4988592886316882,5.4926917552948
414,10,5,9,3,0.5077271305314106,5.253300905227661
415,50,5,9,4,0.43230973249695814,6.375837326049805
416,40,5,9,4,0.4321254933726022,6.274006605148315
417,30,5,9,4,0.42861779650824533,4.5358686447143555
418,20,5,9,4,0.43001038364735433,4.046504497528076
419,10,5,9,4,0.4422345312609864,3.4733786582946777
420,50,5,9,5,0.0,5.030541658401489
421,40,5,9,5,0.0,4.465198278427124
422,30,5,9,5,0.0,3.9682979583740234
423,20,5,9,5,0.0,3.4396703243255615
424,10,5,9,5,0.0,3.007290840148926
425,50,5,9,6,0.44099747679200996,6.916325330734253
426,40,5,9,6,0.4433957241701767,6.254188776016235
427,30,5,9,6,0.44637615858672947,5.597869634628296
428,20,5,9,6,0.44643475293793394,5.0158796310424805
429,10,5,9,6,0.45464284816393075,4.697969436645508
430,50,5,9,7,0.4559531226499261,8.889528512954712
431,40,5,9,7,0.45108489829764,8.254631280899048
432,30,5,9,7,0.4535172263411212,7.631133079528809
433,20,5,9,7,0.4546997291737416,7.124107599258423
434,10,5,9,7,0.4641120058588209,7.357231378555298
435,50,5,9,8,0.0,6.591327905654907
436,40,5,9,8,0.0,5.990853309631348
437,30,5,9,8,0.0,5.4249632358551025
438,20,5,9,8,0.0,4.9088287353515625
439,10,5,9,8,0.0,4.455678701400757
440,50,5,9,9,0.497337590976858,5.310682773590088
441,40,5,9,9,0.49864158356359245,4.726377487182617
442,30,5,9,9,0.4999633120874465,4.130514621734619
443,20,5,9,9,0.5027684280742944,3.5530807971954346
444,10,5,9,9,0.36647311166685037,3.270190477371216
445,50,5,9,10,0.20304171567730098,6.094625473022461
446,40,5,9,10,0.20236553280712155,5.590678453445435
447,30,5,9,10,0.20246375573966313,5.028823137283325
448,20,5,9,10,0.2023392581670944,4.49310827255249
449,10,5,9,10,0.20730374850003294,3.986849546432495
450,50,5,10,1,0.4245475354668168,8.456535577774048
451,40,5,10,1,0.4215346310866433,7.620771169662476
452,30,5,10,1,0.42459649299326735,7.122633218765259
453,20,5,10,1,0.4295265153761735,6.544595003128052
454,10,5,10,1,0.442894679017583,6.932796478271484
455,50,5,10,2,0.20034730770464612,5.343906402587891
456,40,5,10,2,0.19879101562133653,4.937400579452515
457,30,5,10,2,0.19829083648444187,4.299786329269409
458,20,5,10,2,0.19810844918377807,3.7209813594818115
459,10,5,10,2,0.20397095490166078,3.579249620437622
460,50,5,10,3,0.48688530747245656,6.829122066497803
461,40,5,10,3,0.48644142776610094,6.240074634552002
462,30,5,10,3,0.4835510627508338,5.844174861907959
463,20,5,10,3,0.4821845247885721,5.327323913574219
464,10,5,10,3,0.4917592115841322,3.844010829925537
465,50,5,10,4,0.4860955838761308,6.041692018508911
466,40,5,10,4,0.48650680221878667,5.400497913360596
467,30,5,10,4,0.4856813678000492,4.819054841995239
468,20,5,10,4,0.49067247485490684,4.188148021697998
469,10,5,10,4,0.49352544763154466,3.767202377319336
470,50,5,10,5,0.4765761850973103,5.925569534301758
471,40,5,10,5,0.4759027079255811,5.359880685806274
472,30,5,10,5,0.47643139281080915,4.697508335113525
473,20,5,10,5,0.47286453406123063,4.2292163372039795
474,10,5,10,5,0.4823267057852892,3.1547679901123047
475,50,5,10,6,0.47437481595706094,8.0330228805542
476,40,5,10,6,0.47197994870787874,7.32889986038208
477,30,5,10,6,0.46855240390504915,6.787903070449829
478,20,5,10,6,0.4723378091038647,6.492330312728882
479,10,5,10,6,0.4818655270643807,6.7638840675354
480,50,5,10,7,0.4913813943833967,8.14275336265564
481,40,5,10,7,0.48708582011721996,7.759069442749023
482,30,5,10,7,0.4895099068711109,6.652955770492554
483,20,5,10,7,0.4895701551028079,6.01811671257019
484,10,5,10,7,0.5000805338600224,5.733499526977539
485,50,5,10,8,0.5065086239414064,5.960020303726196
486,40,5,10,8,0.5067363215309583,5.362002372741699
487,30,5,10,8,0.508036531200152,4.722867727279663
488,20,5,10,8,0.5100615662338746,4.179032564163208
489,10,5,10,8,0.5140196002149251,3.675607442855835
490,50,5,10,9,0.479065962212004,5.773327589035034
491,40,5,10,9,0.4806500234312649,5.283811330795288
492,30,5,10,9,0.4761063649938174,4.6472554206848145
493,20,5,10,9,0.4812848122526098,4.2550365924835205
494,10,5,10,9,0.4806106733875665,3.571654796600342
495,50,5,10,10,0.017328490893025728,7.550102472305298
496,40,5,10,10,0.017784364426575838,6.970752477645874
497,30,5,10,10,0.016884704784149024,6.429863214492798
498,20,5,10,10,0.017601652092503275,5.855374813079834
499,10,5,10,10,0.0178583955736942,5.671230792999268
500,50,5,11,1,0.39069939071098564,6.847941875457764
501,40,5,11,1,0.38836627507546667,6.121339797973633
502,30,5,11,1,0.38812682480455,5.476628303527832
503,20,5,11,1,0.38955449526083946,5.028979778289795
504,10,5,11,1,0.20854968019201522,4.783431529998779
505,50,5,11,2,0.41951664087396234,8.138028621673584
506,40,5,11,2,0.4148217545034269,7.310599088668823
507,30,5,11,2,0.4135861576178294,6.75526237487793
508,20,5,11,2,0.41705012387876284,5.175454139709473
509,10,5,11,2,0.4261481521590263,5.8128111362457275
510,50,5,11,3,0.5103156451169246,8.27572250366211
511,40,5,11,3,0.5091374221856043,7.654494762420654
512,30,5,11,3,0.5079003490382151,7.217211008071899
513,20,5,11,3,0.5096256965586888,6.572720050811768
514,10,5,11,3,0.3791804693429115,6.734419822692871
515,50,5,11,4,0.4704653885954896,8.7186439037323
516,40,5,11,4,0.47032056974560876,8.059159994125366
517,30,5,11,4,0.4708118543611644,7.402267217636108
518,20,5,11,4,0.4748830854562063,6.901871919631958
519,10,5,11,4,0.4813465132277742,6.414446592330933
520,50,5,11,5,0.49711097116264774,7.834144830703735
521,40,5,11,5,0.49565579421682,7.158839464187622
522,30,5,11,5,0.4983973561349633,6.505788087844849
523,20,5,11,5,0.5003144416077892,6.012095212936401
524,10,5,11,5,0.5080509029252868,5.72282600402832
525,50,5,11,6,0.4918895583749721,6.8619561195373535
526,40,5,11,6,0.4928810888175758,6.325179815292358
