,N,seed,n_gen,n_eval,score,time
0,50,4,1,1,0.3109457475118982,11.19143271446228
1,40,4,1,1,0.31155924859670825,9.88046145439148
2,30,4,1,1,0.31279636230810187,8.934340238571167
3,20,4,1,1,0.3166847499643197,8.374547958374023
4,10,4,1,1,0.32593552563397526,9.149589538574219
5,50,4,1,2,0.2700644453950657,4.125224828720093
6,40,4,1,2,0.2685629435674831,3.5994324684143066
7,30,4,1,2,0.2704992568744471,2.5737314224243164
8,20,4,1,2,0.2748566413694841,1.9917094707489014
9,10,4,1,2,0.2720819941471575,1.2336368560791016
10,50,4,1,3,0.12949365730671814,8.757030725479126
11,40,4,1,3,0.1277911799744454,7.815281629562378
12,30,4,1,3,0.13073090140583377,6.698819875717163
13,20,4,1,3,0.1331711037925404,7.406265497207642
14,10,4,1,3,0.13157395306007205,4.967699766159058
15,50,4,1,4,0.40901612037499097,9.877194881439209
16,40,4,1,4,0.4094207695633145,8.950812816619873
17,30,4,1,4,0.41011353899948794,8.298778295516968
18,20,4,1,4,0.40796439695141884,7.490139007568359
19,10,4,1,4,0.4100268689192815,6.676095247268677
20,50,4,1,5,0.17920952483075234,4.727128982543945
21,40,4,1,5,0.1780613523209668,3.9837167263031006
22,30,4,1,5,0.18654514107781467,3.3361713886260986
23,20,4,1,5,0.18333627764847396,2.707261323928833
24,10,4,1,5,0.18523900788099876,2.079455852508545
25,50,4,1,6,0.23318358114395354,6.606106281280518
26,40,4,1,6,0.23398274888797757,5.89541220664978
27,30,4,1,6,0.2353854714318165,5.376215219497681
28,20,4,1,6,0.23921977996290425,4.9773125648498535
29,10,4,1,6,0.250468974169264,4.390385389328003
30,50,4,1,7,0.12448871822860011,7.766453266143799
31,40,4,1,7,0.12358240633373355,6.691256999969482
32,30,4,1,7,0.1320543352396124,5.631620645523071
33,20,4,1,7,0.13039437593746508,4.805175542831421
34,10,4,1,7,0.13292501404043314,4.291199684143066
35,50,4,1,8,0.15833717471929853,13.120203018188477
36,40,4,1,8,0.15468373541901334,11.759323835372925
37,30,4,1,8,0.15663376188726744,11.425834655761719
38,20,4,1,8,0.1464745794024536,10.555808305740356
39,10,4,1,8,0.15082094551075445,9.936642169952393
40,50,4,1,9,0.4622448175997615,8.055010318756104
41,40,4,1,9,0.4598415383027769,7.385594367980957
42,30,4,1,9,0.460720492944451,6.886867046356201
43,20,4,1,9,0.4662112946847734,6.264346361160278
44,10,4,1,9,0.4715512028942759,6.197751045227051
45,50,4,1,10,0.3114214561613514,8.495240688323975
46,40,4,1,10,0.3124055531788631,7.826064586639404
47,30,4,1,10,0.31389524677177716,7.324340105056763
48,20,4,1,10,0.3134831380910655,6.452321767807007
49,10,4,1,10,0.3495727997867662,5.374238729476929
50,50,4,2,1,0.13527872275197209,9.49340534210205
51,40,4,2,1,0.1418290776260505,8.95160722732544
52,30,4,2,1,0.13578960417476132,8.174862623214722
53,20,4,2,1,0.13561022537612955,7.076408386230469
54,10,4,2,1,0.13839996728139864,6.1462016105651855
55,50,4,2,2,0.1246228578347097,11.001068592071533
56,40,4,2,2,0.13131585378583793,10.373959302902222
57,30,4,2,2,0.13413478627291356,9.654080629348755
58,20,4,2,2,0.12527968817982435,8.696741819381714
59,10,4,2,2,0.12420310337613791,8.076484680175781
60,50,4,2,3,0.13774229409962807,8.093844175338745
61,40,4,2,3,0.13591116546791093,7.09385085105896
62,30,4,2,3,0.1395176516258776,6.385027170181274
63,20,4,2,3,0.14164973113794135,5.5629425048828125
64,10,4,2,3,0.1424907981000169,4.2815842628479
65,50,4,2,4,0.018979273990211883,6.566555500030518
66,40,4,2,4,0.019174348708545435,5.938495874404907
67,30,4,2,4,0.018798622262904872,5.418642997741699
68,20,4,2,4,0.01860591803912306,4.837701320648193
69,10,4,2,4,0.02035680015868431,4.439561605453491
70,50,4,2,5,0.13875604114268703,13.932363510131836
71,40,4,2,5,0.14169498631909444,13.10649037361145
72,30,4,2,5,0.13749949324263055,12.942742586135864
73,20,4,2,5,0.1424782277469111,11.8951575756073
74,10,4,2,5,0.1318768546411691,12.082478761672974
75,50,4,2,6,0.13802653563637649,11.019772052764893
76,40,4,2,6,0.130770296935631,9.936265230178833
77,30,4,2,6,0.1373923604842159,8.824291467666626
78,20,4,2,6,0.13788590219325356,7.993669748306274
79,10,4,2,6,0.1392157670863199,6.922551393508911
80,50,4,2,7,0.3449544998487962,3.7903640270233154
81,40,4,2,7,0.36343159582376394,3.2078564167022705
82,30,4,2,7,0.3686181474786188,2.5171926021575928
83,20,4,2,7,0.34895744790251254,1.8982276916503906
84,10,4,2,7,0.37149624709503964,1.287644624710083
85,50,4,2,8,0.33535514148491585,7.980984687805176
86,40,4,2,8,0.3361344391382122,7.147536277770996
87,30,4,2,8,0.3354892743247648,6.707387208938599
88,20,4,2,8,0.33458157490800094,5.574549674987793
89,10,4,2,8,0.33155958505960664,4.448848485946655
90,50,4,2,9,0.26350762973788094,7.653188943862915
91,40,4,2,9,0.26173746511842083,6.678584814071655
92,30,4,2,9,0.26402369432367934,6.285471200942993
93,20,4,2,9,0.2647014297057443,5.45874285697937
94,10,4,2,9,0.25409932914106315,5.013526439666748
95,50,4,2,10,0.14328580824417328,4.7108142375946045
96,40,4,2,10,0.1420309703522621,4.122904539108276
97,30,4,2,10,0.1480204973428726,3.4736440181732178
98,20,4,2,10,0.1473679083119737,2.8119308948516846
99,10,4,2,10,0.14787900757995656,2.162294864654541
100,50,4,3,1,0.11339617633509294,9.582012414932251
101,40,4,3,1,0.11076131595938228,8.478147268295288
102,30,4,3,1,0.11821041030468243,8.124863862991333
103,20,4,3,1,0.11743988194806171,7.2787275314331055
104,10,4,3,1,0.11553766698047686,6.14445686340332
105,50,4,3,2,0.30843282039912995,4.576054811477661
106,40,4,3,2,0.312190444197602,3.7313005924224854
107,30,4,3,2,0.3117100318777415,3.108961343765259
108,20,4,3,2,0.30945447879206106,2.379676342010498
109,10,4,3,2,0.30942835238007677,1.567335605621338
110,50,4,3,3,0.36075642114986795,3.7354800701141357
111,40,4,3,3,0.3606776763324278,3.1048743724823
112,30,4,3,3,0.3611751306076329,2.4867467880249023
113,20,4,3,3,0.35917511645368855,1.8626461029052734
114,10,4,3,3,0.35942686905613513,1.2140405178070068
115,50,4,3,4,0.1909259332767875,5.72731876373291
116,40,4,3,4,0.1903634896563116,5.061874151229858
117,30,4,3,4,0.19256821527407023,4.333236455917358
118,20,4,3,4,0.19411783646069253,3.488525152206421
119,10,4,3,4,0.19770126720406225,2.511458396911621
120,50,4,3,5,0.18537829287813798,4.036479234695435
121,40,4,3,5,0.18326478320151832,3.587789535522461
122,30,4,3,5,0.1874878721462374,2.9204108715057373
123,20,4,3,5,0.1886397873351273,2.198857545852661
124,10,4,3,5,0.18509207486984613,1.5153028964996338
125,50,4,3,6,0.0,3.8743975162506104
126,40,4,3,6,0.0,3.1656768321990967
127,30,4,3,6,0.0,2.722137689590454
128,20,4,3,6,0.0,1.9428136348724365
129,10,4,3,6,0.0,1.4147133827209473
130,50,4,3,7,0.36240280351131143,6.664982795715332
131,40,4,3,7,0.36158290821475925,5.808818340301514
132,30,4,3,7,0.36234802109958225,5.289883375167847
133,20,4,3,7,0.36342384347127354,4.572767972946167
134,10,4,3,7,0.3622091020815514,4.196536302566528
135,50,4,3,8,0.16824730584853106,3.6828384399414062
136,40,4,3,8,0.1668275938160893,3.0344693660736084
137,30,4,3,8,0.16576969774564668,2.4568417072296143
138,20,4,3,8,0.1666464467126666,1.8250291347503662
139,10,4,3,8,0.16254418168532625,1.2440674304962158
140,50,4,3,9,0.44789695491461684,4.204951286315918
141,40,4,3,9,0.4468410258821178,3.9225943088531494
142,30,4,3,9,0.44745970801269586,3.021865129470825
143,20,4,3,9,0.4454053170162567,1.9288675785064697
144,10,4,3,9,0.43297052624926896,1.370039701461792
145,50,4,3,10,0.16797495249418415,10.471866130828857
146,40,4,3,10,0.17508449477048774,8.599161863327026
147,30,4,3,10,0.16873001844369342,7.241305828094482
148,20,4,3,10,0.1679003789262726,6.544416189193726
149,10,4,3,10,0.1659249384892321,6.626838445663452
150,50,4,4,1,0.0,4.843837738037109
151,40,4,4,1,0.0,3.566681146621704
152,30,4,4,1,0.0,2.889662027359009
153,20,4,4,1,0.0,2.71407151222229
154,10,4,4,1,0.0,1.5132064819335938
155,50,4,4,2,0.17536031356614748,4.134645700454712
156,40,4,4,2,0.17525966122251266,3.4881019592285156
157,30,4,4,2,0.17516632827538903,3.2187938690185547
158,20,4,4,2,0.17645465392952445,2.4010019302368164
159,10,4,4,2,0.17578594951286633,1.57816743850708
160,50,4,4,3,0.3446427348254909,3.9359748363494873
161,40,4,4,3,0.352056452797239,3.264437675476074
162,30,4,4,3,0.3476587408659619,2.592958450317383
163,20,4,4,3,0.3450897547182739,1.9200513362884521
164,10,4,4,3,0.34062660776913856,1.2985482215881348
165,50,4,4,4,0.3691002523557417,4.047884941101074
166,40,4,4,4,0.36760751661807345,3.743206739425659
167,30,4,4,4,0.37405535710816307,2.8896822929382324
168,20,4,4,4,0.373126568254839,1.9912383556365967
169,10,4,4,4,0.3770447970706757,1.3105251789093018
170,50,4,4,5,0.0,5.6361517906188965
171,40,4,4,5,0.0,5.566737174987793
172,30,4,4,5,0.0,5.946354389190674
173,20,4,4,5,0.0,5.5575714111328125
174,10,4,4,5,0.0,3.448162078857422
175,50,4,4,6,0.23099170314754847,8.008854150772095
176,40,4,4,6,0.22939437045918845,6.733705759048462
177,30,4,4,6,0.23045660039766674,7.325350999832153
178,20,4,4,6,0.22305854421106455,6.194801330566406
179,10,4,4,6,0.23011443183035904,4.243311882019043
180,50,4,4,7,0.2549263280025144,4.474518299102783
181,40,4,4,7,0.2618586861933955,3.80191707611084
182,30,4,4,7,0.2640293140345097,3.1585958003997803
183,20,4,4,7,0.26096945685104955,2.3750782012939453
184,10,4,4,7,0.2627605798816385,1.7396538257598877
185,50,4,4,8,0.4083845398485176,5.449881553649902
186,40,4,4,8,0.41234144160293557,4.534660577774048
187,30,4,4,8,0.4088188565175352,3.9928009510040283
188,20,4,4,8,0.4067350122083089,3.1622321605682373
189,10,4,4,8,0.39566298636473674,2.3232457637786865
190,50,4,4,9,0.355218435153765,7.078693151473999
191,40,4,4,9,0.35829914081805786,6.417642116546631
192,30,4,4,9,0.35935824343254785,5.600836277008057
193,20,4,4,9,0.36316378348910444,4.758113145828247
194,10,4,4,9,0.36861828242236805,4.184074878692627
195,50,4,4,10,0.2065555356732158,7.096097469329834
196,40,4,4,10,0.20276905946102552,6.3856141567230225
197,30,4,4,10,0.20511309474436118,5.705629110336304
198,20,4,4,10,0.19851237951924772,5.151749610900879
199,10,4,4,10,0.19548563208697342,4.333854913711548
200,50,4,5,1,0.33778129818509395,9.107896566390991
201,40,4,5,1,0.3397170464804018,8.183663129806519
202,30,4,5,1,0.3372921357795064,7.250057697296143
203,20,4,5,1,0.341831217585194,6.203395366668701
204,10,4,5,1,0.33729023049083207,5.117968559265137
205,50,4,5,2,0.1709749583993832,6.826277256011963
206,40,4,5,2,0.17064308100812575,6.579126834869385
207,30,4,5,2,0.17213451122777051,5.317222356796265
208,20,4,5,2,0.1739071072279506,4.482532024383545
209,10,4,5,2,0.1754402472184398,3.0789523124694824
210,50,4,5,3,0.2766325019750637,4.440208196640015
211,40,4,5,3,0.2748772528707386,3.9371731281280518
212,30,4,5,3,0.2814521449814131,3.14077091217041
213,20,4,5,3,0.28304871309510266,2.3699159622192383
214,10,4,5,3,0.2833983169928546,1.6741740703582764
215,50,4,5,4,0.28598072522093826,4.065778732299805
216,40,4,5,4,0.28971174912011205,3.290827512741089
217,30,4,5,4,0.28725069651910734,2.576622724533081
218,20,4,5,4,0.42655998213245694,1.9660799503326416
219,10,4,5,4,0.426942567522599,1.359609603881836
220,50,4,5,5,0.3523623462461067,3.9528884887695312
221,40,4,5,5,0.3538880494892862,3.225438117980957
222,30,4,5,5,0.3507906164726505,2.5692226886749268
223,20,4,5,5,0.35185791152813695,1.9605512619018555
224,10,4,5,5,0.3409699301822324,1.37308669090271
225,50,4,5,6,0.0,4.091739177703857
226,40,4,5,6,0.0,3.5821502208709717
