accuracy,cost_per_eval
0.001,0.030126023292541455
0.112,0.03421967029571528
0.223,0.04164793968200679
0.334,0.0491352248191833
0.445,0.05547622680664058
0.556,0.06146291255950923
0.667,0.06875499486923213
0.778,0.07612019300460812
0.889,0.07998912572860713
1.0,0.08202626705169673
