,accuracy,n_policy,reward,steps
173,0.9,73,154.2,154.2
174,0.9,74,8.5,8.5
175,0.9,75,8.4,8.4
176,0.9,76,313.2,313.2
177,0.9,77,28.7,28.7
178,0.9,78,48.4,48.4
179,0.9,79,8.6,8.6
180,0.9,80,8.4,8.4
181,0.9,81,8.4,8.4
182,0.9,82,8.9,8.9
183,0.9,83,9.0,9.0
184,0.9,84,85.4,85.4
185,0.9,85,8.4,8.4
186,0.9,86,112.0,112.0
187,0.9,87,22.3,22.3
188,0.9,88,8.4,8.4
189,0.9,89,214.3,214.3
190,0.9,90,8.6,8.6
191,0.9,91,35.3,35.3
192,0.9,92,59.7,59.7
193,0.9,93,13.5,13.5
194,0.9,94,8.7,8.7
195,0.9,95,26.3,26.3
196,0.9,96,8.9,8.9
197,0.9,97,79.0,79.0
198,0.9,98,8.9,8.9
199,0.9,99,131.0,131.0
200,0.8,0,366.8,366.8
201,0.8,1,7.8,7.8
202,0.8,2,7.7,7.7
203,0.8,3,100.0,100.0
204,0.8,4,7.8,7.8
205,0.8,5,7.7,7.7
206,0.8,6,21.7,21.7
207,0.8,7,7.8,7.8
208,0.8,8,119.5,119.5
209,0.8,9,43.1,43.1
210,0.8,10,17.6,17.6
211,0.8,11,7.8,7.8
212,0.8,12,7.6,7.6
213,0.8,13,31.2,31.2
214,0.8,14,8.0,8.0
215,0.8,15,20.0,20.0
216,0.8,16,14.4,14.4
217,0.8,17,81.0,81.0
218,0.8,18,7.8,7.8
219,0.8,19,7.8,7.8
220,0.8,20,27.2,27.2
221,0.8,21,21.7,21.7
222,0.8,22,8.1,8.1
223,0.8,23,8.8,8.8
224,0.8,24,258.7,258.7
225,0.8,25,175.9,175.9
226,0.8,26,270.5,270.5
227,0.8,27,124.4,124.4
228,0.8,28,8.1,8.1
229,0.8,29,7.5,7.5
230,0.8,30,8.1,8.1
231,0.8,31,7.8,7.8
232,0.8,32,7.6,7.6
233,0.8,33,7.7,7.7
234,0.8,34,7.7,7.7
235,0.8,35,55.8,55.8
236,0.8,36,7.8,7.8
237,0.8,37,7.5,7.5
238,0.8,38,138.3,138.3
239,0.8,39,35.8,35.8
240,0.8,40,22.0,22.0
241,0.8,41,12.2,12.2
242,0.8,42,71.5,71.5
243,0.8,43,7.7,7.7
244,0.8,44,24.4,24.4
245,0.8,45,390.2,390.2
246,0.8,46,8.1,8.1
247,0.8,47,26.8,26.8
248,0.8,48,21.2,21.2
249,0.8,49,7.5,7.5
250,0.8,50,10.2,10.2
251,0.8,51,202.1,202.1
252,0.8,52,7.9,7.9
253,0.8,53,43.8,43.8
254,0.8,54,263.8,263.8
255,0.8,55,8.0,8.0
256,0.8,56,7.8,7.8
257,0.8,57,7.7,7.7
258,0.8,58,7.9,7.9
259,0.8,59,8.1,8.1
260,0.8,60,7.8,7.8
261,0.8,61,72.7,72.7
262,0.8,62,7.5,7.5
263,0.8,63,7.9,7.9
264,0.8,64,50.2,50.2
265,0.8,65,14.0,14.0
266,0.8,66,7.9,7.9
267,0.8,67,23.4,23.4
268,0.8,68,43.4,43.4
269,0.8,69,7.8,7.8
270,0.8,70,7.9,7.9
271,0.8,71,8.1,8.1
272,0.8,72,7.6,7.6
273,0.8,73,123.4,123.4
274,0.8,74,7.7,7.7
275,0.8,75,7.8,7.8
276,0.8,76,209.0,209.0
277,0.8,77,24.1,24.1
278,0.8,78,41.6,41.6
279,0.8,79,7.8,7.8
280,0.8,80,7.6,7.6
281,0.8,81,7.6,7.6
282,0.8,82,8.1,8.1
283,0.8,83,8.1,8.1
284,0.8,84,72.3,72.3
285,0.8,85,7.7,7.7
286,0.8,86,87.4,87.4
287,0.8,87,18.2,18.2
288,0.8,88,7.6,7.6
289,0.8,89,170.9,170.9
290,0.8,90,7.8,7.8
291,0.8,91,29.3,29.3
292,0.8,92,54.8,54.8
293,0.8,93,12.6,12.6
294,0.8,94,7.9,7.9
295,0.8,95,23.4,23.4
296,0.8,96,8.1,8.1
297,0.8,97,69.3,69.3
298,0.8,98,8.1,8.1
299,0.8,99,103.4,103.4
300,0.7,0,350.0,350.0
301,0.7,1,7.1,7.1
302,0.7,2,6.7,6.7
303,0.7,3,88.2,88.2
304,0.7,4,7.1,7.1
305,0.7,5,6.9,6.9
306,0.7,6,18.9,18.9
