,steps,info_steps,seed,n_eval,max_step_per_eval,time,info_time,mean_reward
0,496,496.0,1,248,2.0,0.7531349658966064,98.95255000000007,42.52
1,992,992.0,1,496,2.0,1.6555886268615723,1052.756695,9.3
2,1488,1488.0,1,744,2.0,2.4065794944763184,2355.319018999999,25.21
3,1984,1984.0,1,992,2.0,3.425809621810913,4266.132478,32.63
4,2480,2480.0,1,1240,2.0,4.445514440536499,7050.527771000002,20.03
5,2976,2976.0,1,1488,2.0,5.186269044876099,10343.857423000009,20.88
6,3472,3472.0,1,1736,2.0,6.3204333782196045,14241.896931000016,24.02
7,3968,3968.0,1,1984,2.0,7.164689302444458,18754.39018200001,21.06
8,4464,4464.0,1,2232,2.0,7.902860879898071,23771.783603000003,22.09
9,4960,4960.0,1,2480,2.0,8.651116132736206,29292.552083000024,22.34
10,5456,5456.0,1,2728,2.0,9.390804767608643,35317.23965200002,20.61
11,5952,5952.0,1,2976,2.0,10.145565032958984,41827.650948,11.38
12,6448,6448.0,1,3224,2.0,11.06239628791809,48818.35070399997,26.2
13,6944,6944.0,1,3472,2.0,11.889765501022339,56405.12464900001,22.28
14,7440,7440.0,1,3720,2.0,12.635081052780151,64509.531306000026,21.06
15,7998,7998.0,1,3999,2.0,13.475176572799683,74192.92994399994,16.01
16,8494,8494.0,1,4247,2.0,14.227672815322876,83232.6445989999,22.27
17,8990,8990.0,1,4495,2.0,14.979493856430054,92785.39321699984,21.93
18,9486,9486.0,1,4743,2.0,15.730700254440308,102842.68224499984,24.17
19,9982,9982.0,1,4991,2.0,16.48850131034851,113437.98186899986,22.82
20,496,496.0,2,248,2.0,0.8372418880462646,107.534948,67.42
21,992,992.0,2,496,2.0,1.6547152996063232,1547.4002429999994,14.01
22,1488,1488.0,2,744,2.0,2.587923288345337,3503.2939169999977,9.45
23,1984,1984.0,2,992,2.0,3.607564687728882,5983.789993000002,9.45
24,2480,2480.0,2,1240,2.0,4.440692186355591,8821.928889999997,9.45
25,2976,2976.0,2,1488,2.0,5.499570846557617,12192.32167500001,9.45
26,3472,3472.0,2,1736,2.0,6.2479658126831055,15926.447268000009,9.45
27,3968,3968.0,2,1984,2.0,6.994516134262085,19986.80586900001,9.45
28,4464,4464.0,2,2232,2.0,7.761318683624268,24378.64556799998,9.45
29,4960,4960.0,2,2480,2.0,8.513173580169678,29102.179117999956,9.45
30,5456,5456.0,2,2728,2.0,9.261072635650635,34151.943779,9.45
31,5952,5952.0,2,2976,2.0,9.972258806228638,39519.771421999976,9.45
32,6448,6448.0,2,3224,2.0,10.696873188018799,45202.72823100002,9.45
33,6944,6944.0,2,3472,2.0,11.416248798370361,51201.466425,9.45
34,7440,7440.0,2,3720,2.0,12.132884740829468,57521.86527399999,9.45
35,7998,7998.0,2,3999,2.0,12.939653396606445,64997.49944099999,9.45
36,8494,8494.0,2,4247,2.0,13.656453132629395,71967.46106500004,9.45
37,8990,8990.0,2,4495,2.0,14.374604940414429,79251.54448299987,9.45
38,9486,9486.0,2,4743,2.0,15.094639539718628,86848.84473599988,9.45
39,9982,9982.0,2,4991,2.0,15.81768798828125,94761.27676300007,9.45
40,496,496.0,3,248,2.0,0.7248613834381104,93.28276999999994,44.98
41,992,992.0,3,496,2.0,1.4843661785125732,1002.4001600000005,14.8
42,1488,1488.0,3,744,2.0,2.2304465770721436,2316.0536610000004,12.52
43,1984,1984.0,3,992,2.0,2.9799177646636963,3999.331092000002,9.45
44,2480,2480.0,3,1240,2.0,3.7306723594665527,6009.456570000008,14.75
45,2976,2976.0,3,1488,2.0,4.489342451095581,8421.333632000009,14.82
46,3472,3472.0,3,1736,2.0,5.243811845779419,11237.76054400001,9.3
47,3968,3968.0,3,1984,2.0,5.99552059173584,14380.132101000017,17.64
48,4464,4464.0,3,2232,2.0,6.7585289478302,17965.131207000024,9.3
49,4960,4960.0,3,2480,2.0,7.5169517993927,21878.38713000003,15.66
50,5456,5456.0,3,2728,2.0,8.273406505584717,26206.960183000043,13.41
51,5952,5952.0,3,2976,2.0,9.028996467590332,30917.958778000044,12.18
52,6448,6448.0,3,3224,2.0,9.799957036972046,36002.55603300006,9.3
53,6944,6944.0,3,3472,2.0,10.56250262260437,41416.458789000026,9.3
54,7440,7440.0,3,3720,2.0,11.318136215209961,47158.36896400008,9.45
55,7998,7998.0,3,3999,2.0,12.185402631759644,54002.65159700015,9.3
56,8494,8494.0,3,4247,2.0,12.990350008010864,60437.33860500014,9.3
57,8990,8990.0,3,4495,2.0,13.748650312423706,67204.54131200019,9.3
58,9486,9486.0,3,4743,2.0,14.51045536994934,74302.19054600025,9.3
59,9982,9982.0,3,4991,2.0,15.287636041641235,81730.77207100028,9.3
60,496,496.0,4,248,2.0,0.7480182647705078,97.03014199999997,9.45
61,992,992.0,4,496,2.0,1.5007719993591309,525.1976089999999,9.45
62,1488,1488.0,4,744,2.0,2.251049041748047,1281.3002830000014,9.45
63,1984,1984.0,4,992,2.0,3.010603666305542,2370.142272000001,9.45
64,2480,2480.0,4,1240,2.0,3.7621023654937744,3786.2072450000046,9.45
65,2976,2976.0,4,1488,2.0,4.518995523452759,5531.526128999998,9.45
66,3472,3472.0,4,1736,2.0,5.2721452713012695,7603.707342000002,9.45
67,3968,3968.0,4,1984,2.0,6.02544641494751,10005.988866000009,9.45
68,4464,4464.0,4,2232,2.0,6.782024145126343,12748.212348000012,9.45
69,4960,4960.0,4,2480,2.0,7.5363242626190186,15821.520352000001,9.45
70,5456,5456.0,4,2728,2.0,8.311070680618286,19226.023015999996,9.45
71,5952,5952.0,4,2976,2.0,9.068257331848145,22961.871176,9.45
72,6448,6448.0,4,3224,2.0,9.836097478866577,27027.654125999987,9.45
73,6944,6944.0,4,3472,2.0,10.594654083251953,31425.69063199999,9.45
74,7440,7440.0,4,3720,2.0,11.37223482131958,36159.83890799996,9.45
75,7998,7998.0,4,3999,2.0,12.232998847961426,41873.007392000014,9.45
76,8494,8494.0,4,4247,2.0,12.995848178863525,47294.27923700001,9.45
77,8990,8990.0,4,4495,2.0,13.751991748809814,53046.993704000095,9.45
78,9486,9486.0,4,4743,2.0,14.51703429222107,59132.673083000125,9.45
79,9982,9982.0,4,4991,2.0,15.279713869094849,65550.15459300007,9.45
80,496,496.0,5,248,2.0,0.7382485866546631,95.07548400000002,68.73
81,992,992.0,5,496,2.0,1.4877188205718994,1351.5775960000003,39.35
82,1488,1488.0,5,744,2.0,2.238178253173828,3354.1253429999974,62.11
83,1984,1984.0,5,992,2.0,2.9871761798858643,6423.848628999999,35.46
84,2480,2480.0,5,1240,2.0,3.956686019897461,10313.865036000003,73.32
85,2976,2976.0,5,1488,2.0,4.708143472671509,15557.456469000013,64.2
86,3472,3472.0,5,1736,2.0,5.457999229431152,21880.09280699999,88.67
87,3968,3968.0,5,1984,2.0,6.211441278457642,29639.167970000002,134.32
88,4464,4464.0,5,2232,2.0,6.975880861282349,39514.41030200005,131.85
89,4960,4960.0,5,2480,2.0,7.744683027267456,51472.31513600006,70.58
90,5456,5456.0,5,2728,2.0,8.528125047683716,64761.65244200008,279.47
91,5952,5952.0,5,2976,2.0,9.285512685775757,82107.15465400011,244.78
92,6448,6448.0,5,3224,2.0,10.05893850326538,103223.0439830001,326.12
93,6944,6944.0,5,3472,2.0,10.819565773010254,129236.79271000008,75.68
94,7440,7440.0,5,3720,2.0,11.631120443344116,156557.93508300022,46.49
95,7998,7998.0,5,3999,2.0,12.496454000473022,188412.95418000018,59.77
96,8494,8494.0,5,4247,2.0,13.308207511901855,218333.68344000017,58.46
97,8990,8990.0,5,4495,2.0,14.087234020233154,249329.22053700016,57.8
98,9486,9486.0,5,4743,2.0,14.823104858398438,281309.05194300046,66.32
99,9982,9982.0,5,4991,2.0,15.608350992202759,314392.02967300056,96.54
100,496,496.0,6,248,2.0,0.7083449363708496,87.81125999999998,9.34
101,992,992.0,6,496,2.0,1.4320313930511475,485.99220600000007,9.3
102,1488,1488.0,6,744,2.0,2.1640424728393555,1191.6222839999996,9.3
103,1984,1984.0,6,992,2.0,2.9127657413482666,2207.8303559999995,9.3
104,2480,2480.0,6,1240,2.0,3.663587808609009,3543.988840999995,9.3
105,2976,2976.0,6,1488,2.0,4.483985185623169,5202.637117999997,9.3
106,3472,3472.0,6,1736,2.0,5.592809677124023,7274.140905999997,9.3
107,3968,3968.0,6,1984,2.0,6.344650030136108,9716.774330999991,9.3
108,4464,4464.0,6,2232,2.0,7.132628917694092,12486.431714999973,9.3
109,4960,4960.0,6,2480,2.0,8.74535346031189,15943.515416999968,9.3
110,5456,5456.0,6,2728,2.0,9.48117709159851,19821.097397999947,9.3
111,5952,5952.0,6,2976,2.0,10.202014207839966,24013.15438699994,9.3
112,6448,6448.0,6,3224,2.0,10.93508005142212,28519.54816399992,9.3
113,6944,6944.0,6,3472,2.0,11.68358850479126,33344.41149199989,9.3
114,7440,7440.0,6,3720,2.0,12.439836502075195,38491.22679299986,9.3
115,7998,7998.0,6,3999,2.0,13.245904207229614,44649.93566699985,9.3
116,8494,8494.0,6,4247,2.0,13.966955661773682,50449.85554099989,9.3
117,8990,8990.0,6,4495,2.0,14.68896484375,56562.57768299988,9.3
118,9486,9486.0,6,4743,2.0,15.4119873046875,62986.98971399981,9.3
119,9982,9982.0,6,4991,2.0,16.13472080230713,69724.1152249998,9.3
120,496,496.0,7,248,2.0,0.7089848518371582,91.469928,48.85
