,accuracy,n_solution,score,time
0,0.05,1,0.4009243737209754,2.745684862136841
1,0.05,2,0.0,1.8908343315124512
2,0.05,3,0.0,0.5328304767608643
3,0.05,4,0.0,3.422168254852295
4,0.05,5,0.11602895742087165,2.3862879276275635
5,0.05,6,0.013529574296210852,1.6738502979278564
6,0.05,7,0.3031782971570393,1.6151707172393799
7,0.05,8,0.0,1.616715669631958
8,0.05,9,0.11564591434858426,6.0904600620269775
9,0.05,10,0.0,0.7383511066436768
10,0.05,11,0.0,0.7034969329833984
11,0.05,12,0.0,0.5330321788787842
12,0.05,13,0.0,2.195016860961914
13,0.05,14,0.3344690863760972,0.9787702560424805
14,0.05,15,0.17287351833305037,1.4892611503601074
15,0.05,16,0.0,1.2185466289520264
16,0.05,17,0.011532303180311192,0.8941736221313477
17,0.05,18,0.0,1.363288402557373
18,0.05,19,0.2263053896249636,1.1941277980804443
19,0.05,20,0.0,2.3974251747131348
20,0.05,21,0.13029327884668704,2.251002550125122
21,0.05,22,0.0,0.4651036262512207
22,0.05,23,0.0,1.078282117843628
23,0.05,24,0.1864765265971226,3.663355588912964
24,0.05,25,0.09921471506046098,2.8884975910186768
25,0.05,26,0.0,2.514528274536133
26,0.05,27,0.17884552238146745,0.54502272605896
27,0.05,28,0.35120762722319093,1.6701421737670898
28,0.05,29,0.0,2.6010830402374268
29,0.05,30,0.0,1.7007875442504883
30,0.05,31,0.1805360371774121,1.4523768424987793
31,0.05,32,0.24424470386662267,2.0144357681274414
32,0.05,33,0.013859513190631051,2.030447483062744
33,0.05,34,0.0,0.9418401718139648
34,0.05,35,0.0,2.0812885761260986
35,0.05,36,0.0,0.9621138572692871
36,0.05,37,0.12713270773495705,1.499377727508545
37,0.05,38,0.0,2.8415205478668213
38,0.05,39,0.15303504900191836,0.7720251083374023
39,0.05,40,0.21779204495484075,1.750760555267334
40,0.05,41,0.0,0.47233009338378906
41,0.05,42,0.0,0.5396461486816406
42,0.05,43,0.26259117633085644,2.6102209091186523
43,0.05,44,0.0,1.5148298740386963
44,0.05,45,0.15371474749143194,1.0484819412231445
45,0.05,46,0.015916576330611304,2.428666591644287
46,0.05,47,0.0,3.0023584365844727
47,0.05,48,0.29974878702045954,1.4124689102172852
48,0.05,49,0.18764872272215152,2.681394338607788
49,0.05,50,0.33298041971927883,0.4950745105743408
50,0.05,51,0.0,1.0003783702850342
51,0.05,52,0.0,0.8367621898651123
52,0.05,53,0.0,1.2087361812591553
53,0.05,54,0.015117168237663122,3.226346015930176
54,0.05,55,0.0,1.1611857414245605
55,0.05,56,0.4497771872423939,2.827979326248169
56,0.05,57,0.3940984094648149,2.6943345069885254
57,0.05,58,0.0,0.49315381050109863
58,0.05,59,0.0,0.9342119693756104
59,0.05,60,0.2468637854197961,1.4132308959960938
60,0.05,61,0.0,0.5732312202453613
