,accuracy,cost_per_eval
0,0.6,2.6574318408966064
1,0.6,1.3288986682891846
2,0.6,1.2616658210754395
3,0.6,1.7854242324829102
4,0.6,1.8290021419525146
5,0.6,1.4785659313201904
6,0.6,1.5655648708343506
7,0.6,2.4653003215789795
8,0.6,2.7549479007720947
9,0.6,1.5112345218658447
10,0.6,1.373265027999878
11,0.6,1.5541877746582031
12,0.6,1.460629940032959
13,0.6,1.6034269332885742
14,0.6,1.450026512145996
15,0.6,2.3111674785614014
16,0.6,1.1922826766967773
17,0.6,1.353058099746704
18,0.6,1.1314146518707275
19,0.6,1.398310661315918
20,0.6,3.179910898208618
21,0.6,1.831681251525879
22,0.6,2.7536702156066895
23,0.6,1.9787275791168213
24,0.6,1.1166362762451172
25,0.6,2.354173421859741
26,0.6,1.8301644325256348
27,0.6,3.0626540184020996
28,0.6,1.1999552249908447
29,0.6,1.504176139831543
30,0.6,2.0663692951202393
31,0.6,1.0888633728027344
32,0.6,1.1603305339813232
33,0.6,2.0879809856414795
34,0.6,1.1849915981292725
35,0.6,2.0788800716400146
36,0.6,1.1265084743499756
37,0.6,2.7567121982574463
38,0.6,3.293077230453491
39,0.6,1.562079668045044
40,0.6,1.184614658355713
41,0.6,2.024617910385132
42,0.6,1.4233076572418213
43,0.6,1.3863012790679932
44,0.6,1.1558008193969727
45,0.6,1.2442619800567627
46,0.6,1.2913899421691895
47,0.6,1.9334406852722168
48,0.6,1.2616653442382812
49,0.6,2.120128631591797
50,0.6,1.2799403667449951
51,0.6,1.152263879776001
52,0.6,1.7500135898590088
53,0.6,1.5475184917449951
54,0.6,1.1809775829315186
55,0.6,1.1350078582763672
56,0.6,1.6375443935394287
57,0.6,1.1465644836425781
58,0.6,1.8842976093292236
59,0.6,1.9583940505981445
60,0.6,3.2219672203063965
61,0.6,1.5691344738006592
62,0.6,1.5062761306762695
63,0.6,1.321239709854126
64,0.6,2.1988093852996826
65,0.6,2.252614974975586
66,0.6,1.2373924255371094
67,0.6,2.198452949523926
68,0.6,1.2316126823425293
69,0.6,1.6920783519744873
70,0.6,1.2352855205535889
71,0.6,2.444924831390381
72,0.6,2.107595920562744
73,0.6,1.5050268173217773
74,0.6,1.3265089988708496
75,0.6,2.9322268962860107
76,0.6,1.2614784240722656
77,0.6,1.1832275390625
78,0.6,3.122425079345703
79,0.6,1.5685744285583496
80,0.6,1.8387844562530518
81,0.6,1.3583366870880127
82,0.6,1.579465389251709
83,0.6,1.3634953498840332
84,0.6,1.5275993347167969
85,0.6,1.8583731651306152
86,0.6,1.2974834442138672
87,0.6,2.1747934818267822
88,0.6,3.322760820388794
89,0.6,1.162198543548584
90,0.6,1.1916487216949463
91,0.6,2.7435755729675293
92,0.6,1.688049554824829
93,0.6,1.7055506706237793
94,0.6,2.0002169609069824
95,0.6,1.5655162334442139
96,0.6,1.319427728652954
97,0.6,1.502784013748169
98,0.6,1.0687427520751953
99,0.6,2.9561305046081543
100,0.8,2.587930679321289
101,0.8,1.464512825012207
102,0.8,1.5338497161865234
103,0.8,1.9411098957061768
104,0.8,2.038282632827759
105,0.8,1.7345740795135498
106,0.8,1.8662676811218262
107,0.8,2.666872262954712
