,accuracy,n_solution,score,time
0,1.0,1,0.21833015284541976,3.0515081882476807
1,1.0,2,0.45535865543543436,1.9193615913391113
2,1.0,3,0.16340513251757427,1.977189302444458
3,1.0,4,0.0,2.2618584632873535
4,1.0,5,0.26474450857340415,2.269763708114624
5,1.0,6,0.20952194456965,2.1643595695495605
6,1.0,7,0.0,2.21060848236084
7,1.0,8,0.3959149904776748,3.1796741485595703
8,1.0,9,0.34767324326449855,3.039160966873169
9,1.0,10,0.0,1.9022548198699951
10,1.0,11,0.0,1.7750332355499268
11,1.0,12,0.0,1.9007318019866943
12,1.0,13,0.0,1.9584681987762451
13,1.0,14,0.17140022724060475,2.1314022541046143
14,1.0,15,0.21091213736152625,1.7635126113891602
15,1.0,16,0.0,2.7622158527374268
16,1.0,17,0.0,1.5746800899505615
17,1.0,18,0.0,1.743617296218872
18,1.0,19,0.0,1.6142504215240479
19,1.0,20,0.2869085270111063,1.7451987266540527
20,1.0,21,0.11580518795874581,3.6575686931610107
21,1.0,22,0.0,2.222630739212036
22,1.0,23,0.34979131988097384,3.2473056316375732
23,1.0,24,0.31804910118059126,2.2843005657196045
24,1.0,25,0.0,1.5567467212677002
25,1.0,26,0.0,2.902092933654785
26,1.0,27,0.008890963143184064,2.378136396408081
27,1.0,28,0.19825606883126942,3.7146246433258057
28,1.0,29,0.0,1.8133091926574707
29,1.0,30,0.19723591853963696,2.3589351177215576
30,1.0,31,0.0,2.80183744430542
31,1.0,32,0.0,1.6334586143493652
32,1.0,33,0.011320403303891733,1.7343292236328125
33,1.0,34,0.20125612459053926,2.711421012878418
34,1.0,35,0.0,1.6934797763824463
35,1.0,36,0.0,2.6593105792999268
36,1.0,37,0.30403774437047565,1.6931235790252686
37,1.0,38,0.21185334643142056,3.4506819248199463
38,1.0,39,0.13747514700508498,4.232825517654419
39,1.0,40,0.17710822792592215,2.021472454071045
40,1.0,41,0.0,1.7228143215179443
41,1.0,42,0.0,2.5225446224212646
42,1.0,43,0.009128905757624622,1.9983325004577637
43,1.0,44,0.0,1.8323464393615723
44,1.0,45,0.0,1.7604529857635498
45,1.0,46,0.0,1.7103004455566406
46,1.0,47,0.23045352218150758,1.7524123191833496
47,1.0,48,0.4276611516164904,2.38107967376709
48,1.0,49,0.17637034881129707,1.7957792282104492
49,1.0,50,0.0,2.5918993949890137
50,1.0,51,0.0,1.7165966033935547
51,1.0,52,0.2524457689427501,1.6808454990386963
52,1.0,53,0.0,2.288386106491089
53,1.0,54,0.01819553833169612,1.9676265716552734
54,1.0,55,0.0,1.6767396926879883
55,1.0,56,0.4160609321862067,1.5936377048492432
56,1.0,57,0.015045701564648701,2.1402738094329834
57,1.0,58,0.0,1.6215898990631104
58,1.0,59,0.0,2.3804731369018555
59,1.0,60,0.09091999627276494,2.5851712226867676
60,1.0,61,0.3205579525075199,3.7702298164367676
61,1.0,62,0.16869640708163972,2.0704472064971924
62,1.0,63,0.0,1.9904541969299316
63,1.0,64,0.0,1.9167630672454834
64,1.0,65,0.24044176430186845,2.797473192214966
65,1.0,66,0.1679615745624445,2.7857656478881836
66,1.0,67,0.0,1.7118310928344727
67,1.0,68,0.018232885875958352,3.058659553527832
68,1.0,69,0.0,1.8748242855072021
69,1.0,70,0.0,2.229104518890381
70,1.0,71,0.0,2.027869701385498
71,1.0,72,0.0,3.2133755683898926
72,1.0,73,0.0,2.7966043949127197
73,1.0,74,0.0,1.9879205226898193
74,1.0,75,0.16568130224523656,1.7864460945129395
75,1.0,76,0.3702429695157767,3.224350690841675
76,1.0,77,0.0,1.950014591217041
77,1.0,78,0.0,1.7315020561218262
78,1.0,79,0.4414812014230041,3.769362688064575
79,1.0,80,0.0,2.0540285110473633
80,1.0,81,0.18947432353662072,2.4695842266082764
81,1.0,82,0.13639408423863042,1.9422509670257568
82,1.0,83,0.27746938931973714,2.144078493118286
83,1.0,84,0.17605357938923602,1.975900650024414
84,1.0,85,0.0,2.041996479034424
85,1.0,86,0.0,2.7279231548309326
86,1.0,87,0.49197948813382425,1.8707396984100342
87,1.0,88,0.008157331440710094,2.725151777267456
88,1.0,89,0.32186416095695763,3.958014488220215
89,1.0,90,0.0,1.6569535732269287
90,1.0,91,0.14690130884496846,1.7754805088043213
91,1.0,92,0.3865835086513635,3.382107734680176
92,1.0,93,0.37627531678612947,2.3028552532196045
