,heuristic_param,seed,n_gen,score,readjustement,accuracy,variance,elapsed_time_proc,elapsed_time_acc,elapsed_time
0,5,2,0,0.4415398480608566,True,0.1689579489077584,0.0234236132162213,24.233100652694706,69.7983250617981,94.0314257144928
1,5,2,1,0.4415398480608566,False,0.1689579489077584,0.0164783998740548,49.2173228263855,69.7983250617981,119.0156478881836
2,5,2,2,0.4415398480608566,False,0.1689579489077584,0.0192172445468655,82.52084016799927,69.7983250617981,152.31916522979736
3,5,2,3,0.4903408475766573,False,0.1689579489077584,0.0224089619439385,112.4467830657959,69.7983250617981,182.245108127594
4,5,2,4,0.4903408475766573,False,0.1689579489077584,0.0264835577611127,147.99155616760254,69.7983250617981,217.78988122940063
5,5,2,5,0.4903408475766573,False,0.1689579489077584,0.0134956437736932,187.72575664520264,69.7983250617981,257.52408170700073
6,5,2,6,0.4917557434339029,False,0.1689579489077584,0.037479185494346,224.70669531822205,69.7983250617981,294.50502038002014
7,5,2,7,0.4915774962717593,False,0.1689579489077584,0.0305996959630056,258.69579219818115,69.7983250617981,328.49411725997925
8,5,2,8,0.4915774962717593,True,0.1689579489077584,0.0292256578911945,287.6444129943848,148.2413980960846,435.88581109046936
9,5,2,9,0.4915774962717593,False,0.1689579489077584,0.0289408804076425,323.1136004924774,148.2413980960846,471.354998588562
10,5,2,10,0.4996696707170506,False,0.1689579489077584,0.0379003608995905,350.0105335712433,148.2413980960846,498.2519316673279
11,5,2,11,0.4996696707170506,False,0.1689579489077584,0.0056281469552991,378.26721262931824,148.2413980960846,526.5086107254028
12,5,2,12,0.5111595849312032,False,0.1689579489077584,0.0075083163743567,407.3986954689026,148.2413980960846,555.6400935649872
13,5,2,13,0.5159110988153562,False,0.1689579489077584,0.0009345237363999,428.6847128868103,148.2413980960846,576.9261109828949
14,5,2,14,0.5159110988153562,False,0.1689579489077584,0.0245883096287184,453.95143461227417,148.2413980960846,602.1928327083588
15,5,2,15,0.5159110988153562,False,0.1689579489077584,0.0019734395543416,475.7921190261841,148.2413980960846,624.0335171222687
16,5,2,16,0.5159110988153562,False,0.1689579489077584,0.0075546087670861,497.5772466659546,148.2413980960846,645.8186447620392
17,5,2,17,0.5159110988153562,False,0.1689579489077584,0.0017511090651156,526.1863420009613,148.2413980960846,674.4277400970459
18,5,2,18,0.5159110988153562,True,0.1689579489077584,0.0052242815359273,549.3471322059631,206.8884828090668,756.2356150150299
19,5,2,19,0.5159110988153562,False,0.1689579489077584,0.0048445613705727,570.9012730121613,206.8884828090668,777.789755821228
20,5,2,20,0.5159110988153562,False,0.1689579489077584,0.001878081550028,592.2468044757843,206.8884828090668,799.1352872848511
21,5,2,21,0.5159110988153562,False,0.1689579489077584,0.0057186941978503,613.6468651294708,206.8884828090668,820.5353479385376
22,5,2,22,0.5159110988153562,False,0.1689579489077584,0.0021298432319672,637.0843324661255,206.8884828090668,843.9728152751923
23,5,2,23,0.5159110988153562,False,0.1689579489077584,0.0011921837843086,658.1490399837494,206.8884828090668,865.0375227928162
24,5,2,24,0.5159110988153562,False,0.1689579489077584,5.940828988076835e-05,678.9432764053345,206.8884828090668,885.8317592144012
25,5,2,25,0.5159110988153562,False,0.1689579489077584,0.0006898117027127,698.6946725845337,206.8884828090668,905.5831553936004
26,5,2,26,0.5159110988153562,False,0.1689579489077584,0.0021326667053157,721.0126445293427,206.8884828090668,927.9011273384094
27,5,2,27,0.5159110988153562,False,0.1689579489077584,0.0010195485928689,746.1160626411438,206.8884828090668,953.0045454502106
28,5,2,28,0.5159110988153562,False,0.1689579489077584,6.493842732871824e-05,770.4970779418945,206.8884828090668,977.3855607509612
29,5,2,29,0.5159110988153562,False,0.1689579489077584,0.0005985489406847,791.6256330013275,206.8884828090668,998.5141158103944
30,5,2,30,0.5159110988153562,False,0.1689579489077584,6.722350418243855e-05,811.6299138069153,206.8884828090668,1018.518396615982
31,5,2,31,0.5159110988153562,True,0.5281420392695652,0.0018409646887397,845.7686631679535,262.17395067214966,1107.9426138401031
32,5,2,32,0.5159110988153562,False,0.5281420392695652,4.716804613265182e-05,879.5448474884033,262.17395067214966,1141.718798160553
33,5,2,33,0.5159110988153562,False,0.5281420392695652,0.0023837024594635,912.1942274570464,262.17395067214966,1174.3681781291962
34,5,2,34,0.5159110988153562,False,0.5281420392695652,0.002072550489455,942.495130777359,262.17395067214966,1204.669081449509
35,5,2,35,0.5159110988153562,False,0.5281420392695652,2.924609668157884e-05,972.4714891910552,262.17395067214966,1234.645439863205
36,5,2,36,0.5159110988153562,False,0.5281420392695652,0.0004852663320181,1006.1102907657624,262.17395067214966,1268.284241437912
37,5,2,37,0.5159110988153562,False,0.5281420392695652,0.000136878461031,1038.356156349182,262.17395067214966,1300.5301070213318
38,5,2,38,0.5159110988153562,False,0.5281420392695652,5.0685543222184574e-05,1070.2068991661072,262.17395067214966,1332.3808498382568
39,5,2,39,0.5159110988153562,True,0.1689579489077584,0.0001090210039003,1089.7837929725647,311.5881679058075,1401.3719608783722
40,5,2,40,0.5159110988153562,False,0.1689579489077584,2.8440086455319133e-05,1109.968269109726,311.5881679058075,1421.5564370155334
41,5,2,41,0.5159110988153562,False,0.1689579489077584,0.0006627232515272,1131.3757462501526,311.5881679058075,1442.96391415596
42,5,2,42,0.5159110988153562,False,0.1689579489077584,3.9086526566235125e-05,1150.8829400539398,311.5881679058075,1462.471107959747
43,5,2,43,0.5159110988153562,False,0.1689579489077584,4.606672935631493e-05,1171.277540922165,311.5881679058075,1482.8657088279724
