,heuristic_param,seed,n_gen,score,readjustement,accuracy,variance,elapsed_time_proc,elapsed_time_acc,elapsed_time
0,"[5, 3]",2,0,0.4415398480608566,True,0.1689579489077584,0.0234236132162213,18.301654815673828,59.60716819763184,77.90882301330566
1,"[5, 3]",2,1,0.4415398480608566,False,0.1689579489077584,0.0164783998740548,38.87778091430664,59.60716819763184,98.48494911193848
2,"[5, 3]",2,2,0.4415398480608566,False,0.1689579489077584,0.0192172445468655,63.68564796447754,59.60716819763184,123.29281616210938
3,"[5, 3]",2,3,0.4903408475766573,False,0.1689579489077584,0.0224089619439385,87.22322916984558,59.60716819763184,146.83039736747742
4,"[5, 3]",2,4,0.4903408475766573,False,0.1689579489077584,0.0264835577611127,116.67201280593872,59.60716819763184,176.27918100357056
5,"[5, 3]",2,5,0.4903408475766573,False,0.1689579489077584,0.0134956437736932,147.9931218624115,59.60716819763184,207.6002900600433
6,"[5, 3]",2,6,0.4917557434339029,False,0.1689579489077584,0.037479185494346,177.0530867576599,59.60716819763184,236.66025495529172
7,"[5, 3]",2,7,0.4917557434339029,False,0.1689579489077584,0.0213982099552519,204.396723985672,59.60716819763184,264.00389218330383
8,"[5, 3]",2,8,0.4917557434339029,False,0.1689579489077584,0.0303375801099589,231.47322463989255,59.60716819763184,291.0803928375244
9,"[5, 3]",2,9,0.4917557434339029,False,0.1689579489077584,0.006526241578789,261.388391494751,59.60716819763184,320.9955596923828
10,"[5, 3]",2,10,0.4920375706120409,False,0.1689579489077584,0.0118070062674447,293.6532256603241,59.60716819763184,353.26039385795593
11,"[5, 3]",2,11,0.4920375706120409,False,0.1689579489077584,0.0167182487196811,322.53521633148193,59.60716819763184,382.14238452911377
12,"[5, 3]",2,12,0.4929786582567409,False,0.1689579489077584,0.0072573514499209,355.7752101421356,59.60716819763184,415.38237833976746
13,"[5, 3]",2,13,0.4929786582567409,False,0.1689579489077584,0.0104758827744272,387.4548959732056,59.60716819763184,447.0620641708374
14,"[5, 3]",2,14,0.4921894641396874,False,0.1689579489077584,0.0041027417182781,421.7004184722901,59.60716819763184,481.3075866699219
15,"[5, 3]",2,15,0.4921894641396874,False,0.1689579489077584,0.0002108827491253,453.8109447956085,59.60716819763184,513.4181129932404
16,"[5, 3]",2,16,0.4949989373898323,False,0.1689579489077584,0.0047298676897854,489.5907561779022,59.60716819763184,549.1979243755341
17,"[5, 3]",2,17,0.4949989373898323,False,0.1689579489077584,0.0104590786479077,521.3731091022491,59.60716819763184,580.980277299881
18,"[5, 3]",2,18,0.5002638520345234,False,0.1689579489077584,0.0125456584003945,552.5806229114532,59.60716819763184,612.1877911090851
19,"[5, 3]",2,19,0.5002638520345234,False,0.1689579489077584,0.0111189534917952,582.7894401550293,59.60716819763184,642.3966083526611
20,"[5, 3]",2,20,0.5002638520345234,False,0.1689579489077584,0.0090450815645275,614.3283841609955,59.60716819763184,673.9355523586273
21,"[5, 3]",2,21,0.5002638520345234,False,0.1689579489077584,0.0072651975532804,647.2291815280914,59.60716819763184,706.8363497257233
22,"[5, 3]",2,22,0.5034170560838822,False,0.1689579489077584,0.0064803260863011,676.1923317909241,59.60716819763184,735.7994999885559
23,"[5, 3]",2,23,0.5236874478179923,False,0.1689579489077584,0.0052009488032143,708.4534244537354,59.60716819763184,768.0605926513672
24,"[5, 3]",2,24,0.5236874478179923,False,0.1689579489077584,0.0216918764897283,743.4106230735779,59.60716819763184,803.0177912712097
25,"[5, 3]",2,25,0.5236874478179923,True,0.1689579489077584,0.0127891654540309,781.0141830444336,164.7998538017273,945.8140368461608
26,"[5, 3]",2,26,0.5236874478179923,False,0.1689579489077584,0.002091908467955,820.861974477768,164.7998538017273,985.6618282794952
27,"[5, 3]",2,27,0.5236874478179923,False,0.1689579489077584,0.0082761575715315,858.7268714904785,164.7998538017273,1023.5267252922058
28,"[5, 3]",2,28,0.5236874478179923,False,0.1689579489077584,0.0115142037754291,899.3694887161255,164.7998538017273,1064.1693425178528
29,"[5, 3]",2,29,0.5236874478179923,False,0.1689579489077584,0.002142290564456,940.2933042049408,164.7998538017273,1105.093158006668
30,"[5, 3]",2,30,0.5236874478179923,False,0.1689579489077584,0.002271725215954,983.9751925468444,164.7998538017273,1148.7750463485718
31,"[5, 3]",2,31,0.5234927675285491,False,0.1689579489077584,0.0001289983474539,1028.4439461231232,164.7998538017273,1193.2437999248505
32,"[5, 3]",2,32,0.5234927675285491,False,0.1689579489077584,0.0181135386994699,1069.0888319015503,164.7998538017273,1233.8886857032776
33,"[5, 3]",2,33,0.5234927675285491,False,0.1689579489077584,0.0060497779016845,1106.839475631714,164.7998538017273,1271.6393294334412
34,"[5, 3]",2,34,0.5235691035659835,False,0.1689579489077584,0.0065353294841316,1146.2866659164429,164.7998538017273,1311.0865197181702
35,"[5, 3]",2,35,0.5235691035659835,False,0.1689579489077584,0.0038590009825927,1187.6446805000303,164.7998538017273,1352.4445343017578
36,"[5, 3]",2,36,0.5235691035659835,False,0.1689579489077584,0.0009106646877342,1228.0258333683014,164.7998538017273,1392.8256871700287
37,"[5, 3]",2,37,0.5235691035659835,False,0.1689579489077584,0.0044500796937344,1267.3342216014862,164.7998538017273,1432.1340754032135
38,"[5, 3]",2,38,0.5244821125887967,False,0.1689579489077584,0.0029086117715235,1311.0476353168488,164.7998538017273,1475.847489118576
39,"[5, 3]",2,39,0.5255242586221482,False,0.1689579489077584,0.0043505091579039,1356.483538866043,164.7998538017273,1521.2833926677704
