,env_name,interpolation_expression,inverse_expression,lower_time,upper_time
0,SymbolicRegressor,-5.38769029390096e-12*m**0+0.02000000000507729*m**1-9.254819133275305e-13*m**2+2.65898414397725e-14*m**3-3.3306690738754696e-16*m**4-1.1926223897340549e-18*m**5+4.912791094074942e-20*m**6+4.499862532288471e-22*m**7-6.617444900424222e-24*m**8+2.1002632740604218e-26*m**9,+6.66773303237278e-10*m_inv**0+49.9999999901047*m_inv**1+4.2913598008453846e-08*m_inv**2-1.2223608791828156e-07*m_inv**3+2.4121254682540894e-07*m_inv**4-2.3096799850463867e-07*m_inv**5+1.1548399925231934e-07*m_inv**6-2.421438694000244e-08*m_inv**7+9.313225746154785e-10*m_inv**8-2.2118911147117615e-09*m_inv**9,5.0,50.0
1,WindFLO,-373.37592103177485*m**0+65259.59659205517*m**1-5012537.10005486*m**2+221882940.30623055*m**3-6234447928.443909*m**4+115294947172.78711*m**5-1403455462073.1875*m**6+10847201061117.188*m**7-48330506214167.0*m**8+94655474815535.0*m**9,+0.03014250513505683*m_inv**0-0.017390584969313894*m_inv**1+0.9148106278984613*m_inv**2-6.094775542632789*m_inv**3+26.67554987520907*m_inv**4-74.14946514715939*m_inv**5+125.2410059135891*m_inv**6-122.99929755053745*m_inv**7+64.2297589585769*m_inv**8-13.748312788062663*m_inv**9,0.0301260232925414,0.0820262670516967
2,MuJoCo,+1.3065815096524602e-10*m**0+0.0009999999982784613*m**1+4.583139423530724e-15*m**2-4.7196675821009615e-18*m**3+3.771943593241806e-21*m**4-3.851559727200035e-24*m**5+2.0194839173657902e-27*m**6+5.9164567891575885e-31*m**7-1.0833355937178202e-34*m**8+5.877471754111438e-38*m**9,+1.3357748684938997e-08*m_inv**0+999.9999998013955*m_inv**1+8.582137525081635e-07*m_inv**2-2.4456530809402466e-06*m_inv**3+5.0067901611328125e-06*m_inv**4-4.738569259643555e-06*m_inv**5+3.2782554626464844e-06*m_inv**6-3.5762786865234375e-07*m_inv**7-1.6391277313232422e-07*m_inv**8-4.470348358154297e-08*m_inv**9,100.0,1000.0
3,Turbines,-243015.63543346524*m**0+1663561.4949741364*m**1-5146734.956692696*m**2+9499007.999708176*m**3-11620834.279138565*m**4+9894837.144611359*m**5-5983896.693317413*m**6+2570325.2465000153*m**7-768558.5748801231*m**8+152369.07300800085*m**9-18027.27123771608*m**10+964.3757314465474*m**11,+7.5306199795304565*m_inv**0-188.7941624148516*m_inv**1+2363.9667632728815*m_inv**2-16644.18116134405*m_inv**3+73884.61043864489*m_inv**4-218171.45937645435*m_inv**5+439552.2998019457*m_inv**6-607148.2131781578*m_inv**7+565944.5794453621*m_inv**8-340373.51625418663*m_inv**9+119289.17694020271*m_inv**10-18513.73982281983*m_inv**11,1.1648003625869752,2.260053095817566
