,train_seed,n_gen,score,elapsed_time,time_gen,n_eval
885,31,15,0.32785845089490856,7.583885908126831,0.3714432716369629,560000
886,31,16,0.32785845089490856,7.9275429248809814,0.3434109687805176,595000
887,31,17,0.32785845089490856,8.260607957839966,0.33283114433288574,630000
888,31,18,0.32785845089490856,8.586366415023804,0.3255136013031006,665000
889,31,19,0.32785845089490856,8.909523963928223,0.32293248176574707,700000
890,31,20,0.32785845089490856,9.22532606124878,0.3155641555786133,735000
891,31,21,0.32785845089490856,9.541590929031372,0.31604456901550293,770000
892,31,22,0.32785845089490856,9.860340118408203,0.3185279369354248,805000
893,31,23,0.32785845089490856,10.175897121429443,0.3153231143951416,840000
894,31,24,0.32785845089490856,10.53333044052124,0.35720038414001465,875000
895,31,25,0.32785845089490856,10.870161533355713,0.33658909797668457,910000
896,31,26,0.32785845089490856,11.187565088272095,0.3171718120574951,945000
897,31,27,0.32785845089490856,11.504185914993286,0.3163795471191406,980000
898,31,28,0.32785845089490856,11.702275037765503,0.1978590488433838,1000020
899,32,0,0.40237612786156973,0.4745602607727051,0.4743642807006836,35000
900,32,1,0.3876061518087318,0.7934677600860596,0.3186912536621094,70000
901,32,2,0.28208416017306454,1.1107208728790283,0.3170168399810791,105000
902,32,3,0.21366371486834382,1.4102675914764404,0.29931116104125977,140000
903,32,4,0.24574103022844135,1.7054386138916016,0.2949404716491699,175000
904,32,5,0.24574103022844135,2.010388135910034,0.30470776557922363,210000
905,32,6,0.24574103022844135,2.3221352100372314,0.31151795387268066,245000
906,32,7,0.2491833630153603,2.636500597000122,0.3141148090362549,280000
907,32,8,0.2491833630153603,2.9581451416015625,0.32139158248901367,315000
908,32,9,0.2552808716650331,3.2766306400299072,0.3182501792907715,350000
909,32,10,0.2552808716650331,3.5980606079101562,0.32118916511535645,385000
910,32,11,0.2617768695365744,4.027077674865723,0.42862749099731445,420000
911,32,12,0.2552808716650331,4.594011545181274,0.566596269607544,455000
912,32,13,0.2552808716650331,5.050554990768433,0.4563171863555908,490000
913,32,14,0.253779299886314,5.372917890548706,0.32212281227111816,525000
914,32,15,0.25209459673863255,5.73292088508606,0.3597733974456787,560000
915,32,16,0.25209459673863255,6.059303522109985,0.3261551856994629,595000
916,32,17,0.25209459673863255,6.38213324546814,0.32258033752441406,630000
917,32,18,0.23972392673193682,6.7051544189453125,0.32279062271118164,665000
918,32,19,0.23972392673193682,7.036536693572998,0.3311502933502197,700000
919,32,20,0.23972392673193682,7.361806869506836,0.3250410556793213,735000
920,32,21,0.23972392673193682,7.684329032897949,0.3222799301147461,770000
921,32,22,0.23972392673193682,8.008572101593018,0.3240082263946533,805000
922,32,23,0.23972392673193682,8.323761701583862,0.3149526119232178,840000
923,32,24,0.23972392673193682,8.638923168182373,0.3149247169494629,875000
924,32,25,0.23972392673193682,8.973580360412598,0.3344261646270752,910000
925,32,26,0.23972392673193682,9.288325548171997,0.31450605392456055,945000
926,32,27,0.23972392673193682,9.605608701705933,0.31705212593078613,980000
927,32,28,0.23972392673193682,9.787787437438965,0.18197083473205566,1000020
928,33,0,0.4090153919033797,0.5417516231536865,0.5415470600128174,35000
929,33,1,0.21714542268176423,0.8623919486999512,0.3204178810119629,70000
930,33,2,0.15735509630798852,1.1732585430145264,0.3106250762939453,105000
931,33,3,0.15735509630798852,1.6171541213989258,0.44356632232666016,140000
932,33,4,0.09919498809848648,2.1557302474975586,0.5382411479949951,175000
933,33,5,0.09919498809848648,2.7099733352661133,0.5539052486419678,210000
934,33,6,0.08734852852815245,3.237075090408325,0.5268611907958984,245000
935,33,7,0.07550206895781851,3.55789852142334,0.3205912113189697,280000
936,33,8,0.07438883576663428,3.8800437450408936,0.32188916206359863,315000
937,33,9,0.07438883576663428,4.21191668510437,0.3316075801849365,350000
