,heuristic_param,train_seed,threshold,variance,acc,n_gen,score,elapsed_time,time_gen,n_eval_proc,n_eval_acc,n_eval
0,100000,1,0.95,9186855.340163324,0.44875,0,0.3690536743790147,1.5710525512695312,1.570760726928711,22000,10700,32700
1,100000,1,,,0.44875,1,0.3511081131787085,2.214926481246948,0.6435694694519043,44000,10700,54700
2,100000,1,,,0.44875,2,0.3511081131787085,2.772428035736084,0.5572071075439453,66000,10700,76700
3,100000,1,,,0.44875,3,0.3545485371265431,3.3221147060394287,0.5493369102478027,88000,10700,98700
4,100000,1,,,0.44875,4,0.3545485371265431,3.853602647781372,0.5311334133148193,110000,10700,120700
5,100000,1,,,0.44875,5,0.3058066141298959,4.374922275543213,0.5210256576538086,132000,10700,142700
6,100000,1,,,0.44875,6,0.3058066141298959,4.930526494979858,0.5553059577941895,154000,21400,175400
7,100000,1,,,0.44875,7,0.3058066141298959,5.470017910003662,0.5391898155212402,176000,21400,197400
8,100000,1,,,0.44875,8,0.3058066141298959,6.046005010604858,0.5756881237030029,198000,21400,219400
9,100000,1,,,0.44875,9,0.3058066141298959,6.601688623428345,0.5553743839263916,220000,21400,241400
10,100000,1,,,0.44875,10,0.3058066141298959,7.159271955490112,0.5572831630706787,242000,21400,263400
11,100000,1,,,0.44875,11,0.3058066141298959,7.68613338470459,0.5265469551086426,264000,21400,285400
12,100000,1,,,0.44875,12,0.3058066141298959,8.24766993522644,0.5612318515777588,286000,32100,318100
13,100000,1,,,0.44875,13,0.3058066141298959,8.804462432861328,0.5563280582427979,308000,32100,340100
14,100000,1,,,0.44875,14,0.3058066141298959,9.474347114562988,0.6695566177368164,330000,32100,362100
15,100000,1,,,0.44875,15,0.3058066141298959,10.006094217300417,0.5314395427703857,352000,32100,384100
16,100000,1,,,0.44875,16,0.3058066141298959,10.539281845092772,0.532886266708374,374000,32100,406100
17,100000,1,,,0.44875,17,0.3058066141298959,11.08408784866333,0.544485330581665,396000,32100,428100
18,100000,1,,,0.20375,18,0.4514071442494116,11.736872434616089,0.6523058414459229,406000,41600,447600
19,100000,1,,,0.20375,19,0.4514071442494116,12.305362224578856,0.5681612491607666,416000,41600,457600
20,100000,1,,,0.20375,20,0.3994257230103447,12.945411205291748,0.639714241027832,426000,41600,467600
21,100000,1,,,0.20375,21,0.3253519869198203,13.488367319107056,0.5426173210144043,436000,41600,477600
22,100000,1,,,0.20375,22,0.3832927094349703,14.041280508041382,0.5525796413421631,446000,41600,487600
23,100000,1,,,0.20375,23,0.3767917936153953,14.585286378860474,0.5436348915100098,456000,41600,497600
24,100000,1,,,0.20375,24,0.3658868363273243,15.146254062652588,0.5606262683868408,466000,41600,507600
25,100000,1,,,0.20375,25,0.393733846679532,15.831932544708252,0.6853334903717041,476000,41600,517600
26,100000,1,,,0.20375,26,0.5283233930745665,16.550879955291748,0.7185981273651123,486000,41600,527600
27,100000,1,,,0.20375,27,0.4744432089687768,17.144669771194458,0.5934576988220215,496000,41600,537600
28,100000,1,,,0.20375,28,0.4758312914626971,17.832286596298218,0.6869692802429199,506000,41600,547600
29,100000,1,,,0.6937500000000001,29,0.2994504767223252,18.619887351989743,0.7872710227966309,540000,55900,595900
30,100000,1,,,0.6937500000000001,30,0.3658868363273243,19.26048421859741,0.6402487754821777,574000,55900,629900
31,100000,1,,,0.6937500000000001,31,0.2969477746466429,19.830270767211918,0.5694570541381836,608000,55900,663900
32,100000,1,,,0.6937500000000001,32,0.2969477746466429,20.397868871688843,0.5672416687011719,642000,55900,697900
33,100000,1,,,0.44875,33,0.3216530943970753,21.036843061447144,0.6385984420776367,664000,66600,730600
34,100000,1,,,0.44875,34,0.3080894765227253,21.627426147460938,0.5902397632598877,686000,66600,752600
35,100000,1,,,0.44875,35,0.3058066141298959,22.19295573234558,0.5652108192443848,708000,66600,774600
36,100000,1,,,0.44875,36,0.3058066141298959,22.74771022796631,0.5542361736297607,730000,66600,796600
37,100000,1,,,0.44875,37,0.3058066141298959,23.52483820915222,0.7768001556396484,752000,66600,818600
38,100000,1,,,0.44875,38,0.3058066141298959,24.147363662719727,0.6221404075622559,774000,66600,840600
39,100000,1,,,0.44875,39,0.3058066141298959,24.85323214530945,0.7055485248565674,796000,77300,873300
40,100000,1,,,0.44875,40,0.3058066141298959,25.421526432037357,0.5679669380187988,818000,77300,895300
41,100000,1,,,0.44875,41,0.3058066141298959,26.087756633758545,0.6658921241760254,840000,77300,917300
42,100000,1,,,0.44875,42,0.3058066141298959,26.64487099647522,0.556781530380249,862000,77300,939300
43,100000,1,,,0.44875,43,0.3058066141298959,27.18476152420044,0.539557933807373,884000,77300,961300
44,100000,1,,,0.44875,44,0.3058066141298959,27.73217797279358,0.5470969676971436,906000,77300,983300
45,100000,1,,,0.44875,45,0.3058066141298959,28.31494641304016,0.5824301242828369,928000,88000,1016000
46,100000,2,0.95,5233179.576731151,0.44875,0,0.3702125886589013,1.2919349670410156,1.291599988937378,22000,10700,32700
47,100000,2,,,0.44875,1,0.3815236542097658,1.9667320251464844,0.6744570732116699,44000,10700,54700
48,100000,2,,,0.44875,2,0.2619462206036886,2.5905134677886963,0.6234481334686279,66000,10700,76700
49,100000,2,,,0.44875,3,0.2310407096785387,3.1340999603271484,0.5432446002960205,88000,10700,98700
50,100000,2,,,0.44875,4,0.2310407096785387,3.712713241577149,0.5782687664031982,110000,10700,120700
51,100000,2,,,0.44875,5,0.2349212324068638,4.3084352016448975,0.5952737331390381,132000,10700,142700
