,corr,train_seed,gen,n_eval,acc,score
0,0.4,0,0,2000,0.05,2.14388699954471
1,0.4,0,1,7000,0.1,0.6124418713353661
2,0.4,0,2,12000,0.1,0.6124418713353661
3,0.4,0,3,17000,0.1,0.6124418713353661
4,0.4,0,4,22000,0.1,0.44731597381684307
5,0.4,0,5,27000,0.1,0.44731597381684307
6,0.4,0,6,32000,0.1,0.5190047045567789
7,0.4,0,7,37000,0.1,0.5190047045567789
8,0.4,0,8,42000,0.1,0.5607771489419761
9,0.4,0,9,47000,0.1,0.482184903662883
10,0.4,0,10,52000,0.1,0.482184903662883
11,0.4,0,11,57000,0.1,0.482184903662883
12,0.4,0,12,62000,0.1,0.482184903662883
13,0.4,0,13,67000,0.1,0.5607771489419761
14,0.4,0,14,72000,0.1,0.5607771489419761
15,0.4,0,15,77000,0.1,0.5607771489419761
16,0.4,0,16,82000,0.1,0.5607771489419761
17,0.4,0,17,87000,0.1,0.5607771489419761
18,0.4,0,18,92000,0.1,0.5607771489419761
19,0.4,0,19,97000,0.1,0.5607771489419761
20,0.4,0,20,102000,0.1,0.5607771489419761
21,0.4,0,21,107000,0.1,0.5607771489419761
22,0.4,0,22,112000,0.1,0.5607771489419761
23,0.4,0,23,117000,0.1,0.5607771489419761
24,0.4,0,24,122000,0.1,0.5607771489419761
25,0.4,0,25,127000,0.1,0.5607771489419761
26,0.4,0,26,132000,0.1,0.5607771489419761
27,0.4,0,27,137000,0.1,0.5607771489419761
28,0.4,0,28,142000,0.1,0.5607771489419761
29,0.4,0,29,147000,0.1,0.5607771489419761
30,0.4,0,30,152000,0.1,0.5607771489419761
31,0.4,0,31,157000,0.1,0.5607771489419761
32,0.4,0,32,162000,0.1,0.5607771489419761
33,0.4,0,33,167000,0.1,0.5607771489419761
34,0.4,0,34,172000,0.1,0.5607771489419761
35,0.4,0,35,177000,0.1,0.5607771489419761
36,0.4,0,36,182000,0.1,0.5607771489419761
37,0.4,0,37,187000,0.1,0.5607771489419761
38,0.4,0,38,192000,0.1,0.5607771489419761
39,0.4,0,39,197000,0.1,0.5607771489419761
40,0.4,0,40,202000,0.1,0.5607771489419761
41,0.4,0,41,207000,0.1,0.5607771489419761
42,0.4,0,42,212000,0.1,0.5607771489419761
43,0.4,0,43,217000,0.1,0.5607771489419761
44,0.4,0,44,222000,0.1,0.5607771489419761
45,0.4,0,45,227000,0.1,0.5607771489419761
46,0.4,0,46,232000,0.1,0.5607771489419761
47,0.4,0,47,237000,0.1,0.5607771489419761
48,0.4,0,48,242000,0.1,0.5607771489419761
49,0.4,0,49,247000,0.1,0.5607771489419761
50,0.4,1,0,2000,0.05,0.5381346321734954
51,0.4,1,1,4000,0.05,0.6939479948912813
52,0.4,1,2,6000,0.05,0.6496867680711957
53,0.4,1,3,8000,0.05,0.6698657373252979
54,0.4,1,4,10000,0.05,0.9350075112621965
55,0.4,1,5,12000,0.05,0.9350075112621965
56,0.4,1,6,14000,0.05,0.9350075112621965
57,0.4,1,7,16000,0.05,0.9350075112621965
58,0.4,1,8,21000,0.1,0.5191892091956227
59,0.4,1,9,26000,0.1,0.5191892091956227
60,0.4,1,10,31000,0.1,1.103917915430259
61,0.4,1,11,36000,0.1,0.5576949373451044
62,0.4,1,12,41000,0.1,0.5576949373451044
63,0.4,1,13,46000,0.1,0.5576949373451044
64,0.4,1,14,51000,0.1,0.5576949373451044
65,0.4,1,15,56000,0.1,0.557586817680985
66,0.4,1,16,61000,0.1,0.557586817680985
67,0.4,1,17,66000,0.1,0.557586817680985
68,0.4,1,18,71000,0.1,0.557586817680985
69,0.4,1,19,76000,0.1,0.557586817680985
70,0.4,1,20,83000,0.15000000000000002,0.557586817680985
71,0.4,1,21,90000,0.15000000000000002,0.557586817680985
72,0.4,1,22,100000,0.2,0.4546625869188326
73,0.4,1,23,110000,0.2,0.4546625869188326
74,0.4,1,24,120000,0.2,0.4529788302984889
75,0.4,1,25,130000,0.2,0.36826538067404985
76,0.4,1,26,140000,0.2,0.36826538067404985
77,0.4,1,27,150000,0.2,0.36826538067404985
78,0.4,1,28,160000,0.2,0.35919459003837056
79,0.4,1,29,170000,0.2,0.3390868119616842
80,0.4,1,30,180000,0.2,0.33919315772671105
81,0.4,1,31,190000,0.2,0.33919315772671105
82,0.4,1,32,200000,0.2,0.3824811367769882
83,0.4,1,33,210000,0.2,0.34362742163829735
84,0.4,1,34,220000,0.2,0.34378242153179994
85,0.4,1,35,230000,0.2,0.3729141485759493
86,0.4,1,36,240000,0.2,0.34378242153179994
87,0.4,1,37,250000,0.2,0.3483526563706116
88,0.4,1,38,260000,0.2,0.3647926704223231
89,0.4,1,39,270000,0.2,0.34378242153179994
90,0.4,1,40,280000,0.2,0.3442891296705076
91,0.4,1,41,290000,0.2,0.3441740088575035
92,0.4,1,42,300000,0.2,0.3589197626719598
93,0.4,1,43,310000,0.2,0.3442073480308176
94,0.4,1,44,320000,0.2,0.3439896897897627
95,0.4,1,45,330000,0.2,0.3442891296705076
96,0.4,1,46,340000,0.2,0.3439896897897627
97,0.4,1,47,350000,0.2,0.3439896897897627
98,0.4,1,48,360000,0.2,0.3439896897897627
99,0.4,1,49,370000,0.2,0.3439896897897627
100,0.4,2,0,2000,0.05,0.4980893342823612
101,0.4,2,1,7000,0.1,0.5215300399410658
102,0.4,2,2,12000,0.1,0.5780883433886383
103,0.4,2,3,17000,0.1,0.5493859991531977
104,0.4,2,4,22000,0.1,0.5493859991531977
105,0.4,2,5,27000,0.1,0.6470105139724888
106,0.4,2,6,32000,0.1,0.643561137514068
107,0.4,2,7,37000,0.1,0.643561137514068
108,0.4,2,8,42000,0.1,0.5577226877101927
109,0.4,2,9,47000,0.1,0.4740630674688684
110,0.4,2,10,52000,0.1,0.4740630674688684
