,corr,train_seed,gen,n_eval,acc,score
0,0.8,0,0,5000,0.1,0.5204587686075027
1,0.8,0,1,10000,0.1,0.4620905423039106
2,0.8,0,2,15000,0.1,0.4620905423039106
3,0.8,0,3,45000,0.6,0.2870470235488431
4,0.8,0,4,75000,0.6,0.35426903097726303
5,0.8,0,5,105000,0.6,0.30220643557843124
6,0.8,0,6,135000,0.6,0.2870470235488431
7,0.8,0,7,165000,0.6,0.25855175059917024
8,0.8,0,8,195000,0.6,0.22841276198904087
9,0.8,0,9,225000,0.6,0.23834137103662945
10,0.8,0,10,255000,0.6,0.19661692437905082
11,0.8,0,11,285000,0.6,0.19661692437905082
12,0.8,0,12,315000,0.6,0.19470276555742227
13,0.8,0,13,345000,0.6,0.19470276555742227
14,0.8,0,14,375000,0.6,0.20072861280357107
15,0.8,0,15,405000,0.6,0.20072861280357107
16,0.8,0,16,435000,0.6,0.1993100139438473
17,0.8,0,17,465000,0.6,0.1993100139438473
18,0.8,0,18,495000,0.6,0.20223570284862805
19,0.8,0,19,525000,0.6,0.1935864809786967
20,0.8,0,20,555000,0.6,0.1959494681615613
21,0.8,0,21,585000,0.6,0.1959494681615613
22,0.8,0,22,615000,0.6,0.1959494681615613
23,0.8,0,23,645000,0.6,0.1959494681615613
24,0.8,0,24,675000,0.6,0.1959494681615613
25,0.8,0,25,705000,0.6,0.1959494681615613
26,0.8,0,26,735000,0.6,0.1959494681615613
27,0.8,0,27,765000,0.6,0.1959494681615613
28,0.8,0,28,795000,0.6,0.1959494681615613
29,0.8,0,29,825000,0.6,0.19413959396404232
30,0.8,0,30,855000,0.6,0.19413959396404232
31,0.8,0,31,885000,0.6,0.19413959396404232
32,0.8,0,32,915000,0.6,0.19413959396404232
33,0.8,0,33,945000,0.6,0.16213414606737397
34,0.8,0,34,975000,0.6,0.16213414606737397
35,0.8,0,35,1005000,0.6,0.16213414606737397
36,0.8,0,36,1035000,0.6,0.16213414606737397
37,0.8,0,37,1065000,0.6,0.16213414606737397
38,0.8,0,38,1095000,0.6,0.16213414606737397
39,0.8,0,39,1125000,0.6,0.17649115839600266
40,0.8,0,40,1155000,0.6,0.16213414606737397
41,0.8,0,41,1185000,0.6,0.16213414606737397
42,0.8,0,42,1215000,0.6,0.16213414606737397
43,0.8,0,43,1245000,0.6,0.16213414606737397
44,0.8,0,44,1275000,0.6,0.16213414606737397
45,0.8,0,45,1305000,0.6,0.16213414606737397
46,0.8,0,46,1335000,0.6,0.16213414606737397
47,0.8,0,47,1365000,0.6,0.16213414606737397
48,0.8,0,48,1395000,0.6,0.16349743951254653
49,0.8,0,49,1425000,0.6,0.16349743951254653
50,0.8,1,0,5000,0.1,0.44586020110335944
51,0.8,1,1,10000,0.1,0.44586020110335944
52,0.8,1,2,15000,0.1,0.4446090015448667
53,0.8,1,3,20000,0.1,0.4517579315849936
54,0.8,1,4,25000,0.1,0.44971829055196244
55,0.8,1,5,30000,0.1,0.4528011561832324
56,0.8,1,6,35000,0.1,0.4508030255338265
57,0.8,1,7,40000,0.1,0.4508030255338265
