,corr,train_seed,gen,n_eval,acc,score
0,0.9,0,0,10000,0.2,0.41268064234900104
1,0.9,0,1,32000,0.44999999999999996,0.35426903097726303
2,0.9,0,2,62000,0.6,0.35426903097726303
3,0.9,0,3,112000,1.0000000000000002,0.2870470235488431
4,0.9,0,4,162000,1.0000000000000002,0.38972821184411116
5,0.9,0,5,212000,1.0000000000000002,0.2418451618851636
6,0.9,0,6,262000,1.0000000000000002,0.2472122941311075
7,0.9,0,7,312000,1.0000000000000002,0.15889516582758068
8,0.9,0,8,362000,1.0000000000000002,0.139272556928575
9,0.9,0,9,412000,1.0000000000000002,0.12108193575863685
10,0.9,0,10,462000,1.0000000000000002,0.07543264601614359
11,0.9,0,11,512000,1.0000000000000002,0.07543264601614359
12,0.9,0,12,562000,1.0000000000000002,0.07543264601614359
13,0.9,0,13,612000,1.0000000000000002,0.07543264601614359
14,0.9,0,14,662000,1.0000000000000002,0.07543264601614359
15,0.9,0,15,712000,1.0000000000000002,0.07543264601614359
16,0.9,0,16,762000,1.0000000000000002,0.07543264601614359
17,0.9,0,17,812000,1.0000000000000002,0.07543264601614359
18,0.9,0,18,862000,1.0000000000000002,0.07543264601614359
19,0.9,0,19,912000,1.0000000000000002,0.07543264601614359
20,0.9,0,20,962000,1.0000000000000002,0.07543264601614359
21,0.9,0,21,1012000,1.0000000000000002,0.07543264601614359
22,0.9,0,22,1062000,1.0000000000000002,0.07543264601614359
23,0.9,0,23,1112000,1.0000000000000002,0.07543264601614359
24,0.9,0,24,1162000,1.0000000000000002,0.07543264601614359
25,0.9,0,25,1212000,1.0000000000000002,0.07543264601614359
26,0.9,0,26,1262000,1.0000000000000002,0.07543264601614359
27,0.9,0,27,1312000,1.0000000000000002,0.07543264601614359
28,0.9,0,28,1362000,1.0000000000000002,0.07543264601614359
29,0.9,0,29,1412000,1.0000000000000002,0.07543264601614359
30,0.9,0,30,1462000,1.0000000000000002,0.07543264601614359
31,0.9,0,31,1512000,1.0000000000000002,0.07543264601614359
32,0.9,0,32,1562000,1.0000000000000002,0.07543264601614359
33,0.9,0,33,1612000,1.0000000000000002,0.07543264601614359
34,0.9,0,34,1662000,1.0000000000000002,0.07543264601614359
35,0.9,0,35,1712000,1.0000000000000002,0.07543264601614359
36,0.9,0,36,1762000,1.0000000000000002,0.07543264601614359
37,0.9,0,37,1812000,1.0000000000000002,0.07543264601614359
38,0.9,0,38,1862000,1.0000000000000002,0.07543264601614359
39,0.9,0,39,1912000,1.0000000000000002,0.07543264601614359
40,0.9,0,40,1962000,1.0000000000000002,0.07543264601614359
41,0.9,0,41,2012000,1.0000000000000002,0.07543264601614359
42,0.9,0,42,2062000,1.0000000000000002,0.07543264601614359
43,0.9,0,43,2112000,1.0000000000000002,0.07543264601614359
44,0.9,0,44,2162000,1.0000000000000002,0.05392486770938707
45,0.9,0,45,2212000,1.0000000000000002,0.053924867709387064
46,0.9,0,46,2262000,1.0000000000000002,0.053924867709387064
47,0.9,0,47,2312000,1.0000000000000002,0.053924867709387064
48,0.9,0,48,2362000,1.0000000000000002,0.053924867709387064
49,0.9,0,49,2412000,1.0000000000000002,0.053924867709387064
50,0.9,1,0,10000,0.2,0.44586020110335944
51,0.9,1,1,20000,0.2,0.4580227220417294
52,0.9,1,2,30000,0.2,0.5061100068506608
53,0.9,1,3,57000,0.5499999999999999,0.3389158322134403
54,0.9,1,4,89000,0.65,0.3343458120653336
55,0.9,1,5,139000,1.0000000000000002,0.2588544153800807
56,0.9,1,6,189000,1.0000000000000002,0.177517583538367
57,0.9,1,7,239000,1.0000000000000002,0.24697417594544974
58,0.9,1,8,289000,1.0000000000000002,0.23257461712834718
59,0.9,1,9,339000,1.0000000000000002,0.1473046865066175
60,0.9,1,10,389000,1.0000000000000002,0.16333623278560452
61,0.9,1,11,439000,1.0000000000000002,0.12615449091974254
62,0.9,1,12,489000,1.0000000000000002,0.08827094439634738
63,0.9,1,13,539000,1.0000000000000002,0.07887159201408285
64,0.9,1,14,589000,1.0000000000000002,0.07909775512694911
65,0.9,1,15,639000,1.0000000000000002,0.07909775512694911
66,0.9,1,16,689000,1.0000000000000002,0.08196312025299399
67,0.9,1,17,739000,1.0000000000000002,0.08348027678420991
68,0.9,1,18,789000,1.0000000000000002,0.08251230881521632
69,0.9,1,19,839000,1.0000000000000002,0.08251230881521632
70,0.9,1,20,889000,1.0000000000000002,0.08251230881521632
71,0.9,1,21,939000,1.0000000000000002,0.0792928376243568
72,0.9,1,22,989000,1.0000000000000002,0.08251230881521632
73,0.9,1,23,1039000,1.0000000000000002,0.09647212679175393
74,0.9,1,24,1089000,1.0000000000000002,0.08660560451397249
75,0.9,1,25,1139000,1.0000000000000002,0.08660560451397249
76,0.9,1,26,1189000,1.0000000000000002,0.08660560451397249
77,0.9,1,27,1239000,1.0000000000000002,0.09647212679175393
78,0.9,1,28,1289000,1.0000000000000002,0.08660560451397249
79,0.9,1,29,1339000,1.0000000000000002,0.08660560451397249
80,0.9,1,30,1389000,1.0000000000000002,0.08660560451397249
81,0.9,1,31,1439000,1.0000000000000002,0.08660560451397249
82,0.9,1,32,1489000,1.0000000000000002,0.08660560451397249
83,0.9,1,33,1539000,1.0000000000000002,0.08660560451397249
84,0.9,1,34,1589000,1.0000000000000002,0.08660560451397249
85,0.9,1,35,1639000,1.0000000000000002,0.08660560451397249
86,0.9,1,36,1689000,1.0000000000000002,0.08893149041856364
87,0.9,1,37,1739000,1.0000000000000002,0.08660560451397249
88,0.9,1,38,1789000,1.0000000000000002,0.08660560451397249
89,0.9,1,39,1839000,1.0000000000000002,0.08660560451397249
90,0.9,1,40,1889000,1.0000000000000002,0.08660560451397249
91,0.9,1,41,1939000,1.0000000000000002,0.08660560451397249
92,0.9,1,42,1989000,1.0000000000000002,0.08355860967490408
93,0.9,1,43,2039000,1.0000000000000002,0.08660560451397249
94,0.9,1,44,2089000,1.0000000000000002,0.08660560451397249
95,0.9,1,45,2139000,1.0000000000000002,0.08660560451397249
96,0.9,1,46,2189000,1.0000000000000002,0.08660560451397249
97,0.9,1,47,2239000,1.0000000000000002,0.08660560451397249
98,0.9,1,48,2289000,1.0000000000000002,0.08660560451397249
99,0.9,1,49,2339000,1.0000000000000002,0.08660560451397249
100,0.9,2,0,10000,0.2,0.45467688397140044
101,0.9,2,1,32000,0.44999999999999996,0.43370079474689116
102,0.9,2,2,62000,0.6,0.3849433082506313
103,0.9,2,3,92000,0.6,0.3393547973729944
104,0.9,2,4,122000,0.6,0.34442338872336065
105,0.9,2,5,152000,0.6,0.2980006596236205
106,0.9,2,6,202000,1.0000000000000002,0.32022587374214395
107,0.9,2,7,252000,1.0000000000000002,0.31785032621513803
108,0.9,2,8,302000,1.0000000000000002,0.2344643814659097
109,0.9,2,9,352000,1.0000000000000002,0.15010388760328383
110,0.9,2,10,402000,1.0000000000000002,0.14142970684658215
111,0.9,2,11,452000,1.0000000000000002,0.12308372415367323
112,0.9,2,12,502000,1.0000000000000002,0.1259986717946918
113,0.9,2,13,552000,1.0000000000000002,0.10884756973808439
114,0.9,2,14,602000,1.0000000000000002,0.10211813846743066
115,0.9,2,15,652000,1.0000000000000002,0.10567508882453261
116,0.9,2,16,702000,1.0000000000000002,0.10567508882453261
117,0.9,2,17,752000,1.0000000000000002,0.10448162666067645
118,0.9,2,18,802000,1.0000000000000002,0.10448162666067645
119,0.9,2,19,852000,1.0000000000000002,0.10448162666067645
120,0.9,2,20,902000,1.0000000000000002,0.10448162666067645
121,0.9,2,21,952000,1.0000000000000002,0.10448162666067645
122,0.9,2,22,1002000,1.0000000000000002,0.10448162666067645
123,0.9,2,23,1052000,1.0000000000000002,0.10448162666067645
124,0.9,2,24,1102000,1.0000000000000002,0.10448162666067645
125,0.9,2,25,1152000,1.0000000000000002,0.10448162666067645
126,0.9,2,26,1202000,1.0000000000000002,0.10448162666067645
127,0.9,2,27,1252000,1.0000000000000002,0.10448162666067645
128,0.9,2,28,1302000,1.0000000000000002,0.10448162666067645
129,0.9,2,29,1352000,1.0000000000000002,0.10448162666067645
130,0.9,2,30,1402000,1.0000000000000002,0.10448162666067645
131,0.9,2,31,1452000,1.0000000000000002,0.10448162666067645
132,0.9,2,32,1502000,1.0000000000000002,0.10448162666067645
133,0.9,2,33,1552000,1.0000000000000002,0.10448162666067645
134,0.9,2,34,1602000,1.0000000000000002,0.10448162666067645
135,0.9,2,35,1652000,1.0000000000000002,0.10448162666067645
