,accuracy,train_seed,n_gen,n_ep,n_steps,reward
0,1.0,2,0,20,20000,26.89235218146727
1,1.0,2,1,40,40000,-23.62298896107369
2,1.0,2,2,60,60000,-18.422832501581627
3,1.0,2,3,80,80000,3.947901622988383
4,1.0,2,4,100,100000,-15.120282744158942
5,1.0,2,5,120,120000,-20.791783880418507
6,1.0,2,6,140,140000,-29.70293322282158
7,1.0,2,7,160,160000,8.791231021094955
8,1.0,2,8,180,180000,9.6142289481817
9,1.0,2,9,200,200000,25.06541951754776
10,1.0,2,10,220,220000,26.23917590741474
11,1.0,2,11,240,240000,27.996983114085538
12,1.0,2,12,260,260000,19.44980167050093
13,1.0,2,13,280,280000,124.47747020923536
14,1.0,2,14,300,300000,36.94970856293397
15,1.0,2,15,320,320000,21.371441445137727
16,1.0,2,16,340,340000,10.440634879572425
17,1.0,2,17,360,360000,8.406603488116826
18,1.0,2,18,380,380000,16.35194577799947
19,1.0,2,19,400,400000,165.3788061928975
20,1.0,2,20,420,420000,43.82285027127814
21,1.0,2,21,440,440000,15.359961916460364
22,1.0,2,22,460,460000,289.0901298192902
23,1.0,2,23,480,480000,-27.31884114268778
24,1.0,2,24,500,500000,-66.68308145671804
25,1.0,2,25,520,520000,0.4864925954110652
26,1.0,2,26,540,540000,8.800886837555987
27,1.0,2,27,560,560000,207.05088104372484
28,1.0,2,28,580,580000,159.90985176120142
29,1.0,2,29,600,600000,91.38568173304895
30,1.0,2,30,620,620000,88.98937209412422
31,1.0,2,31,640,640000,223.5852676632759
32,1.0,2,32,660,660000,136.7223195842913
33,1.0,2,33,680,680000,175.5104555959703
34,1.0,2,34,700,700000,-36.94322808175919
35,1.0,2,35,720,720000,55.77332873281138
36,1.0,2,36,740,740000,258.12095829042335
37,1.0,2,37,760,760000,223.6460350164644
38,1.0,2,38,780,780000,53.3740800676272
39,1.0,2,39,800,800000,202.70495041573787
40,1.0,2,40,820,820000,-20.5724622991951
41,1.0,2,41,840,840000,251.8015068259635
42,1.0,2,42,860,860000,162.95478792734053
43,1.0,2,43,880,880000,295.2257540290043
44,1.0,2,44,900,900000,167.54986310618872
45,1.0,2,45,920,920000,240.2749355593812
46,1.0,2,46,940,940000,233.11829025390776
47,1.0,2,47,960,960000,203.6211158606267
48,1.0,2,48,980,980000,49.14833002474415
49,1.0,2,49,1000,1000000,194.63817891713543
50,1.0,3,0,20,20000,14.931315052679532
51,1.0,3,1,40,40000,5.670043762330954
52,1.0,3,2,60,60000,0.5960571237410265
53,1.0,3,3,80,80000,-24.69094691857437
54,1.0,3,4,100,100000,22.53931837607333
55,1.0,3,5,120,120000,-29.13776628517673
56,1.0,3,6,140,140000,5.50884788669386
57,1.0,3,7,160,160000,-7.764224200793093
58,1.0,3,8,180,180000,9.6142289481817
59,1.0,3,9,200,200000,20.88770182097907
60,1.0,3,10,220,220000,-15.93594671898234
61,1.0,3,11,240,240000,-20.767635178379034
62,1.0,3,12,260,260000,10.285645644126188
63,1.0,3,13,280,280000,9.6142289481817
64,1.0,3,14,300,300000,22.08944783584004
65,1.0,3,15,320,320000,19.15478310482903
66,1.0,3,16,340,340000,-8.97041175925342
67,1.0,3,17,360,360000,29.672778008972703
68,1.0,3,18,380,380000,32.31832797560638
69,1.0,3,19,400,400000,28.928268387571745
70,1.0,3,20,420,420000,38.85768982498315
71,1.0,3,21,440,440000,16.201434894883686
72,1.0,3,22,460,460000,28.471245477412616
73,1.0,3,23,480,480000,17.874009253239315
74,1.0,3,24,500,500000,23.033200040947264
75,1.0,3,25,520,520000,16.53057737467469
76,1.0,3,26,540,540000,21.632180743141525
77,1.0,3,27,560,560000,-37.23453805055858
78,1.0,3,28,580,580000,27.63988668609968
79,1.0,3,29,600,600000,17.185203156607198
80,1.0,3,30,620,620000,53.6921845144362
81,1.0,3,31,640,640000,17.516837408876675
82,1.0,3,32,660,660000,-20.05876119954768
83,1.0,3,33,680,680000,-14.317667321374216
84,1.0,3,34,700,700000,24.99784191931031
85,1.0,3,35,720,720000,50.33482958561328
86,1.0,3,36,740,740000,-10.358496409808916
87,1.0,3,37,760,760000,29.050199788429723
88,1.0,3,38,780,780000,54.73398692268976
89,1.0,3,39,800,800000,-3.0666647107155818
90,1.0,3,40,820,820000,-60.934435510585296
91,1.0,3,41,840,840000,22.207020258261487
92,1.0,3,42,860,860000,10.097357711864143
93,1.0,3,43,880,880000,-3.7132205085671672
94,1.0,3,44,900,900000,41.75441672215855
95,1.0,3,45,920,920000,14.99903286396846
96,1.0,3,46,940,940000,16.794451111993034
97,1.0,3,47,960,960000,44.75104287506599
98,1.0,3,48,980,980000,33.21652405106238
99,1.0,3,49,1000,1000000,-35.42695392021771
100,1.0,4,0,20,20000,22.0179811369502
101,1.0,4,1,40,40000,9.60886945277584
102,1.0,4,2,60,60000,3.313071438446223
103,1.0,4,3,80,80000,14.931315052679532
104,1.0,4,4,100,100000,-3.0876123941777265
105,1.0,4,5,120,120000,17.697839331199653
106,1.0,4,6,140,140000,3.4842562180217387
107,1.0,4,7,160,160000,-7.733099822653711
108,1.0,4,8,180,180000,-40.9598629134308
109,1.0,4,9,200,200000,34.404802921198666
110,1.0,4,10,220,220000,12.425060702551209
111,1.0,4,11,240,240000,23.56531693312292
112,1.0,4,12,260,260000,20.927848330704
113,1.0,4,13,280,280000,26.69822579703699
114,1.0,4,14,300,300000,13.692701180894986
115,1.0,4,15,320,320000,12.853826229022925
116,1.0,4,16,340,340000,-3.8526225579128335
117,1.0,4,17,360,360000,-16.966435457217337
118,1.0,4,18,380,380000,-3.7840023507668334
119,1.0,4,19,400,400000,-26.285298185016263
120,1.0,4,20,420,420000,12.11993062768154
121,1.0,4,21,440,440000,12.077138829872553
122,1.0,4,22,460,460000,35.10571595325341
123,1.0,4,23,480,480000,38.38303463328937
124,1.0,4,24,500,500000,-7.517059905538099
125,1.0,4,25,520,520000,-13.046772058292795
126,1.0,4,26,540,540000,-13.077869819613763
127,1.0,4,27,560,560000,-0.2970310706000717
128,1.0,4,28,580,580000,-37.16333763719141
129,1.0,4,29,600,600000,15.959309658204162
130,1.0,4,30,620,620000,26.641723948246987
131,1.0,4,31,640,640000,83.91699543367447
132,1.0,4,32,660,660000,10.78961851224885
133,1.0,4,33,680,680000,-1.841591345764496
134,1.0,4,34,700,700000,4.567960945970119
135,1.0,4,35,720,720000,32.06985533291483
136,1.0,4,36,740,740000,22.72090702823068
137,1.0,4,37,760,760000,24.20404704987428
138,1.0,4,38,780,780000,14.055933808567692
139,1.0,4,39,800,800000,28.0111049784206
140,1.0,4,40,820,820000,-19.280898381361222
141,1.0,4,41,840,840000,-15.116796664081413
142,1.0,4,42,860,860000,24.90053625996816
143,1.0,4,43,880,880000,62.96109064890965
144,1.0,4,44,900,900000,18.25089290122296
145,1.0,4,45,920,920000,40.186817470111606
146,1.0,4,46,940,940000,55.26706757256168
147,1.0,4,47,960,960000,21.57875298115364
148,1.0,4,48,980,980000,48.52627869114347
149,1.0,4,49,1000,1000000,38.78586808500859
150,1.0,5,0,20,20000,-19.17648495754914
151,1.0,5,1,40,40000,-22.338536503598544
152,1.0,5,2,60,60000,-16.53491753729717
153,1.0,5,3,80,80000,-24.49571018970794
154,1.0,5,4,100,100000,14.931315052679532
155,1.0,5,5,120,120000,2.5239637339859966
156,1.0,5,6,140,140000,-10.164546360053226
157,1.0,5,7,160,160000,-7.932385619204455
158,1.0,5,8,180,180000,6.62183930526775
159,1.0,5,9,200,200000,-14.581220112977364
160,1.0,5,10,220,220000,-16.28012577903434
161,1.0,5,11,240,240000,12.475129081162429
162,1.0,5,12,260,260000,-25.21824242330849
163,1.0,5,13,280,280000,-7.483601364018635
164,1.0,5,14,300,300000,9.6142289481817
165,1.0,5,15,320,320000,8.46571769514393
166,1.0,5,16,340,340000,-6.821599989058913
