,N,seed,n_turb,turb_score,eval_score,elapsed_time
0,20,0,1,0.4208851986367713,0.41383490600730843,14.052817821502686
1,20,0,2,0.0,0.41383490600730843,18.213346242904663
2,20,0,3,0.4465743254056193,0.449059360456762,23.059370517730713
3,20,0,4,0.46016803917392274,0.45773132651551307,28.55305290222168
4,20,0,5,0.13439983222927343,0.45773132651551307,34.174474477767944
5,20,0,6,0.4446299727837548,0.45773132651551307,37.90733289718628
6,20,0,7,0.3630013183447415,0.45773132651551307,45.142348766326904
7,20,0,8,0.0,0.45773132651551307,49.44327998161316
8,20,0,9,0.22478097006362624,0.45773132651551307,52.1530601978302
9,20,0,10,0.38092305538449667,0.45773132651551307,53.81313371658325
10,20,0,11,0.0,0.45773132651551307,57.13723278045654
11,20,0,12,0.0,0.45773132651551307,59.49639558792114
12,20,0,13,0.0,0.45773132651551307,61.39592099189758
13,20,0,14,0.0,0.45773132651551307,65.94485712051392
14,20,0,15,0.0,0.45773132651551307,67.89879655838013
15,20,0,16,0.15254308691753315,0.45773132651551307,70.68424987792969
16,20,0,17,0.3078660433577573,0.45773132651551307,81.00912809371948
17,20,0,18,0.3573387688977705,0.45773132651551307,88.66470146179199
18,20,0,19,0.01228086373478828,0.45773132651551307,94.35121774673462
19,20,0,20,0.0,0.45773132651551307,96.54309439659119
20,20,0,21,0.4394076845745613,0.45773132651551307,99.87189650535583
21,20,0,22,0.0,0.45773132651551307,102.89781641960144
22,20,0,23,0.4695696286281043,0.46743510001984384,103.12368512153625
23,20,0,24,0.24389179761660448,0.46743510001984384,106.80301451683044
24,20,0,25,0.25328881350659227,0.46743510001984384,113.40095591545105
25,20,0,26,0.2743914513489012,0.46743510001984384,117.76355481147766
26,20,0,27,0.37861308769840557,0.46743510001984384,127.21722483634949
27,20,0,28,0.19509859906436786,0.46743510001984384,131.29141449928284
28,20,0,29,0.0,0.46743510001984384,135.3330798149109
29,20,0,30,0.0,0.46743510001984384,137.2305040359497
30,20,0,31,0.35098668618571266,0.46743510001984384,143.66859889030457
31,20,0,32,0.4790155496780999,0.47641761011189243,147.623521566391
32,20,0,33,0.3613912729509623,0.47641761011189243,150.34182620048523
33,20,0,34,0.0,0.47641761011189243,152.89822840690613
34,20,0,35,0.36371915350094086,0.47641761011189243,160.6611566543579
35,20,0,36,0.0,0.47641761011189243,163.31973218917847
36,20,0,37,0.0,0.47641761011189243,168.31517100334167
37,20,0,38,0.0,0.47641761011189243,174.65938711166382
38,20,0,39,0.0,0.47641761011189243,178.14494585990906
39,20,0,40,0.48169239011286896,0.4829271898746377,190.99748849868774
40,20,0,41,0.4069950462255285,0.4829271898746377,195.7478301525116
41,20,0,42,0.015205983975698497,0.4829271898746377,201.1433207988739
