,accuracy,time_per_eval
0,0.1,1.2212213897705078
1,0.2,1.4451761627197266
2,0.3,1.6986105132102967
3,0.4,1.9604841160774231
4,0.5,2.234781184196472
5,0.6,2.4745737957954406
6,0.7,2.7368173003196716
7,0.78,3.001764669418335
8,0.9,3.258278560638428
9,1.0,3.6921752762794493
