,accuracy,seed,n_gen,score,elapsed_time
0,0.9,2,0,0.4415398480608566,60.00884771347046
1,0.9,2,1,0.4415398480608566,118.02553582191469
2,0.9,2,2,0.4718381047740621,183.0016613006592
3,0.9,2,3,0.4718381047740621,254.20581936836243
4,0.9,2,4,0.4718381047740621,319.45972514152527
5,0.9,2,5,0.4718381047740621,392.82276606559753
6,0.9,2,6,0.4904078940787076,470.53381419181824
7,0.9,2,7,0.4955758158134176,539.6610572338104
8,0.9,2,8,0.5085285952966158,604.2898330688477
9,0.9,2,9,0.5085285952966158,676.771082162857
10,0.9,2,10,0.5085285952966158,733.6218123435974
11,0.9,2,11,0.5125459321464275,790.0331258773804
12,0.9,2,12,0.5125459321464275,846.8800485134125
13,0.9,2,13,0.5125459321464275,903.6979775428772
14,0.9,2,14,0.5125459321464275,952.556293964386
15,0.9,2,15,0.5125459321464275,1003.4158980846404
16,0.9,2,16,0.5125459321464275,1053.262934923172
17,0.9,2,17,0.5125459321464275,1101.6557698249817
18,0.9,2,18,0.5125459321464275,1154.6004707813263
19,0.9,2,19,0.5136881410357717,1207.7968876361847
20,0.9,2,20,0.5136881410357717,1257.6893944740295
21,0.9,2,21,0.5136881410357717,1310.254593849182
22,0.9,2,22,0.5136881410357717,1362.0554037094116
23,0.9,2,23,0.5136881410357717,1410.1675956249237
24,0.9,2,24,0.5136881410357717,1455.8802013397217
25,0.9,2,25,0.5136881410357717,1501.6219735145569
26,0.9,2,26,0.5155732801959759,1552.944566488266
27,0.9,2,27,0.5155732801959759,1603.1216406822205
28,0.9,2,28,0.5155732801959759,1653.0105471611023
29,0.9,2,29,0.5155732801959759,1703.0645146369934
30,0.9,2,30,0.5155732801959759,1753.7750089168549
31,0.9,2,31,0.5155732801959759,1804.3984179496765
32,0.9,2,32,0.5155732801959759,1853.1638514995573
33,0.9,2,33,0.5155732801959759,1905.6182940006256
34,0.9,2,34,0.5151069217306602,1952.558528423309
35,0.9,2,35,0.5151069217306602,2002.4528439044952
36,0.9,2,36,0.5151069217306602,2048.84956073761
37,0.9,2,37,0.5157174985920268,2095.044273376465
38,0.9,2,38,0.5157174985920268,2141.602703809738
39,0.9,2,39,0.5153831036317377,2190.8623263835907
40,0.9,2,40,0.5160863887885797,2238.8686871528625
41,0.9,2,41,0.5160863887885797,2284.2155573368077
42,0.9,2,42,0.5160863887885797,2327.634716272354
43,0.9,2,43,0.5160863887885797,2374.218030929565
44,0.9,2,44,0.5157534080950893,2420.767622470856
45,0.9,2,45,0.5157534080950893,2464.313622951508
46,0.9,2,46,0.5157534080950893,2506.6808545589447
47,0.9,2,47,0.5157534080950893,2551.184355020523
48,0.9,2,48,0.5157534080950893,2594.165624141693
49,0.9,2,49,0.5157534080950893,2640.3999717235565
50,0.9,2,50,0.5157534080950893,2686.77223610878
51,0.9,2,51,0.5157534080950893,2729.249368906021
52,0.9,2,52,0.5160614890360335,2773.1299798488617
