,N,seed,n_eval,score,time
0,30,0,1,0.0,3.901935577392578
1,30,0,2,0.1910869047320692,6.5745110511779785
2,30,0,3,0.0,12.671948194503784
3,30,0,4,0.0,17.355382919311523
4,30,0,5,0.1677881662818771,30.49781584739685
5,30,0,6,0.2078977483256349,39.4526481628418
6,30,0,7,0.48905876288554734,43.022581338882446
7,30,0,8,0.0,46.37920355796814
8,30,0,9,0.49430558899240823,56.485010862350464
9,30,0,10,0.37077646213648047,59.21481394767761
10,30,0,11,0.2058518915420133,66.36715984344482
11,30,0,12,0.11531616472744248,70.97746014595032
12,30,0,13,0.0,75.41600584983826
13,30,0,14,0.3165254030982591,88.16708397865295
14,30,0,15,0.20557761291100066,94.86960911750793
15,30,0,16,0.3714983976651764,104.22946214675903
16,30,0,17,0.47390471585220134,110.96985983848572
17,30,0,18,0.40948393335401506,117.44067168235779
18,30,0,19,0.3904247880277644,120.29804587364197
19,30,0,20,0.4093751026281882,125.69330191612244
20,30,0,21,0.36542318646018357,130.43977642059326
21,30,0,22,0.4319678649204419,139.42030000686646
22,30,0,23,0.5122778405081669,143.08233857154846
23,30,0,24,0.19666461038557081,149.01299571990967
24,30,0,25,0.47053396363289496,155.4121401309967
25,30,0,26,0.0,159.97814011573792
26,30,0,27,0.4670872639665792,169.36096024513245
27,30,0,28,0.43353645531348056,177.40300393104553
28,30,0,29,0.02096798233949732,184.64268970489502
29,30,0,30,0.0,189.80640292167664
30,30,0,31,0.383715259249407,197.63901805877686
31,30,0,32,0.40564484570991255,202.23980975151062
32,30,0,33,0.0,209.11306190490723
33,30,0,34,0.39747841991702626,213.9529914855957
34,30,0,35,0.2868058862024146,220.1685028076172
35,30,0,36,0.4135158883731357,225.35877346992493
36,30,0,37,0.43264882994914167,235.48962831497192
37,30,0,38,0.17082578790554007,252.39192485809326
38,30,0,39,0.43736311696294494,257.5390546321869
39,30,0,40,0.27549229402863956,267.1368362903595
40,30,0,41,0.45098296801570403,271.1289668083191
41,30,0,42,0.21155823186601003,280.0250325202942
42,30,0,43,0.2589779148538419,292.1035828590393
43,30,0,44,0.3634616046011112,301.9849967956543
44,30,0,45,0.32451289226355534,310.44834899902344
45,30,0,46,0.4100736758353794,319.82450819015503
46,30,0,47,0.33085712736891315,326.62088203430176
47,30,0,48,0.41362024615387877,332.44944739341736
48,30,0,49,0.2673075998170773,340.5055196285248
49,30,0,50,0.34456468766612636,346.3621907234192
50,30,0,51,0.509030459208783,352.2998058795929
51,30,0,52,0.25359558779301483,358.58742332458496
52,30,0,53,0.5007756058737384,365.244571685791
53,30,0,54,0.282027245486446,372.1124324798584
54,30,0,55,0.43814663180821906,381.3288984298706
55,30,0,56,0.28771020284720406,386.32413506507874
56,30,0,57,0.3128332114168824,395.9340822696686
57,30,0,58,0.4650981026525421,403.78729009628296
58,30,0,59,0.3804468810915534,409.2693407535553
59,30,0,60,0.4905928820766263,413.7485032081604
60,30,0,61,0.21603209087514916,419.43847036361694
61,30,0,62,0.21755342844218725,427.82752752304077
62,30,0,63,0.3392757262072804,431.2146317958832
63,30,0,64,0.37619962345723335,436.2473168373108
64,30,0,65,0.5101651766956784,439.59494948387146
65,30,0,66,0.3691833162868543,451.22595500946045
66,30,0,67,0.0,458.4528315067291
67,30,0,68,0.3514602953070468,464.89328837394714
68,30,0,69,0.43292030693410977,468.59244441986084
69,30,0,70,0.4439527268298714,472.3900272846222
70,30,0,71,0.47052368335944966,475.2768852710724
71,30,0,72,0.3867672530841528,481.1074483394623
72,30,0,73,0.32793617957203325,489.58434534072876
73,30,0,74,0.0,496.68010544776917
74,30,0,75,0.0,501.2922565937042
75,30,0,76,0.40966375593533727,504.54048681259155
76,30,0,77,0.5211077358653723,509.9126408100128
77,30,0,78,0.39259538836574265,513.5968728065491
78,30,0,79,0.0,518.7395288944244
79,30,0,80,0.3860961599051193,524.2472198009491
80,30,0,81,0.0,530.3363010883331
81,30,0,82,0.0,534.6438271999359
82,30,0,83,0.4479926547231491,538.6531732082367
83,30,0,84,0.4229131022909814,543.5528476238251
84,30,0,85,0.0,548.9349086284637
85,30,0,86,0.479333423972057,552.1648864746094
86,30,0,87,0.42801440373016447,561.2971637248993
87,30,0,88,0.39229809864966986,565.6680734157562
88,30,1,1,0.0,6.394758462905884
89,30,1,2,0.37281792522611373,10.966054677963257
90,30,1,3,0.0,15.347503900527954
91,30,1,4,0.0,19.707640171051025
92,30,1,5,0.34906097856465285,23.656713724136353
93,30,1,6,0.0,28.646552562713623
94,30,1,7,0.0,33.42779064178467
95,30,1,8,0.0,37.250587463378906
96,30,1,9,0.3694159065188836,44.5797975063324
97,30,1,10,0.36809969276208915,47.18217706680298
98,30,1,11,0.20016577139013353,49.74022912979126
99,30,1,12,0.36822570900925466,52.10044074058533
100,30,1,13,0.37934845177243626,56.523128509521484
101,30,1,14,0.0,59.64596247673035
102,30,1,15,0.1987552701435955,65.53014373779297
103,30,1,16,0.2018149788719551,68.22318172454834
104,30,1,17,0.3638031982668501,72.57739472389221
105,30,1,18,0.0,78.10543179512024
106,30,1,19,0.37136375984922027,81.32701587677002
107,30,1,20,0.36299591205019394,83.7676842212677
108,30,1,21,0.01657432781160421,89.2789933681488
109,30,1,22,0.3569922545097917,95.92309188842773
110,30,1,23,0.37999596142413056,98.56691694259644
111,30,1,24,0.1913165291227072,101.98053455352783
112,30,1,25,0.19953545548822801,106.33622884750366
113,30,1,26,0.3842648591476915,110.49417614936829
114,30,1,27,0.39709806720549773,114.87428522109985
115,30,1,28,0.46526089872428705,119.48546195030212
116,30,1,29,0.0,124.59000301361084
117,30,1,30,0.38488542634250394,126.89705467224121
118,30,1,31,0.0,129.53795623779297
119,30,1,32,0.20305948393402284,132.0351254940033
120,30,1,33,0.4335697680927057,137.16137099266052
121,30,1,34,0.45786731647394974,146.79230642318726
122,30,1,35,0.0,152.66175150871277
123,30,1,36,0.20549064036525996,160.22756910324097
124,30,1,37,0.18877450163016687,164.0991792678833
125,30,1,38,0.2033232284802972,169.7545781135559
126,30,1,39,0.4485195817382413,175.40446543693542
127,30,1,40,0.0,181.19164419174194
128,30,1,41,0.5002641517905582,183.4059808254242
129,30,1,42,0.0,189.47517681121826
130,30,1,43,0.38362957745382953,196.6399986743927
131,30,1,44,0.37804448056187867,201.1834328174591
132,30,1,45,0.44922643388024985,205.47786211967468
133,30,1,46,0.3616227393208577,209.60740780830383
134,30,1,47,0.20308624833879482,212.34021663665771
135,30,1,48,0.0,216.0733139514923
136,30,1,49,0.2336503650489753,223.35889887809753
137,30,1,50,0.37789791694181013,228.59863018989563
138,30,1,51,0.3537166763982378,231.77439522743225
139,30,1,52,0.4785897322912192,234.97888684272766
140,30,1,53,0.2768464207634785,243.58925414085388
141,30,1,54,0.0,249.19287276268005
142,30,1,55,0.01591269606875926,254.1590793132782
143,30,1,56,0.4121385703407325,258.2188756465912
144,30,1,57,0.20422254804992324,261.91393518447876
145,30,1,58,0.47028037967099323,264.87698578834534
146,30,1,59,0.47700453415397065,267.4861171245575
147,30,1,60,0.3727370723514502,269.98517394065857
148,30,1,61,0.3520686563805261,276.042849779129
149,30,1,62,0.019851940693918206,281.6554551124573
150,30,1,63,0.48536389643132294,284.39135003089905
151,30,1,64,0.5050817203624033,287.3557221889496
152,30,1,65,0.199042774718076,289.95221161842346
153,30,1,66,0.017004932721281087,292.8140151500702
154,30,1,67,0.4967249057087068,296.508837223053
155,30,1,68,0.49658598742800575,298.70091819763184
156,30,1,69,0.38121154883529396,301.25492310523987
157,30,1,70,0.4467291349260642,305.5240423679352
158,30,1,71,0.016443485245682156,310.34239864349365
159,30,1,72,0.49392806872019085,312.35020565986633
160,30,1,73,0.4767726101990301,316.72938799858093
161,30,1,74,0.3575693270992463,322.9760329723358
162,30,1,75,0.42114606459257814,327.48077154159546
163,30,1,76,0.21102797321751143,331.39179491996765
164,30,1,77,0.021157670906733574,334.49825716018677
165,30,1,78,0.4813639664681776,339.1255235671997
166,30,1,79,0.48406803425894146,343.22031688690186
167,30,1,80,0.4157247488771953,351.16823625564575
168,30,1,81,0.4778100276361173,354.243052482605
169,30,1,82,0.19846160823513365,356.9035930633545
170,30,1,83,0.3891867802838445,359.9845504760742
171,30,1,84,0.39422157241183664,362.84004616737366
172,30,1,85,0.2001437848843863,366.039023399353
173,30,1,86,0.49205448270189445,368.88090682029724
174,30,1,87,0.01722126469923252,371.39428448677063
175,30,1,88,0.38045664942962426,373.85618710517883
176,30,1,89,0.3877831112399564,377.3084924221039
177,30,1,90,0.47592635389841365,381.25230979919434
178,30,1,91,0.47586947155687215,384.3824791908264
179,30,1,92,0.5122474462939395,387.61502861976624
180,30,1,93,0.5035604793680986,389.9947862625122
181,30,1,94,0.4939749578833217,392.0209572315216
182,30,1,95,0.3740599326910806,395.6066699028015
183,30,1,96,0.474177845978841,399.3202724456787
184,30,1,97,0.49092153082453244,401.7997121810913
185,30,1,98,0.49400382909632207,404.7143380641937
186,30,1,99,0.21696415020864845,408.061306476593
187,30,1,100,0.5049108292139742,410.6601483821869
188,30,1,101,0.22420472150037513,414.36430764198303
189,30,1,102,0.46451030551626216,416.9774560928345
190,30,1,103,0.4353050265430084,419.9611928462982
191,30,1,104,0.20351247132205752,424.4209098815918
192,30,1,105,0.47243570536484125,427.5798532962799
193,30,1,106,0.49932027970497583,429.7398045063019
194,30,1,107,0.49980163859327215,432.181184053421
195,30,1,108,0.5059257975299137,436.0668396949768
196,30,1,109,0.020899488620884737,440.38080644607544
197,30,1,110,0.5074239771102291,445.13523054122925
198,30,1,111,0.5042486687298059,447.8610084056854
199,30,1,112,0.5010958002773573,450.56129240989685
200,30,1,113,0.02438738068218199,453.731564283371
201,30,1,114,0.025055189068460715,458.44559359550476
202,30,1,115,0.4540959592856926,462.5687327384949
203,30,1,116,0.5108763206093646,465.06561827659607
204,30,1,117,0.48964439596972886,468.68954634666443
205,30,1,118,0.3710037595058874,475.8536410331726
206,30,1,119,0.497491514699716,479.57425832748413
207,30,1,120,0.4944425841750317,482.56678771972656
208,30,1,121,0.024141910299830868,486.2536778450012
209,30,1,122,0.0,490.05480313301086
210,30,1,123,0.0,496.8264193534851
211,30,1,124,0.2090473518861595,499.99477458000183
212,30,1,125,0.20877086903102654,506.44566774368286
213,30,1,126,0.3812892334338833,509.3164246082306
214,30,1,127,0.20585798329247335,512.2770416736603
215,30,1,128,0.0,518.510017156601
216,30,1,129,0.2015405141293333,524.9212474822998
217,30,1,130,0.017737436430855156,530.1808531284332
218,30,1,131,0.0,534.7416412830353
219,30,1,132,0.5065566959923101,537.0838258266449
220,30,1,133,0.0,540.4583232402802
221,30,1,134,0.1843008863598844,543.8363251686096
222,30,1,135,0.48401932867782205,547.1546144485474
223,30,1,136,0.0,552.4202921390533
224,30,2,1,0.0,2.707230806350708
225,30,2,2,0.0,5.389540195465088
226,30,2,3,0.418148981772994,13.672727346420288
227,30,2,4,0.1478095109676967,16.187840461730957
228,30,2,5,0.0,18.66130042076111
229,30,2,6,0.0,21.34305763244629
230,30,2,7,0.0,27.675211906433105
231,30,2,8,0.0,33.13465428352356
232,30,2,9,0.37717097443851727,38.88866662979126
233,30,2,10,0.0,42.506152391433716
234,30,2,11,0.31054967703812747,45.25195074081421
235,30,2,12,0.0,47.742671489715576
236,30,2,13,0.0,50.546098470687866
237,30,2,14,0.24122695402653388,58.143383741378784
238,30,2,15,0.0,61.41411995887756
239,30,2,16,0.3227632105206932,63.96461749076843
240,30,2,17,0.43539736803476714,69.00489044189453
241,30,2,18,0.28236508159135476,75.75178241729736
242,30,2,19,0.18903352574863586,78.631676197052
243,30,2,20,0.012673526946993245,81.14345788955688
244,30,2,21,0.3346220054905442,85.01871252059937
245,30,2,22,0.40523795265758633,91.48811459541321
246,30,2,23,0.010261753114175227,95.58544731140137
247,30,2,24,0.0,98.82249736785889
248,30,2,25,0.17563693481550416,101.978830575943
249,30,2,26,0.244640242103063,106.29126119613647
250,30,2,27,0.17806835887337663,109.77201581001282
251,30,2,28,0.35027806720235,117.12289190292358
252,30,2,29,0.35173921400384245,120.58176326751709
253,30,2,30,0.15375214796741413,128.11505722999573
254,30,2,31,0.0939381480441468,135.5647201538086
255,30,2,32,0.20166622541755144,139.47918009757996
256,30,2,33,0.12902957930784664,143.43311977386475
257,30,2,34,0.0,148.75888085365295
258,30,2,35,0.22758810081931996,154.02518153190613
259,30,2,36,0.18413537859644008,157.24398684501648
260,30,2,37,0.2802307630845088,169.3888566493988
261,30,2,38,0.1993712231315554,171.95262908935547
262,30,2,39,0.31060043117516173,177.6246154308319
263,30,2,40,0.1370348837104372,186.01527333259583
264,30,2,41,0.13443009979687476,192.8826825618744
265,30,2,42,0.1612404835714342,196.75648498535156
266,30,2,43,0.4057837779379061,200.95080947875977
267,30,2,44,0.2350118393314347,206.0542950630188
268,30,2,45,0.2874221362131492,217.22315788269043
269,30,2,46,0.2633200473602236,226.26010131835938
270,30,2,47,0.15477905090130825,232.0601201057434
271,30,2,48,0.3237426039494504,234.69378757476807
272,30,2,49,0.33430937261082333,237.22417974472046
273,30,2,50,0.12972510307959695,240.37837266921997
274,30,2,51,0.246748660509971,242.95698356628418
275,30,2,52,0.0,245.36452889442444
276,30,2,53,0.10040125977803625,250.50932598114014
277,30,2,54,0.1831057232582378,253.17977213859558
278,30,2,55,0.214451924799786,255.72138500213623
279,30,2,56,0.41488190803447955,260.441890001297
280,30,2,57,0.22297110597834766,264.17457032203674
281,30,2,58,0.3299102673162181,266.69373774528503
282,30,2,59,0.19857668239843246,270.9027831554413
283,30,2,60,0.25914211446023516,274.9964008331299
284,30,2,61,0.14933196224959605,277.60205912590027
285,30,2,62,0.16700153025232245,288.8456003665924
286,30,2,63,0.26557891776024933,291.5401220321655
287,30,2,64,0.21200975202062475,294.131954908371
288,30,2,65,0.20544115896789938,297.74219012260437
289,30,2,66,0.3325350042904472,301.286673784256
290,30,2,67,0.409857270084395,303.8990385532379
291,30,2,68,0.1710654839735212,309.00069189071655
292,30,2,69,0.01271345480396764,311.5093023777008
293,30,2,70,0.19910547335980763,316.9527769088745
294,30,2,71,0.0,319.73836970329285
295,30,2,72,0.18614099489859517,322.40560030937195
296,30,2,73,0.016526243077513776,328.8396351337433
297,30,2,74,0.24327129514455537,331.3932042121887
298,30,2,75,0.42398856894460374,334.17626094818115
299,30,2,76,0.0,337.55787229537964
300,30,2,77,0.21283940003288052,340.44371581077576
301,30,2,78,0.22544010791911157,350.4332432746887
302,30,2,79,0.33387915824112413,353.08763790130615
303,30,2,80,0.012267856888309009,356.5800838470459
304,30,2,81,0.42345663940606043,359.9453444480896
305,30,2,82,0.41550552706072413,362.54800391197205
306,30,2,83,0.3240414616620698,365.9890835285187
307,30,2,84,0.27698762431971974,371.0815649032593
308,30,2,85,0.0,373.7706186771393
309,30,2,86,0.38620613608461674,376.6667766571045
310,30,2,87,0.15085846294158492,379.1146447658539
311,30,2,88,0.18046667620930457,381.97804284095764
312,30,2,89,0.3872176833328225,384.5750539302826
313,30,2,90,0.32917936378265233,387.18987107276917
314,30,2,91,0.0,389.6113305091858
315,30,2,92,0.0,392.1116840839386
316,30,2,93,0.42188354066185285,394.7629611492157
317,30,2,94,0.23693069595776117,397.4229052066803
318,30,2,95,0.31539639507686906,400.02611684799194
319,30,2,96,0.0,403.1631190776825
320,30,2,97,0.020880297017915432,407.3966009616852
321,30,2,98,0.15841639854551146,410.03756308555603
322,30,2,99,0.2941860284903966,412.7327992916107
323,30,2,100,0.2674428997076412,418.1561827659607
324,30,2,101,0.0,420.9254240989685
325,30,2,102,0.29099798258475257,423.6008725166321
