,steps,info_steps,seed,n_eval,max_step_per_eval,time,info_time,mean_reward
0,300,297.0,1,27,25.0,0.827852725982666,20.309651,9.15
1,600,592.0,1,49,40.0,10.276240110397339,250.897614,58.63
2,900,895.0,1,68,40.0,12.811516046524048,555.32927,74.23
3,1200,1185.0,1,79,60.0,20.03933548927307,868.5680130000002,61.29
4,1500,1480.0,1,92,60.0,27.22424840927124,1384.0774910000002,82.11
5,1800,1797.0,1,104,61.0,32.21957516670227,1966.8324579999996,81.36
6,2100,2078.0,1,112,92.0,34.23994207382202,2410.3592709999994,155.29
7,2400,2397.0,1,122,92.0,36.884129762649536,3067.365058999999,117.53
8,2700,2682.0,1,132,92.0,43.37427616119385,3841.0868749999986,211.07
9,3000,2978.0,1,137,92.0,46.89996528625488,4289.008626999998,304.38
10,3300,3235.0,1,144,92.0,48.773940086364746,5028.603688999998,278.6
11,3600,3534.0,1,150,96.0,52.86310815811157,5767.040074999998,223.48
12,3900,3840.0,1,153,146.0,55.19817519187927,6174.470820999998,382.89
13,4200,4135.0,1,158,146.0,58.31866931915283,6947.582717999998,275.47
14,4500,4452.0,1,162,146.0,59.86770153045654,7618.4214029999985,324.9
15,4800,4765.0,1,166,146.0,60.496646881103516,8351.024964999997,412.32
16,5100,5084.0,1,172,146.0,64.81587266921997,9592.876071999995,300.7
17,5400,5297.0,1,174,146.0,69.96295738220215,10044.061646999997,352.87
18,5700,5700.0,1,177,180.0,72.32361721992493,10773.062533999997,280.82
19,6000,5971.0,1,180,180.0,74.19219017028809,11547.298889999998,235.59
20,6300,6246.0,1,183,180.0,77.7419421672821,12361.354193999998,351.09
21,6600,6583.0,1,187,180.0,79.82165622711182,13516.057422999998,400.3
22,6900,6885.0,1,189,180.0,81.59775805473328,14131.353274999998,394.06
23,7200,7193.0,1,192,180.0,83.76319003105164,15112.723588999997,428.08
24,7500,7452.0,1,194,180.0,84.59034466743469,15803.701210999998,338.4
25,7800,7652.0,1,195,200.0,86.3239483833313,16166.166982999997,416.45
26,8100,7958.0,1,197,200.0,88.5330560207367,16936.225280999995,454.67
27,8400,8306.0,1,199,200.0,92.43504285812378,17759.317680999997,473.32
28,8700,8427.0,1,200,200.0,94.59424829483032,18195.157710999996,484.21
29,9000,8891.0,1,202,300.0,98.84253787994385,19118.617992999996,445.19
30,9300,9222.0,1,204,300.0,100.0570478439331,20085.405923999995,475.04
31,9600,9448.0,1,205,300.0,102.91512775421143,20592.898861999995,488.19
32,9900,9896.0,1,207,300.0,105.68755197525024,21658.238566999993,497.15
33,10200,10196.0,1,208,300.0,108.70563673973083,22214.488006999993,500.0
34,300,283.0,2,27,21.0,0.4746840000152588,8.993208,9.0
35,600,583.0,2,49,29.0,4.40743613243103,113.61162199999998,107.76
36,900,895.0,2,67,36.0,6.792836666107178,324.97115700000006,125.29
37,1200,1199.0,2,79,61.0,9.398927927017212,570.187997,77.3
38,1500,1481.0,2,93,61.0,13.671578407287598,962.6578609999999,71.18
39,1800,1794.0,2,102,72.0,14.307239532470703,1247.024528,66.62
40,2100,2083.0,2,112,72.0,16.51748299598694,1612.9873320000002,73.24
41,2400,2398.0,2,122,72.0,18.13647150993347,2025.6734380000003,212.6
42,2700,2639.0,2,130,72.0,24.995453119277954,2480.504792,124.52
43,3000,2970.0,2,136,113.0,27.191390991210938,2865.345915,165.81
44,3300,3255.0,2,141,119.0,28.11920142173767,3227.318051,366.41
45,3600,3516.0,2,144,119.0,29.66144061088562,3496.550254,383.98
46,3900,3875.0,2,148,130.0,31.686041355133057,3935.6787810000005,256.06
47,4200,4162.0,2,154,130.0,34.83082890510559,4676.987139000001,148.72
48,4500,4493.0,2,159,130.0,36.60570216178894,5339.520353000001,191.92
49,4800,4712.0,2,161,130.0,38.44761061668396,5625.053624000001,426.84
50,5100,5038.0,2,165,143.0,41.82497978210449,6293.172973000002,336.45
51,5400,5332.0,2,168,143.0,44.48891878128052,6849.321912000002,405.84
52,5700,5654.0,2,171,143.0,45.60669660568237,7462.0171100000025,415.11
53,6000,5860.0,2,173,143.0,46.661534786224365,7908.371862000003,373.25
54,6300,6215.0,2,175,180.0,48.44996666908264,8393.266005000003,403.76
55,6600,6588.0,2,178,180.0,48.96355891227722,9176.749401000005,328.21
56,6900,6851.0,2,180,180.0,53.122462034225464,9737.712240000004,427.22
57,7200,7096.0,2,182,180.0,56.78457999229431,10344.972384000004,438.12
58,7500,7425.0,2,185,180.0,58.8773398399353,11321.164711000005,452.6
59,7800,7776.0,2,187,254.0,60.2655394077301,12016.997998000004,361.82
60,8100,8033.0,2,189,254.0,62.165231704711914,12752.433774000005,302.77
61,8400,8344.0,2,192,254.0,65.7775526046753,13905.620062000005,331.72
62,8700,8685.0,2,194,254.0,67.93063974380493,14708.059393000007,331.34
63,9000,8990.0,2,196,254.0,70.5651924610138,15543.095944000008,425.13
64,9300,9203.0,2,197,254.0,73.58954811096191,15981.910144000009,391.7
65,9600,9600.0,2,200,254.0,75.00566339492798,17354.396526000008,470.64
66,9900,9765.0,2,201,254.0,76.9793221950531,17835.13928500001,492.7
67,10200,10065.0,2,202,300.0,79.43821716308594,18339.86434700001,496.97
68,300,278.0,3,20,28.0,0.15567374229431152,1.639227,128.75
69,600,580.0,3,42,32.0,3.1092689037323,186.43316,111.1
70,900,888.0,3,59,79.0,5.0299296379089355,466.33848000000006,112.89
71,1200,1190.0,3,76,79.0,6.388709783554077,845.8966320000001,61.09
72,1500,1480.0,3,91,79.0,9.779140949249268,1275.121512,154.88
73,1800,1794.0,3,102,79.0,12.88646149635315,1694.9916719999999,127.71
74,2100,2040.0,3,109,83.0,15.472091436386108,2020.523149,187.4
75,2400,2381.0,3,121,83.0,16.97170615196228,2690.996702000001,204.87
76,2700,2687.0,3,126,128.0,18.226364374160767,3020.060796000001,283.77
77,3000,2971.0,3,131,128.0,19.53003168106079,3413.575023000001,382.36
78,3300,3219.0,3,136,128.0,23.37338662147522,3910.3214010000006,369.81
79,3600,3495.0,3,138,155.0,24.613388061523438,4144.166702,456.73
80,3900,3897.0,3,141,183.0,25.946664333343506,4555.845631000001,494.28
81,4200,4158.0,3,145,183.0,28.61549997329712,5199.211059000001,479.35
82,4500,4348.0,3,147,183.0,30.195231437683105,5570.418235000001,265.73
83,4800,4774.0,3,150,183.0,31.40771770477295,6166.211553000001,485.15
84,5100,5093.0,3,154,183.0,33.608429193496704,7062.001482000001,496.64
85,5400,5207.0,3,155,183.0,34.44732928276062,7307.574457000001,322.74
86,5700,5699.0,3,159,257.0,36.285686016082764,8355.583494,311.74
87,6000,5967.0,3,161,257.0,37.66259527206421,8914.479480000002,426.96
88,6300,6226.0,3,162,259.0,40.41449284553528,9216.542675000002,491.29
89,6600,6483.0,3,164,259.0,41.78503227233887,9867.743213000002,484.12
90,6900,6783.0,3,165,300.0,43.95274639129639,10217.151552000001,396.89
91,7200,7099.0,3,167,300.0,46.755006313323975,10959.54253,431.49
92,7500,7468.0,3,170,300.0,49.9335196018219,12141.579445,366.03
93,7800,7680.0,3,172,300.0,53.38329219818115,12968.364435,440.67
94,8100,8087.0,3,174,300.0,55.23222279548645,13841.357410999999,500.0
95,8400,8350.0,3,177,300.0,58.570361852645874,15228.059104,478.72
96,8700,8650.0,3,178,300.0,60.101606130599976,15713.411149,500.0
97,9000,8897.0,3,179,300.0,61.83071541786194,16223.085742,498.81
98,9300,9181.0,3,181,300.0,62.67804169654846,17286.941132,500.0
99,9600,9533.0,3,183,300.0,64.87586092948914,18400.444524000002,475.9
