,heuristic_param,train_seed,threshold,variance,acc,n_gen,score,elapsed_time,time_gen,n_eval_proc,n_eval_acc,n_eval
0,50000,1,0.95,9186855.340163324,0.44875,0,0.3690536743790147,1.5269556045532229,1.526658058166504,22000,12900,34900
1,50000,1,,,0.44875,1,0.3511081131787085,2.177640676498413,0.6503889560699463,44000,12900,56900
2,50000,1,,,0.44875,2,0.3511081131787085,2.7344679832458496,0.5565323829650879,66000,12900,78900
3,50000,1,,,0.44875,3,0.3545485371265431,3.2860324382781982,0.5512053966522217,88000,12900,100900
4,50000,1,,,0.503875,4,0.3312691871795407,3.915656089782715,0.6292967796325684,113000,39900,152900
5,50000,1,,,0.503875,5,0.3312691871795407,4.640307903289795,0.7243161201477051,138000,39900,177900
6,50000,1,,,0.503875,6,0.3304579304993035,5.29625391960144,0.6555798053741455,163000,39900,202900
7,50000,1,,,0.5589999999999999,7,0.3304579304993035,6.012496709823608,0.7159056663513184,190000,69900,259900
8,50000,1,,,0.5589999999999999,8,0.3304579304993035,6.54167628288269,0.5288522243499756,217000,69900,286900
9,50000,1,,,0.5589999999999999,9,0.3178263543721759,7.088791370391846,0.5467705726623535,244000,69900,313900
10,50000,1,,,0.6141249999999999,10,0.3147898659821284,7.823455333709717,0.734281063079834,274000,101900,375900
11,50000,1,,,0.6141249999999999,11,0.3147898659821284,8.50422477722168,0.6804051399230957,304000,101900,405900
12,50000,1,,,0.6141249999999999,12,0.3147898659821284,9.102630376815796,0.598034143447876,334000,101900,435900
13,50000,1,,,0.6692499999999999,13,0.3147898659821284,9.82387661933899,0.7208714485168457,367000,136900,503900
14,50000,1,,,0.6692499999999999,14,0.3147898659821284,10.406408309936523,0.5821690559387207,400000,136900,536900
15,50000,1,,,0.6692499999999999,15,0.3147898659821284,11.020606756210327,0.6138303279876709,433000,136900,569900
16,50000,1,,,0.7243749999999999,16,0.3147898659821284,11.736923456192017,0.7159407138824463,469000,174900,643900
17,50000,1,,,0.7243749999999999,17,0.3147898659821284,12.312505722045898,0.5751950740814209,505000,174900,679900
18,50000,1,,,0.7243749999999999,18,0.3147898659821284,12.952962160110474,0.6400902271270752,541000,174900,715900
19,50000,1,,,0.7794999999999999,19,0.3147898659821284,13.687277793884276,0.7339291572570801,579000,215900,794900
20,50000,1,,,0.7794999999999999,20,0.3147898659821284,14.281757116317747,0.5941157341003418,617000,215900,832900
21,50000,1,,,0.7794999999999999,21,0.3147898659821284,14.876109838485718,0.5939891338348389,655000,215900,870900
22,50000,1,,,0.8346249999999998,22,0.3147898659821285,15.638223886489868,0.7617597579956055,696000,258900,954900
23,50000,1,,,0.8346249999999998,23,0.3147898659821285,16.30649971961975,0.667926549911499,737000,258900,995900
24,50000,1,,,0.8346249999999998,24,0.3147898659821285,16.934795141220093,0.6278605461120605,778000,258900,1036900
25,50000,2,0.95,5233179.576731151,0.44875,0,0.3702125886589013,1.5572359561920166,1.556889533996582,22000,12900,34900
26,50000,2,,,0.44875,1,0.3815236542097658,2.239192008972168,0.6816055774688721,44000,12900,56900
27,50000,2,,,0.44875,2,0.2619462206036886,2.798536777496338,0.5590329170227051,66000,12900,78900
28,50000,2,,,0.44875,3,0.2310407096785387,3.3482768535614014,0.5493934154510498,88000,12900,100900
29,50000,2,,,0.503875,4,0.2310407096785387,4.020829916000366,0.6721680164337158,113000,39900,152900
30,50000,2,,,0.503875,5,0.2349212324068638,4.580963611602783,0.5598099231719971,138000,39900,177900
31,50000,2,,,0.503875,6,0.2433562019245273,5.14697265625,0.5656499862670898,163000,39900,202900
32,50000,2,,,0.5589999999999999,7,0.2157707360451588,5.816706657409668,0.6693930625915527,190000,69900,259900
33,50000,2,,,0.5589999999999999,8,0.2157707360451588,6.367548704147339,0.5505106449127197,217000,69900,286900
34,50000,2,,,0.5589999999999999,9,0.2157707360451588,6.916853666305542,0.5489656925201416,244000,69900,313900
35,50000,2,,,0.6141249999999999,10,0.2580624402890928,7.590376853942871,0.6731376647949219,274000,101900,375900
36,50000,2,,,0.6141249999999999,11,0.2186659063775559,8.14420223236084,0.5534656047821045,304000,101900,405900
37,50000,2,,,0.6141249999999999,12,0.2341353061702996,8.697930097579956,0.5533676147460938,334000,101900,435900
38,50000,2,,,0.6692499999999999,13,0.218843227160689,9.434418439865112,0.7361230850219727,367000,136900,503900
39,50000,2,,,0.6692499999999999,14,0.2385591305430121,10.026299715042114,0.5915317535400391,400000,136900,536900
40,50000,2,,,0.6692499999999999,15,0.2486301016876683,10.59033703804016,0.5636858940124512,433000,136900,569900
41,50000,2,,,0.7243749999999999,16,0.2581002233839223,11.285720348358154,0.6950240135192871,469000,174900,643900
42,50000,2,,,0.7243749999999999,17,0.2581002233839223,11.844144105911257,0.5580766201019287,505000,174900,679900
43,50000,2,,,0.7243749999999999,18,0.2581002233839223,12.409931421279907,0.5654284954071045,541000,174900,715900
44,50000,2,,,0.7794999999999999,19,0.2581002233839223,13.119388580322266,0.7091021537780762,579000,215900,794900
45,50000,2,,,0.7794999999999999,20,0.2581002233839223,13.687750101089478,0.5680038928985596,617000,215900,832900
46,50000,2,,,0.7794999999999999,21,0.2581002233839223,14.261264324188232,0.5731594562530518,655000,215900,870900
47,50000,2,,,0.8346249999999998,22,0.2581002233839223,14.9884295463562,0.7267944812774658,696000,258900,954900
48,50000,2,,,0.8346249999999998,23,0.2581002233839223,15.559807300567629,0.571016788482666,737000,258900,995900
49,50000,2,,,0.8346249999999998,24,0.2581002233839223,16.14263939857483,0.5824902057647705,778000,258900,1036900
