,heuristic_param,train_seed,threshold,variance,acc,n_gen,score,elapsed_time,time_gen,n_eval_proc,n_eval_acc,n_eval
0,0.95,1,0.95,9186855.340163324,0.44875,0,0.3690536743790147,1.6061890125274658,1.6057968139648438,22000,12900,34900
1,0.95,1,,,0.5176562499999999,1,0.3511081131787085,2.5417745113372803,0.9352693557739258,47000,24400,71400
2,0.95,1,,,0.5779492187499999,2,0.3709671111371989,3.228262186050415,0.6861679553985596,75000,36200,111200
3,0.95,1,,,0.63070556640625,3,0.3545485371265431,3.858633756637573,0.6300146579742432,106000,48500,154500
4,0.95,1,,,0.7230291748046875,4,0.3058066141298959,4.563891649246216,0.7049269676208496,142000,57500,199500
5,0.95,1,,,0.7922718811035157,5,0.3058066141298959,5.2313783168792725,0.6669003963470459,181000,66800,247800
6,0.95,1,,,0.8442039108276367,6,0.3058066141298959,5.906514406204224,0.6748256683349609,223000,76200,299200
7,0.95,1,,,0.9221019554138185,7,0.3058066141298959,6.488255262374878,0.5814385414123535,269000,81200,350200
8,0.95,1,,,0.9221019554138185,8,0.3058066141298959,7.015817165374756,0.5272650718688965,315000,81200,396200
9,0.95,1,,,0.9221019554138185,9,0.3058066141298959,7.54079532623291,0.524677038192749,361000,81200,442200
10,0.95,1,,,0.9221019554138185,10,0.3058066141298959,8.075344800949097,0.5342426300048828,407000,81200,488200
11,0.95,1,,,0.9221019554138185,11,0.3058066141298959,8.605893611907959,0.5302221775054932,453000,81200,534200
12,0.95,1,,,0.9221019554138185,12,0.3058066141298959,9.1449933052063,0.5387701988220215,499000,81200,580200
13,0.95,1,,,0.9221019554138185,13,0.3058066141298959,9.672038316726685,0.526695728302002,545000,81200,626200
14,0.95,1,,,0.9221019554138185,14,0.3058066141298959,10.231513500213625,0.5591518878936768,591000,81200,672200
15,0.95,1,,,0.9221019554138185,15,0.3058066141298959,10.775902032852173,0.544072151184082,637000,81200,718200
16,0.95,1,,,0.9221019554138185,16,0.3058066141298959,11.307988166809082,0.5317552089691162,683000,81200,764200
17,0.95,1,,,0.9221019554138185,17,0.3058066141298959,11.846542596817017,0.5381109714508057,729000,81200,810200
18,0.95,1,,,0.9221019554138185,18,0.3058066141298959,12.436978578567505,0.5901234149932861,775000,81200,856200
19,0.95,1,,,0.9221019554138185,19,0.3058066141298959,12.9731285572052,0.535839319229126,821000,81200,902200
20,0.95,1,,,0.9221019554138185,20,0.3058066141298959,13.507529258728027,0.5340900421142578,867000,81200,948200
21,0.95,1,,,0.9221019554138185,21,0.3058066141298959,14.03784966468811,0.5299851894378662,913000,81200,994200
22,0.95,1,,,0.9221019554138185,22,0.3058066141298959,14.572272777557371,0.534111499786377,959000,81200,1040200
23,0.95,2,0.95,5233179.576731151,0.44875,0,0.3702125886589013,1.272092580795288,1.2716665267944336,22000,12900,34900
24,0.95,2,,,0.5176562499999999,1,0.3815236542097658,2.2800421714782715,1.0076227188110352,47000,24400,71400
25,0.95,2,,,0.69853515625,2,0.3815236542097658,3.2486231327056885,0.9682438373565674,81000,36200,117200
26,0.95,2,,,0.7739013671874999,3,0.2575527825100946,3.98121976852417,0.7322597503662109,119000,45400,164400
27,0.95,2,,,0.8304260253906249,4,0.3051821915678343,4.570168972015381,0.5886163711547852,160000,54800,214800
28,0.95,2,,,0.9152130126953124,5,0.2743002180997926,5.154245615005493,0.583749532699585,205000,59800,264800
29,0.95,2,,,0.9152130126953124,6,0.2744525596606186,5.709358215332031,0.5547537803649902,250000,59800,309800
