,heuristic_param,train_seed,threshold,variance,acc,n_gen,score,elapsed_time,time_gen,n_eval_proc,n_eval_acc,n_eval
0,0.95,1,0.95,10535288.068732882,0.4937499998341211,0,0.3690536743790147,0.8464634418487549,0.8462622165679932,24000,33630,57630
1,0.95,1,,,0.4937499998341211,1,0.3511081131787085,1.2052216529846191,0.3585572242736816,48000,33630,81630
2,0.95,1,,,0.4937499998341211,2,0.3511081131787085,1.5244240760803225,0.3190038204193115,72000,33630,105630
3,0.95,1,,,0.4937499998341211,3,0.3545485371265431,1.8347270488739011,0.3100752830505371,96000,33630,129630
4,0.95,1,,,0.2687499999491801,4,0.3717336040992638,2.1997764110565186,0.3648362159729004,109000,64015,173015
5,0.95,1,,,0.2687499999491801,5,0.4065805637611306,2.5341784954071045,0.3340878486633301,122000,64015,186015
6,0.95,1,,,0.2687499999491801,6,0.3565658263647706,2.8357701301574707,0.3013691902160644,135000,64015,199015
7,0.95,1,,,0.2687499999491801,7,0.3558347290531109,3.1392788887023926,0.3032739162445068,148000,64015,212015
8,0.95,1,,,0.2687499999491801,8,0.3915404983320599,3.4587528705596924,0.3192636966705322,161000,64015,225015
9,0.95,1,,,0.6062499997714423,9,0.3431841412694612,3.922140598297119,0.4631438255310058,191000,107675,298675
10,0.95,1,,,0.6062499997714423,10,0.3227569031959409,4.258438348770142,0.3360636234283447,221000,107675,328675
11,0.95,1,,,0.6062499997714423,11,0.3077640172366347,4.587219715118408,0.3285441398620605,251000,107675,358675
12,0.95,1,,,0.6062499997714423,12,0.3243473701594976,4.976770639419556,0.3892836570739746,281000,151335,432335
13,0.95,1,,,0.6062499997714423,13,0.3246771276676116,5.287067413330078,0.3100428581237793,311000,151335,462335
14,0.95,1,,,0.6062499997714423,14,0.3297620443676951,5.603823184967041,0.3164997100830078,341000,151335,492335
15,0.95,1,,,0.6062499997714423,15,0.3279043000048542,6.012621641159058,0.4085469245910644,371000,194995,565995
16,0.95,1,,,0.6062499997714423,16,0.3221604305457299,6.338804721832275,0.3259003162384033,401000,194995,595995
17,0.95,1,,,0.6062499997714423,17,0.3296645790574511,6.7458131313323975,0.4067535400390625,431000,194995,625995
18,0.95,1,,,0.6062499997714423,18,0.3288825307048793,7.226680040359497,0.4806191921234131,461000,238655,699655
19,0.95,1,,,0.6062499997714423,19,0.3288825307048793,7.558636903762817,0.331700325012207,491000,238655,729655
20,0.95,1,,,0.6062499997714423,20,0.3296709349620915,7.914776563644409,0.3558897972106933,521000,238655,759655
21,0.95,1,,,0.6062499997714423,21,0.3296645790574511,8.348727941513062,0.4336934089660644,551000,282315,833315
22,0.95,1,,,0.6062499997714423,22,0.3299936375971752,8.697681188583374,0.3486964702606201,581000,282315,863315
23,0.95,1,,,0.6062499997714423,23,0.3140959151274825,9.025648832321169,0.327725887298584,611000,282315,893315
24,0.95,1,,,0.6062499997714423,24,0.3140959151274825,9.453462600708008,0.4275605678558349,641000,325975,966975
25,0.95,1,,,0.6062499997714423,25,0.3140959151274825,9.782077074050903,0.3283717632293701,671000,325975,996975
26,0.95,1,,,0.6062499997714423,26,0.3140959151274825,10.114763021469116,0.3324425220489502,701000,325975,1026975
27,0.95,2,0.95,6662762.842499137,0.381249999894962,0,0.3702125886589013,0.8135693073272705,0.8133435249328613,19000,33630,52630
28,0.95,2,,,0.381249999894962,1,0.3815236542097658,1.187938928604126,0.3741567134857178,38000,33630,71630
29,0.95,2,,,0.381249999894962,2,0.2619462206036886,1.5007023811340332,0.3125419616699219,57000,33630,90630
30,0.95,2,,,0.381249999894962,3,0.3724431526569925,1.8054838180541992,0.3045337200164795,76000,33630,109630
31,0.95,2,,,0.6062499997714423,4,0.3029025256519789,2.2050487995147705,0.3993027210235595,106000,77290,183290
32,0.95,2,,,0.6062499997714423,5,0.3488587253615055,2.5233895778656006,0.3181290626525879,136000,77290,213290
33,0.95,2,,,0.6062499997714423,6,0.1543311997955909,2.834036111831665,0.310429573059082,166000,77290,243290
34,0.95,2,,,0.6062499997714423,7,0.0746157429504972,3.2083356380462646,0.374068021774292,196000,120950,316950
35,0.95,2,,,0.6062499997714423,8,0.0746157429504972,3.522885799407959,0.314321756362915,226000,120950,346950
36,0.95,2,,,0.6062499997714423,9,0.0347962892576353,3.8443548679351807,0.3212308883666992,256000,120950,376950
37,0.95,2,,,0.6062499997714423,10,0.0347962892576353,4.301555633544922,0.4569573402404785,286000,164610,450610
38,0.95,2,,,0.6062499997714423,11,0.0347962892576353,4.624024391174316,0.3222358226776123,316000,164610,480610
39,0.95,2,,,0.6062499997714423,12,0.0347962892576353,4.948141813278198,0.3238554000854492,346000,164610,510610
40,0.95,2,,,0.6062499997714423,13,0.0347962892576353,5.458598375320435,0.5102012157440186,376000,208270,584270
41,0.95,2,,,0.6062499997714423,14,0.0347962892576353,5.7872278690338135,0.3283877372741699,406000,208270,614270
42,0.95,2,,,0.6062499997714423,15,0.0302428858726875,6.178340673446655,0.3908760547637939,436000,208270,644270
43,0.95,2,,,0.4937499998341211,16,0.0302428858726875,6.63856840133667,0.4599878787994385,460000,241900,701900
44,0.95,2,,,0.4937499998341211,17,0.0302428858726875,6.967461347579956,0.3286468982696533,484000,241900,725900
45,0.95,2,,,0.4937499998341211,18,0.0187725929143365,7.30107569694519,0.3333778381347656,508000,241900,749900
46,0.95,2,,,0.4937499998341211,19,0.0187725929143365,7.63154149055481,0.3302271366119385,532000,241900,773900
47,0.95,2,,,0.6062499997714423,20,0.0187725929143365,8.092049837112427,0.4602510929107666,562000,285560,847560
48,0.95,2,,,0.6062499997714423,21,0.0187725929143365,8.424436807632446,0.3321597576141357,592000,285560,877560
49,0.95,2,,,0.6062499997714423,22,0.0187725929143365,8.758602380752563,0.3339252471923828,622000,285560,907560
50,0.95,2,,,0.6062499997714423,23,0.0187725929143365,9.184662580490112,0.4258096218109131,652000,329220,981220
51,0.95,2,,,0.6062499997714423,24,0.0187725929143365,9.517362594604492,0.3324520587921142,682000,329220,1011220
52,0.95,3,0.95,1238832.0246965145,0.4937499998341211,0,0.3698183275088615,0.8551139831542969,0.8548951148986816,24000,33630,57630
53,0.95,3,,,0.4937499998341211,1,0.3698183275088615,1.2009057998657229,0.3455977439880371,48000,33630,81630
54,0.95,3,,,0.4937499998341211,2,0.4458809075111593,1.518324613571167,0.3171472549438476,72000,33630,105630
55,0.95,3,,,0.4937499998341211,3,0.4458809075111593,1.819966554641724,0.3013632297515869,96000,33630,129630
56,0.95,3,,,0.1562499999892071,4,0.657563937850647,2.1938247680664062,0.3736376762390136,103000,64015,167015
57,0.95,3,,,0.1562499999892071,5,0.657563937850647,2.489497661590576,0.295445442199707,110000,64015,174015
58,0.95,3,,,0.1562499999892071,6,0.1773570277334767,2.7951810359954834,0.305443525314331,117000,64015,181015
59,0.95,3,,,0.1562499999892071,7,0.1782889503507118,3.1095242500305176,0.3141157627105713,124000,64015,188015
60,0.95,3,,,0.1562499999892071,8,0.0972015919150347,3.429698944091797,0.319936990737915,131000,64015,195015
61,0.95,3,,,0.1562499999892071,9,0.0927434762842513,3.754546403884888,0.3246099948883056,138000,64015,202015
62,0.95,3,,,0.1562499999892071,10,0.49060443963303,4.0765345096588135,0.3217365741729736,145000,64015,209015
63,0.95,3,,,0.1562499999892071,11,0.1001349022032014,4.403510570526123,0.3266046047210693,152000,64015,216015
64,0.95,3,,,0.1562499999892071,12,0.107389113193547,4.728818416595459,0.3250520229339599,159000,64015,223015
65,0.95,3,,,0.1562499999892071,13,0.1077491446326123,5.119597911834717,0.3905210494995117,166000,94400,260400
66,0.95,3,,,0.1562499999892071,14,0.1155324792906191,5.444100379943848,0.3242559432983398,173000,94400,267400
67,0.95,3,,,0.1562499999892071,15,0.0716166500012362,5.770205974578857,0.3258543014526367,180000,94400,274400
68,0.95,3,,,0.1562499999892071,16,0.0714437229703249,6.099543333053589,0.329113245010376,187000,94400,281400
69,0.95,3,,,0.1562499999892071,17,0.0198706257406691,6.4253318309783936,0.3255178928375244,194000,94400,288400
