,heuristic_param,train_seed,threshold,variance,acc,n_gen,score,elapsed_time,time_gen,n_eval_proc,n_eval_acc,n_eval
0,0.95,1,0.95,10535288.068732882,0.4937499998341211,0,0.3690536743790147,0.7286074161529541,0.7283446788787842,24000,13110,37110
1,0.95,1,,,0.4937499998341211,1,0.3511081131787085,1.0969698429107666,0.3681647777557373,48000,13110,61110
2,0.95,1,,,0.4937499998341211,2,0.3511081131787085,1.4298548698425293,0.3326840400695801,72000,13110,85110
3,0.95,1,,,0.4937499998341211,3,0.3545485371265431,1.7478580474853516,0.3177506923675537,96000,13110,109110
4,0.95,1,,,0.1562499999892071,4,0.5191892091956227,2.0857372283935547,0.3376893997192383,103000,24955,127955
5,0.95,1,,,0.1562499999892071,5,0.5191892091956227,2.390321016311645,0.3043622970581054,110000,24955,134955
6,0.95,1,,,0.1562499999892071,6,0.5191892091956227,2.6879191398620605,0.2973952293395996,117000,24955,141955
7,0.95,1,,,0.1562499999892071,7,0.5103193032001676,2.9905436038970947,0.3023838996887207,124000,24955,148955
8,0.95,1,,,0.1562499999892071,8,0.5103193032001677,3.2894084453582764,0.2986271381378174,131000,24955,155955
9,0.95,1,,,0.1562499999892071,9,0.5473883747340651,3.5751595497131348,0.2855215072631836,138000,24955,162955
10,0.95,1,,,0.1562499999892071,10,0.5473883747340651,3.8662264347076416,0.2908482551574707,145000,24955,169955
11,0.95,1,,,0.1562499999892071,11,0.5473883747340651,4.169760227203369,0.3033006191253662,152000,24955,176955
12,0.95,1,,,0.1562499999892071,12,0.553622479224901,4.496971607208252,0.3269798755645752,159000,24955,183955
13,0.95,1,,,0.7187499997132574,13,0.4520877344946898,4.861588001251221,0.3643853664398193,194000,41975,235975
14,0.95,1,,,0.7187499997132574,14,0.5535965312074674,5.17291784286499,0.3111031055450439,229000,41975,270975
15,0.95,1,,,0.7187499997132574,15,0.4310356800776359,5.497105360031128,0.3239631652832031,264000,41975,305975
16,0.95,1,,,0.8312499996726807,16,0.3837715677236415,5.836250305175781,0.338925838470459,305000,60260,365260
17,0.95,1,,,0.8312499996726807,17,0.3963921587858089,6.189703941345215,0.3532266616821289,346000,60260,406260
18,0.95,1,,,0.8312499996726807,18,0.3916512815691712,6.499661922454834,0.3097190856933594,387000,60260,447260
19,0.95,1,,,0.7187499997132574,19,0.3916512815691712,6.844701766967773,0.3447890281677246,422000,77280,499280
20,0.95,1,,,0.7187499997132574,20,0.3382155598631031,7.162551641464233,0.3175969123840332,457000,77280,534280
21,0.95,1,,,0.7187499997132574,21,0.2665313930873085,7.488717555999756,0.325937271118164,492000,77280,569280
22,0.95,1,,,0.6062499997714423,22,0.2665313930873085,7.892490386962891,0.4035241603851318,522000,94300,616300
23,0.95,1,,,0.6062499997714423,23,0.2551451687334105,8.225355625152588,0.3325514793395996,552000,94300,646300
24,0.95,1,,,0.6062499997714423,24,0.2551451687334105,8.576348781585693,0.3507463932037353,582000,94300,676300
25,0.95,1,,,0.6062499997714423,25,0.2318012274463545,8.966799020767212,0.3901879787445068,612000,111320,723320
26,0.95,1,,,0.6062499997714423,26,0.2318012274463545,9.31113052368164,0.3440799713134765,642000,111320,753320
27,0.95,1,,,0.6062499997714423,27,0.2113149649595599,9.650843143463137,0.3394315242767334,672000,111320,783320
28,0.95,1,,,0.6062499997714423,28,0.1934949590863644,10.041680812835692,0.3905394077301025,702000,128340,830340
29,0.95,1,,,0.6062499997714423,29,0.1934949590863644,10.39525055885315,0.3532745838165283,732000,128340,860340
30,0.95,1,,,0.6062499997714423,30,0.1824502346100354,10.756788969039915,0.3612453937530517,762000,128340,890340
31,0.95,1,,,0.4937499998341211,31,0.1604038401304754,11.23446559906006,0.4772732257843017,786000,141450,927450
32,0.95,1,,,0.4937499998341211,32,0.1545912344515635,11.592846155166626,0.3580348491668701,810000,141450,951450
33,0.95,1,,,0.4937499998341211,33,0.184132924860308,11.95937156677246,0.366218090057373,834000,141450,975450
34,0.95,1,,,0.4937499998341211,34,0.1554442585849405,12.316112518310549,0.3564305305480957,858000,141450,999450
35,0.95,1,,,0.4937499998341211,35,0.1487401483858444,12.729925632476808,0.4134392738342285,882000,154560,1036560
36,0.95,2,0.95,4657424.775714566,0.4937499998341211,0,0.3702125886589013,0.7752678394317627,0.7750496864318848,24000,13110,37110
37,0.95,2,,,0.4937499998341211,1,0.3815236542097658,1.1941893100738523,0.4187023639678955,48000,13110,61110
38,0.95,2,,,0.4937499998341211,2,0.2619462206036886,1.5203089714050293,0.3259017467498779,72000,13110,85110
39,0.95,2,,,0.4937499998341211,3,0.2310407096785387,1.8304791450500488,0.3099315166473388,96000,13110,109110
40,0.95,2,,,0.6062499997714423,4,0.2264807433249752,2.1867668628692627,0.3560702800750732,126000,30130,156130
41,0.95,2,,,0.6062499997714423,5,0.2153877903050358,2.504131555557251,0.3171284198760986,156000,30130,186130
42,0.95,2,,,0.6062499997714423,6,0.215695051115428,2.944498062133789,0.4401376247406006,186000,30130,216130
43,0.95,2,,,0.4937499998341211,7,0.2255199720670906,3.332298040390014,0.3875513076782226,210000,43240,253240
44,0.95,2,,,0.4937499998341211,8,0.1294186022249639,3.6556930541992183,0.3231594562530517,234000,43240,277240
45,0.95,2,,,0.4937499998341211,9,0.0854071757909416,3.984130859375,0.3281829357147217,258000,43240,301240
46,0.95,2,,,0.4937499998341211,10,0.0350358680419712,4.327379465103149,0.3430008888244629,282000,43240,325240
47,0.95,2,,,0.4937499998341211,11,0.0350358680419712,4.7375078201293945,0.409895658493042,306000,56350,362350
