,accuracy,seed,n_gen,score,elapsed_time
0,0.02,1,0,35422864.8887426,6.916882276535034
1,0.02,1,1,35990007.77763936,13.964151859283447
2,0.02,1,2,35990007.77763936,20.97847056388855
3,0.02,1,3,35990007.77763936,27.889729022979736
4,0.02,1,4,35990007.77763936,34.44777488708496
5,0.02,1,5,35990007.77763936,41.08714032173157
6,0.02,1,6,35990007.77763936,47.944091796875
7,0.02,1,7,35990007.77763936,55.21370053291321
8,0.02,1,8,35990007.77763936,62.94764423370361
9,0.02,1,9,35990007.77763936,70.47490429878235
10,0.02,1,10,35990007.77763936,77.7464509010315
11,0.02,1,11,35990007.77763936,85.34576678276062
12,0.02,1,12,35990007.77763936,93.22143483161926
13,0.02,1,13,35990007.77763936,100.27508282661438
14,0.02,1,14,35990007.77763936,107.8868715763092
15,0.02,1,15,35990007.77763936,115.01227521896362
16,0.02,2,0,35348964.84057122,7.8329548835754395
17,0.02,2,1,35348964.84057122,16.020190000534058
18,0.02,2,2,36323495.76154642,24.231805562973022
19,0.02,2,3,36751350.25798559,31.423258066177368
20,0.02,2,4,36751350.25798559,38.593506813049316
21,0.02,2,5,36751350.25798559,45.76363968849182
22,0.02,2,6,36751350.25798559,53.42499589920044
23,0.02,2,7,37891394.962458916,60.76327395439148
24,0.02,2,8,37891394.962458916,68.14151525497437
25,0.02,2,9,37891394.962458916,75.1095838546753
26,0.02,2,10,37891394.962458916,82.75591897964478
27,0.02,2,11,37891394.962458916,89.92229127883911
28,0.02,2,12,37891394.962458916,97.1538143157959
29,0.02,2,13,37891394.962458916,104.39471459388733
30,0.02,2,14,37891394.962458916,112.28117966651917
31,0.02,3,0,35646609.21259722,8.21060299873352
32,0.02,3,1,35796683.33683096,15.177239179611206
33,0.02,3,2,35796683.33683096,22.72733759880066
34,0.02,3,3,35796683.33683096,30.27807378768921
35,0.02,3,4,35796683.33683096,37.758681774139404
36,0.02,3,5,35796683.33683096,45.5372850894928
37,0.02,3,6,35796683.33683096,52.86083245277405
38,0.02,3,7,35796683.33683096,60.60875940322876
39,0.02,3,8,35796683.33683096,68.3932614326477
40,0.02,3,9,35796683.33683096,75.39766764640808
41,0.02,3,10,35796683.33683096,82.80933141708374
42,0.02,3,11,35796683.33683096,90.06932544708252
43,0.02,3,12,35804382.0862936,97.54762721061707
44,0.02,3,13,35804382.0862936,104.6625189781189
45,0.02,3,14,36340480.318833545,111.68432092666626
46,0.02,4,0,35249661.45554798,7.76923131942749
47,0.02,4,1,35741218.42692198,15.133203983306885
48,0.02,4,2,35741218.42692198,22.63153576850891
49,0.02,4,3,35854879.763689674,29.559699535369873
50,0.02,4,4,35854879.763689674,36.73069095611572
51,0.02,4,5,35854879.763689674,44.44638252258301
52,0.02,4,6,35854879.763689674,51.95049428939819
53,0.02,4,7,35854879.763689674,58.979050636291504
54,0.02,4,8,36368093.551035054,66.51723909378052
55,0.02,4,9,36368093.551035054,74.07410502433777
56,0.02,4,10,36368093.551035054,81.63240814208984
57,0.02,4,11,36368093.551035054,89.52458143234253
58,0.02,4,12,36368093.551035054,97.06050562858582
59,0.02,4,13,36368093.551035054,104.82561469078064
60,0.02,4,14,36368093.551035054,112.48902082443237
61,0.02,5,0,36212911.22513491,6.678530693054199
62,0.02,5,1,36212911.22513491,13.465493202209473
63,0.02,5,2,36212911.22513491,20.25914978981018
64,0.02,5,3,36212911.22513491,27.184463262557983
65,0.02,5,4,36212911.22513491,34.21664905548096
