,accuracy,seed,n_gen,score,elapsed_time
0,1.0,1,0,35323760.339758955,3.9281868934631348
1,1.0,1,1,35432322.32663358,7.659048318862915
2,1.0,1,2,35432322.32663358,11.62424921989441
3,1.0,1,3,35485633.7990362,15.663233757019043
4,1.0,1,4,35550423.03054148,19.576414346694946
5,1.0,1,5,35550423.03054148,23.529446125030518
6,1.0,1,6,35550423.03054148,27.46096420288086
7,1.0,1,7,35550423.03054148,31.245839595794678
8,1.0,1,8,35553096.11115085,35.102999210357666
9,1.0,1,9,35553096.11115085,38.8555474281311
10,1.0,1,10,35553096.11115085,42.674307346343994
11,1.0,2,0,35309448.70464581,3.8280067443847656
12,1.0,2,1,35557900.24016239,7.769561052322388
13,1.0,2,2,35557900.24016239,11.66018533706665
14,1.0,2,3,35557900.24016239,15.601344585418701
15,1.0,2,4,35557900.24016239,19.47996997833252
16,1.0,2,5,35557900.24016239,23.30286955833435
17,1.0,2,6,35557900.24016239,27.283036708831787
18,1.0,2,7,35557900.24016239,31.066659927368164
19,1.0,2,8,35557900.24016239,34.970356464385986
20,1.0,2,9,35557900.24016239,38.87922763824463
21,1.0,2,10,35557900.24016239,42.632551431655884
22,1.0,3,0,35253089.233387224,3.836594820022583
23,1.0,3,1,35253089.233387224,7.746153116226196
24,1.0,3,2,35789079.94899768,11.615948677062988
25,1.0,3,3,35789079.94899768,15.39421796798706
26,1.0,3,4,35789079.94899768,19.304625272750854
27,1.0,3,5,35789079.94899768,23.227696895599365
28,1.0,3,6,35789079.94899768,27.053197622299194
29,1.0,3,7,35789079.94899768,31.080480813980103
30,1.0,3,8,35789079.94899768,35.05769348144531
31,1.0,3,9,36256632.64638475,38.94692420959473
32,1.0,3,10,36256632.64638475,42.84650802612305
33,1.0,4,0,34726060.979947455,3.9100358486175537
34,1.0,4,1,35811363.730822906,7.730637073516846
35,1.0,4,2,35847741.71095673,11.629367589950562
36,1.0,4,3,35847741.71095673,15.472566604614258
37,1.0,4,4,35847741.71095673,19.441220998764038
38,1.0,4,5,35847741.71095673,23.2477023601532
39,1.0,4,6,35847741.71095673,27.181495428085327
40,1.0,4,7,36510621.89335186,31.090575218200684
41,1.0,4,8,36510621.89335186,34.83191967010498
42,1.0,4,9,36510621.89335186,38.85251498222351
43,1.0,4,10,36510621.89335186,42.89643597602844
44,1.0,5,0,36176217.498365335,4.138830900192261
45,1.0,5,1,36506992.32585243,8.224369764328003
46,1.0,5,2,36506992.32585243,12.238792181015015
47,1.0,5,3,36506992.32585243,16.106526613235474
48,1.0,5,4,36506992.32585243,20.01937985420227
49,1.0,5,5,36506992.32585243,23.813738584518433
50,1.0,5,6,36506992.32585243,27.766599416732788
51,1.0,5,7,36506992.32585243,31.802919149398804
52,1.0,5,8,36506992.32585243,35.806904792785645
53,1.0,5,9,36506992.32585243,40.24443697929382
54,1.0,5,10,36506992.32585243,44.57114553451538
55,1.0,6,0,35131345.78449108,4.382828712463379
56,1.0,6,1,35158508.12282228,8.327451229095459
57,1.0,6,2,35280789.09679422,12.445354461669922
58,1.0,6,3,35280789.09679422,16.2292742729187
59,1.0,6,4,35280789.09679422,20.20835852622986
60,1.0,6,5,35280789.09679422,24.459357738494873
61,1.0,6,6,35924071.3909904,28.37032723426819
62,1.0,6,7,35924071.3909904,32.412755727767944
63,1.0,6,8,35924071.3909904,36.31539821624756
64,1.0,6,9,35924071.3909904,40.281296491622925
65,1.0,6,10,35924071.3909904,44.22636103630066
66,1.0,7,0,36202435.44563721,3.9667091369628906
67,1.0,7,1,36202435.44563721,7.938733100891113
68,1.0,7,2,36202435.44563721,11.951404094696045
69,1.0,7,3,36202435.44563721,15.88971996307373
70,1.0,7,4,36202435.44563721,19.825385093688965
71,1.0,7,5,36202435.44563721,23.792799711227417
72,1.0,7,6,36202435.44563721,27.89835023880005
73,1.0,7,7,36202435.44563721,31.768763780593872
74,1.0,7,8,36202435.44563721,35.53679823875427
75,1.0,7,9,36202435.44563721,39.327847480773926
76,1.0,7,10,36202435.44563721,43.10768795013428
77,1.0,8,0,34644142.27249224,3.8823232650756836
78,1.0,8,1,34644142.27249224,7.798942565917969
79,1.0,8,2,35355119.084050395,11.758648157119751
80,1.0,8,3,36435757.06294163,15.80754828453064
81,1.0,8,4,36435757.06294163,19.75183081626892
82,1.0,8,5,36716802.201017305,23.618820190429688
83,1.0,8,6,36716802.201017305,27.409581899642944
84,1.0,8,7,36716802.201017305,31.18116593360901
85,1.0,8,8,36716802.201017305,35.05307745933533
86,1.0,8,9,36716802.201017305,38.932116985321045
87,1.0,8,10,36716802.201017305,42.803622245788574
88,1.0,9,0,35540052.65669111,3.8934226036071777
89,1.0,9,1,35540052.65669111,7.982342481613159
90,1.0,9,2,35540052.65669111,11.940804719924927
91,1.0,9,3,36489185.93025618,15.817699909210205
92,1.0,9,4,36489185.93025618,19.665741682052612
93,1.0,9,5,36489185.93025618,23.690091371536255
94,1.0,9,6,36489185.93025618,27.61353063583374
95,1.0,9,7,36489185.93025618,31.50713062286377
96,1.0,9,8,36489185.93025618,35.40258598327637
97,1.0,9,9,36489185.93025618,39.38775086402893
98,1.0,9,10,36489185.93025618,43.1655969619751
99,1.0,10,0,34037376.051409,3.736229181289673
100,1.0,10,1,34504719.50247195,7.702437162399292
101,1.0,10,2,35858481.02369231,11.64665699005127
102,1.0,10,3,35893016.179452464,15.513554573059082
103,1.0,10,4,35893016.179452464,19.481333255767822
104,1.0,10,5,35893016.179452464,23.403281688690186
105,1.0,10,6,35996504.650502086,27.224719762802124
106,1.0,10,7,35996504.650502086,31.24072241783142
107,1.0,10,8,35996504.650502086,34.955864667892456
108,1.0,10,9,35996504.650502086,38.70193648338318
109,1.0,10,10,35996504.650502086,42.605692863464355
110,1.0,11,0,33800527.6432942,3.8831000328063965
111,1.0,11,1,35103447.623635225,7.867389917373657
112,1.0,11,2,36012315.42481824,11.713212013244629
113,1.0,11,3,36012315.42481824,15.525097131729126
114,1.0,11,4,36012315.42481824,19.349730491638184
115,1.0,11,5,36012315.42481824,23.08381986618042
116,1.0,11,6,36012315.42481824,26.90087890625
117,1.0,11,7,36012315.42481824,30.63393807411194
118,1.0,11,8,36012315.42481824,34.48073744773865
119,1.0,11,9,36012315.42481824,38.3317015171051
120,1.0,11,10,36012315.42481824,42.13680720329285
121,1.0,12,0,34711815.741597086,3.9054057598114014
122,1.0,12,1,35450450.81633303,7.8070759773254395
123,1.0,12,2,35450450.81633303,11.67591905593872
124,1.0,12,3,35450450.81633303,15.761603832244873
125,1.0,12,4,35645913.81340682,19.797767400741577
126,1.0,12,5,35645913.81340682,23.8433518409729
127,1.0,12,6,35645913.81340682,27.738001585006714
128,1.0,12,7,35645913.81340682,31.545103311538696
129,1.0,12,8,35645913.81340682,35.35441064834595
130,1.0,12,9,35645913.81340682,39.184659242630005
131,1.0,12,10,35645913.81340682,43.212467432022095
132,1.0,13,0,36368929.35263738,3.887347936630249
133,1.0,13,1,36368929.35263738,7.98447322845459
134,1.0,13,2,36368929.35263738,11.894436120986938
135,1.0,13,3,36368929.35263738,15.7425057888031
136,1.0,13,4,36368929.35263738,19.652462005615234
137,1.0,13,5,36368929.35263738,23.411032915115356
138,1.0,13,6,36368929.35263738,27.28251814842224
139,1.0,13,7,36368929.35263738,31.230052709579468
140,1.0,13,8,36368929.35263738,34.96230959892273
141,1.0,13,9,36368929.35263738,38.83975958824158
142,1.0,13,10,36368929.35263738,42.79707717895508
143,1.0,14,0,35639756.67016233,3.9450719356536865
144,1.0,14,1,35683114.399849385,7.909156084060669
