,accuracy,seed,n_gen,score,elapsed_time
0,0.5,1,0,35323760.339758724,15.378015995025635
1,0.5,1,1,35432322.32663406,30.064518928527832
2,0.5,1,2,35432322.32663406,45.625197410583496
3,0.5,1,3,35485633.79903593,62.0889196395874
4,0.5,1,4,35550423.030541256,79.34655237197876
5,0.5,1,5,35550423.030541256,96.20754480361938
6,0.5,1,6,35550423.030541256,111.99663496017456
7,0.5,2,0,35309448.70464559,17.343878507614136
8,0.5,2,1,35557900.24016243,33.978949785232544
9,0.5,2,2,35557900.24016243,50.9733943939209
10,0.5,2,3,35557900.24016243,67.35047364234924
11,0.5,2,4,35557900.24016243,83.98353004455566
12,0.5,2,5,35557900.24016243,99.93003678321838
13,0.5,2,6,35557900.24016243,116.0446834564209
14,0.5,3,0,35253089.23338732,16.866244316101074
15,0.5,3,1,35253089.23338732,33.19605755805969
16,0.5,3,2,35789079.94899772,48.78769898414612
17,0.5,3,3,35789079.94899772,64.1881992816925
18,0.5,3,4,35789079.94899772,80.13879418373108
19,0.5,3,5,35789079.94899772,96.48350596427917
20,0.5,3,6,35789079.94899772,111.85948467254639
21,0.5,4,0,34726060.97994733,16.918468236923218
22,0.5,4,1,35811363.730822936,31.954697370529175
23,0.5,4,2,35847741.7109569,46.945250034332275
24,0.5,4,3,35847741.7109569,63.078174114227295
25,0.5,4,4,35847741.7109569,78.19829726219177
26,0.5,4,5,35847741.7109569,93.14772200584412
27,0.5,4,6,35847741.7109569,107.77617692947388
28,0.5,4,7,36510621.893352054,123.566162109375
29,0.5,5,0,36176217.49836566,15.720804452896118
30,0.5,5,1,36506992.32585239,32.00362420082092
31,0.5,5,2,36506992.32585239,48.86791396141052
32,0.5,5,3,36506992.32585239,64.58674645423889
33,0.5,5,4,36506992.32585239,80.28023910522461
34,0.5,5,5,36506992.32585239,96.08485531806946
35,0.5,5,6,36506992.32585239,112.93897271156311
36,0.5,6,0,35131345.78449084,16.24870276451111
37,0.5,6,1,35158508.12282207,32.830524921417236
38,0.5,6,2,35280789.096794434,48.781891107559204
39,0.5,6,3,35280789.096794434,64.72406959533691
40,0.5,6,4,35280789.096794434,81.16635847091675
41,0.5,6,5,35280789.096794434,98.52747893333435
42,0.5,6,6,35924071.39099062,113.18270063400269
43,0.5,7,0,36202435.445637,16.968380212783813
44,0.5,7,1,36202435.445637,32.8743577003479
45,0.5,7,2,36202435.445637,49.74848699569702
46,0.5,7,3,36202435.445637,64.85742855072021
47,0.5,7,4,36202435.445637,80.11117649078369
48,0.5,7,5,36202435.445637,96.22162103652954
49,0.5,7,6,36202435.445637,111.85528898239136
50,0.5,8,0,34644142.27249219,15.834436178207397
51,0.5,8,1,34644142.27249219,32.77034854888916
52,0.5,8,2,35355119.084050514,49.10533380508423
53,0.5,8,3,36435757.06294153,65.07350444793701
54,0.5,8,4,36435757.06294153,81.9959499835968
55,0.5,8,5,36716802.201016985,98.21218657493591
56,0.5,8,6,36716802.201016985,113.75301933288574
57,0.5,9,0,35540052.656690836,16.325855493545532
58,0.5,9,1,35540052.656690836,32.75239562988281
59,0.5,9,2,35540052.656690836,48.519333362579346
60,0.5,9,3,36489185.93025625,64.552237033844
61,0.5,9,4,36489185.93025625,80.71606063842773
62,0.5,9,5,36489185.93025625,97.45779967308044
63,0.5,9,6,36489185.93025625,113.63565373420715
64,0.5,10,0,34037376.05140903,16.052814483642578
65,0.5,10,1,34504719.50247201,31.87554383277893
66,0.5,10,2,35858481.02369224,47.57669281959534
67,0.5,10,3,35893016.1794526,64.00649571418762
68,0.5,10,4,35893016.1794526,81.14258241653442
69,0.5,10,5,35893016.1794526,98.2487268447876
70,0.5,10,6,35996504.650502056,114.17614006996155
71,0.5,11,0,33800527.64329417,16.073601245880127
72,0.5,11,1,35103447.62363521,32.682151794433594
73,0.5,11,2,36012315.42481824,49.253942012786865
74,0.5,11,3,36012315.42481824,64.21250128746033
75,0.5,11,4,36012315.42481824,79.9241132736206
76,0.5,11,5,36012315.42481824,95.61371612548828
77,0.5,11,6,36012315.42481824,111.94740581512451
78,0.5,12,0,34711815.74159707,17.3790020942688
79,0.5,12,1,35450450.81633304,32.79107427597046
80,0.5,12,2,35450450.81633304,48.24248433113098
81,0.5,12,3,35450450.81633304,64.55367803573608
82,0.5,12,4,35645913.81340659,82.17078614234924
83,0.5,12,5,35645913.81340659,98.48877096176147
84,0.5,12,6,35645913.81340659,115.60319757461548
85,0.5,13,0,36368929.35263719,16.70364475250244
86,0.5,13,1,36368929.35263719,34.79292440414429
87,0.5,13,2,36368929.35263719,52.12633776664734
88,0.5,13,3,36368929.35263719,66.85186505317688
89,0.5,13,4,36368929.35263719,82.52881860733032
90,0.5,13,5,36368929.35263719,97.99428033828735
91,0.5,13,6,36368929.35263719,114.03564167022705
92,0.5,14,0,35639756.670162596,15.720502138137817
93,0.5,14,1,35683114.39984944,30.784642696380615
94,0.5,14,2,35683114.39984944,47.450815200805664
95,0.5,14,3,35683114.39984944,62.85546278953552
96,0.5,14,4,35683114.39984944,78.57177710533142
97,0.5,14,5,35683114.39984944,95.48052048683167
98,0.5,14,6,35683114.39984944,112.06780743598938
99,0.5,15,0,33705447.991934784,16.249616384506226
100,0.5,15,1,34152764.10399286,34.146620988845825
101,0.5,15,2,34942134.74729415,50.81172513961792
102,0.5,15,3,35199214.34756184,67.4299168586731
103,0.5,15,4,36327160.088856764,83.38661694526672
104,0.5,15,5,36327160.088856764,99.75001573562622
105,0.5,15,6,36327160.088856764,115.47942423820496
106,0.5,16,0,35378539.173548415,16.08518671989441
107,0.5,16,1,35977359.1527721,32.42296266555786
108,0.5,16,2,35977359.1527721,48.56069040298462
109,0.5,16,3,35977359.1527721,64.82673144340515
110,0.5,16,4,35977359.1527721,80.55669808387756
111,0.5,16,5,35977359.1527721,96.28455638885498
112,0.5,16,6,35977359.1527721,112.92096590995789
113,0.5,17,0,35332686.2885166,16.619215488433838
114,0.5,17,1,35332686.2885166,32.519222021102905
115,0.5,17,2,35332686.2885166,49.6149115562439
116,0.5,17,3,35853858.1192795,66.13708686828613
117,0.5,17,4,35853858.1192795,81.96737146377563
118,0.5,17,5,35853858.1192795,98.31872701644897
