,train_seed,acc,n_gen,score,elapsed_time,time_gen,n_eval
0,1,0.5,0,0.36704769875934246,0.6280760765075684,0.6278078556060791,25000
1,1,0.5,1,0.3308546992824125,1.3331167697906494,0.7045674324035645,50000
2,1,0.5,2,0.3389158322134403,2.306788444519043,0.9733164310455322,75000
3,1,0.5,3,0.3389158322134403,2.890474319458008,0.5832853317260742,100000
4,1,0.5,4,0.2585497879316555,3.840209722518921,0.9492135047912598,125000
5,1,0.5,5,0.24373574419532965,4.616741895675659,0.7761662006378174,150000
6,1,0.5,6,0.17783639122060188,5.421854257583618,0.8047187328338623,175000
7,1,0.5,7,0.1327114987774112,6.052033424377441,0.6297626495361328,200000
8,1,0.5,8,0.12676283087020404,6.670531511306763,0.6181166172027588,225000
9,1,0.5,9,0.12676283087020404,7.3085105419158936,0.6375973224639893,250000
10,1,0.5,10,0.13770389013912937,7.9629645347595215,0.6539967060089111,275000
11,1,0.5,11,0.13125930012892892,8.610220193862915,0.6468708515167236,300000
12,1,0.5,12,0.1262042984888838,9.255531549453735,0.6448991298675537,325000
13,1,0.5,13,0.1262042984888838,9.906728029251099,0.650780439376831,350000
14,1,0.5,14,0.1199629938808113,10.625463962554932,0.7183544635772705,375000
15,1,0.5,15,0.1199629938808113,11.335660696029663,0.7098045349121094,400000
16,1,0.5,16,0.1199629938808113,12.042858123779297,0.7067930698394775,425000
17,1,0.5,17,0.1321268424042857,12.674973726272583,0.6317276954650879,450000
18,1,0.5,18,0.12309722028386305,13.306446075439453,0.631075382232666,475000
19,1,0.5,19,0.1275936895425879,13.937984466552734,0.6311445236206055,500000
20,1,0.6,20,0.1275936895425879,14.614534616470337,0.6757893562316895,530000
21,1,0.6,21,0.1275936895425879,15.250619173049927,0.6357033252716064,560000
22,1,0.6,22,0.1275936895425879,15.9003586769104,0.6493456363677979,590000
23,1,0.6,23,0.12463371046555148,16.527300596237183,0.6265323162078857,620000
24,1,0.6,24,0.1275936895425879,17.15212345123291,0.6244232654571533,650000
25,1,0.6,25,0.1448898744323238,17.778369188308716,0.6258583068847656,680000
26,1,0.6,26,0.1448898744323238,18.41493010520935,0.6361722946166992,710000
27,1,0.6,27,0.12568620720817936,19.043410778045654,0.6280896663665771,740000
28,1,0.6,28,0.12568620720817936,19.67423725128174,0.63043212890625,770000
29,1,0.6,29,0.14630768084674897,20.31116008758545,0.6364858150482178,800000
30,1,0.6,30,0.13155421335693768,20.95763111114502,0.6460587978363037,830000
31,1,0.6,31,0.129599352724174,21.605822563171387,0.6477634906768799,860000
32,1,0.6,32,0.13015239533106077,22.24182367324829,0.6355772018432617,890000
33,1,0.6,33,0.12941637875887052,22.880767583847046,0.6385295391082764,920000
34,1,0.6,34,0.09383704274573405,23.52159333229065,0.6404318809509277,950000
35,1,0.6,35,0.09383704274573405,24.151288747787476,0.6293056011199951,980000
36,1,0.7,36,0.09084423402694766,24.78498148918152,0.632908821105957,1015000
37,1,0.7,37,0.12941637875887052,25.425139665603638,0.6397395133972168,1050000
38,1,0.7,38,0.1304610179558298,26.050193071365356,0.6246535778045654,1085000
39,1,0.7,39,0.1448898744323238,26.726313829421997,0.675743579864502,1120000
40,1,0.7,40,0.1448898744323238,27.35678720474243,0.6300933361053467,1155000
41,1,0.7,41,0.1304610179558298,27.99053120613098,0.6333417892456055,1190000
42,1,0.7,42,0.1304610179558298,28.619269609451294,0.628338098526001,1225000
43,1,0.7,43,0.1304610179558298,29.243775844573975,0.6241087913513184,1260000
44,1,0.7,44,0.1304610179558298,29.87397527694702,0.6294662952423096,1295000
45,1,0.7,45,0.1304610179558298,30.525967597961426,0.6515552997589111,1330000
46,1,0.7,46,0.1448898744323238,31.15832281112671,0.6319675445556641,1365000
47,1,0.7,47,0.1448898744323238,31.788339614868164,0.6296327114105225,1400000
48,1,0.7,48,0.1304610179558298,32.43088936805725,0.6421432495117188,1435000
49,1,0.7,49,0.1304610179558298,33.06208896636963,0.6308000087738037,1470000
50,1,0.7999999999999999,50,0.1304610179558298,33.705687284469604,0.6428065299987793,1510000
51,1,0.7999999999999999,51,0.1304610179558298,34.33747720718384,0.6313865184783936,1550000
52,1,0.7999999999999999,52,0.1304610179558298,34.97487759590149,0.6369984149932861,1590000
53,1,0.7999999999999999,53,0.1304610179558298,35.61027693748474,0.6349945068359375,1630000
54,1,0.7999999999999999,54,0.1304610179558298,36.24163269996643,0.6309566497802734,1670000
55,1,0.7999999999999999,55,0.1304610179558298,36.892329931259155,0.6502892971038818,1710000
56,1,0.7999999999999999,56,0.1304610179558298,37.530882835388184,0.6381492614746094,1750000
57,1,0.7999999999999999,57,0.1304610179558298,38.16919422149658,0.6378986835479736,1790000
58,1,0.7999999999999999,58,0.1304610179558298,38.86223578453064,0.6926388740539551,1830000
59,1,0.7999999999999999,59,0.1304610179558298,39.502747774124146,0.6401071548461914,1870000
60,1,0.7999999999999999,60,0.1304610179558298,40.14763855934143,0.6444849967956543,1910000
61,1,0.7999999999999999,61,0.1304610179558298,40.78661346435547,0.6385669708251953,1950000
62,1,0.7999999999999999,62,0.1304610179558298,41.433855056762695,0.6468408107757568,1990000
63,1,0.8999999999999999,63,0.1304610179558298,42.0758171081543,0.6411712169647217,2034000
64,1,0.8999999999999999,64,0.1304610179558298,42.71202564239502,0.6358168125152588,2078000
65,1,0.8999999999999999,65,0.1304610179558298,43.35135459899902,0.6389245986938477,2122000
66,1,0.8999999999999999,66,0.1304610179558298,43.99748921394348,0.6457281112670898,2166000
