,heuristic_param,seed,n_gen,score,accuracy,variance,elapsed_time_proc,elapsed_time_acc,elapsed_time
0,0.8,1,0,35323760.339758955,0.0634375,5372810730580.89,1.2459666728973389,2.257267951965332,3.5032384395599365
1,0.8,1,1,35323760.339758955,0.0634375,5879941093322.829,2.356264114379883,3.129889726638794,5.486156463623047
2,0.8,1,2,35323760.339758955,0.0634375,5499415109713.994,3.491612434387207,4.163687705993652,7.655302762985229
3,0.8,1,3,35323760.339758955,0.0634375,5009649979354.253,4.767892360687256,5.226046562194824,9.993942499160768
4,0.8,1,4,35948577.17657362,0.0634375,7362634403824.322,6.315906763076782,6.743129253387451,13.0590398311615
5,0.8,1,5,35948577.17657362,0.0634375,3208541704712.02,7.629355192184448,7.71982216835022,15.34918212890625
6,0.8,1,6,35948577.17657362,0.0634375,3719561793798.672,8.774312973022461,8.629523277282715,17.403839349746704
7,0.8,1,7,35948577.17657362,0.0634375,4640102613676.321,9.962489128112791,9.580526351928713,19.54301762580872
8,0.8,1,8,35948577.17657362,0.0634375,4643758774362.478,11.129496812820436,10.66835355758667,21.797852277755737
9,0.8,1,9,36912568.02804873,0.0634375,4842836951798.867,12.561945915222168,11.932221174240112,24.494170427322388
10,0.8,1,10,36912568.02804873,0.0634375,3997239327755.994,13.760555982589722,13.066725730895996,26.827285289764404
11,0.8,1,11,36912568.02804873,0.0634375,6734228323650.548,14.953346967697144,14.094804048538208,29.04815363883972
12,0.8,1,12,36912568.02804873,0.0634375,5145807235619.606,16.096747398376465,15.08300495147705,31.17975378036499
13,0.8,1,13,36912568.02804873,0.0634375,4699707262083.498,17.35143208503723,16.3487446308136,33.70018005371094
14,0.8,1,14,36912568.02804873,0.0634375,3054058194906.372,18.559765338897705,17.265135288238525,35.82490515708923
15,0.8,2,0,35309448.70464581,0.0634375,4861430489405.896,1.2338716983795166,2.3573098182678223,3.591186046600342
16,0.8,2,1,35734076.79716357,0.0634375,5766959209172.295,2.5190210342407227,3.650512218475342,6.16953706741333
17,0.8,2,2,35734076.79716357,0.0634375,5207708421007.645,3.780008316040039,4.587642431259155,8.367654085159302
18,0.8,2,3,35734076.79716357,0.0634375,5058045859802.368,4.989778757095337,5.588249206542969,10.578033447265623
19,0.8,2,4,36079247.26342803,0.0634375,4170224245124.273,6.321865081787109,6.802502632141113,13.124371767044067
20,0.8,2,5,36079247.26342803,0.0634375,5694386922761.153,7.496050596237183,7.9219865798950195,15.418039560317991
21,0.8,2,6,36079247.26342803,0.0634375,7410918245793.624,8.733768224716187,8.926525592803955,17.660296201705933
22,0.8,2,7,36079247.26342803,0.0634375,4533913921379.059,9.925645351409912,9.853097677230837,19.778746843338013
23,0.8,2,8,36079247.26342803,0.0634375,3897627706733.712,11.13184928894043,10.905560970306396,22.037413835525516
24,0.8,2,9,36079247.26342803,0.0634375,4821127451293.164,12.297985553741457,11.84955883026123,24.147547006607056
25,0.8,2,10,36079247.26342803,0.0634375,4411922651302.599,13.58744478225708,13.01540207862854,26.602850198745728
26,0.8,2,11,36079247.26342803,0.0634375,5306144970723.253,14.78289556503296,13.998559713363647,28.781457901000977
27,0.8,2,12,36079247.26342803,0.0634375,6442733665438.588,16.0941264629364,15.101176977157593,31.19530749320984
28,0.8,2,13,36079247.26342803,0.0634375,5028008002532.763,17.28124761581421,16.07861304283142,33.359864711761475
29,0.8,2,14,36079247.26342803,0.0634375,3679517751580.52,18.44416570663452,16.99446439743042,35.43863344192505
30,0.8,3,0,35253089.233387224,0.0634375,4580243975680.648,1.2440519332885742,2.300514936447144,3.544570207595825
31,0.8,3,1,35253089.233387224,0.0634375,4730037543532.473,2.458472490310669,3.3397161960601807,5.798192024230957
32,0.8,3,2,35253089.233387224,0.0634375,2818767355181.8774,3.5745418071746826,4.254138469696045,7.828683853149414
33,0.8,3,3,35842626.77126126,0.0634375,3499988722334.909,4.769618034362793,5.314412593841553,10.0840322971344
34,0.8,3,4,35842626.77126126,0.0634375,5853299882548.1,6.026721715927124,6.368665933609009,12.395391464233398
35,0.8,3,5,35842626.77126126,0.0634375,4502733816782.698,7.159382343292236,7.269301414489746,14.428688049316406
36,0.8,3,6,35842626.77126126,0.0634375,4413974565640.817,8.339298009872437,8.258600234985352,16.597902059555054
37,0.8,3,7,35842626.77126126,0.0634375,5269329413752.345,9.59795355796814,9.249439477920532,18.84739661216736
38,0.8,3,8,35842626.77126126,0.0634375,5037512432078.02,10.9108989238739,10.380642175674438,21.29154396057129
39,0.8,3,9,35842626.77126126,0.0634375,5917341372298.206,12.12254524230957,11.282717943191528,23.405267238616943
40,0.8,3,10,35842626.77126126,0.0634375,4351533128496.9087,13.278346300125122,12.348764181137083,25.627112865448
41,0.8,3,11,35842626.77126126,0.0634375,5437637785150.769,14.49943995475769,13.468938827514648,27.968384265899655
42,0.8,3,12,35842626.77126126,0.0634375,4404198548977.027,15.679955005645752,14.515212059020996,30.195170402526852
43,0.8,3,13,35842626.77126126,0.0634375,4225277981135.716,16.810271739959717,15.391631126403809,32.20191526412964
44,0.8,3,14,35842626.77126126,0.0634375,4038841904866.5176,17.980158805847168,16.555315256118774,34.535478353500366
45,0.8,4,0,34726060.979947455,0.0634375,6112226140254.308,1.2622840404510498,2.3086259365081787,3.5709128379821777
46,0.8,4,1,34726060.979947455,0.0634375,3701108888334.1846,2.3710036277771,3.190321207046509,5.561327695846558
47,0.8,4,2,35138932.90900654,0.0634375,4743101487594.999,3.582683563232422,4.391703844070435,7.974392890930176
48,0.8,4,3,35138932.90900654,0.0634375,3812858588435.409,4.882444381713867,5.528797626495361,10.411244869232178
49,0.8,4,4,35138932.90900654,0.0634375,5040589875354.566,6.007648944854736,6.4620583057403564,12.469715356826782
50,0.8,4,5,35138932.90900654,0.0634375,6699573115990.832,7.371442079544067,7.825364351272583,15.196810007095335
51,0.8,4,6,35138932.90900654,0.0634375,4389869363683.085,8.58936095237732,8.875279903411865,17.46464467048645
52,0.8,4,7,35138932.90900654,0.0634375,3269144951661.773,9.728304624557495,9.787392616271973,19.515701055526733
53,0.8,4,8,35138932.90900654,0.0634375,4651985935040.423,11.007172107696531,10.91719651222229,21.924373149871823
54,0.8,4,9,35138932.90900654,0.0634375,4445370498704.904,12.215174913406372,11.895659685134888,24.110837936401367
55,0.8,4,10,35758353.97784978,0.0634375,4322122318769.544,13.37593936920166,12.820438623428345,26.19638061523437
56,0.8,4,11,35758353.97784978,0.0634375,4017087714502.421,14.563137769699097,13.973688125610352,28.53683114051819
57,0.8,4,12,35758353.97784978,0.0634375,3835193632674.406,15.74033546447754,14.914248704910278,30.654586791992188
