,heuristic_param,seed,n_gen,score,accuracy,variance,update,elapsed_time_proc,elapsed_time_acc,elapsed_time
0,"[5, 3]",1,0,35323760.339758955,0.0889552977577175,5185581819652.423,True,1.2437782287597656,1.382282018661499,2.6260602474212646
1,"[5, 3]",1,1,35323760.339758955,0.0889552977577175,5752926671519.933,False,2.6155567169189453,1.382282018661499,3.997838735580444
2,"[5, 3]",1,2,35323760.339758955,0.0889552977577175,3621468077602.4136,False,3.959965705871582,1.382282018661499,5.342247724533081
3,"[5, 3]",1,3,35323760.339758955,0.0889552977577175,4887392491073.804,False,5.243123292922974,1.382282018661499,6.625405311584473
4,"[5, 3]",1,4,35784749.53944766,0.0889552977577175,4770262562229.561,False,6.651270151138306,1.382282018661499,8.033552169799805
5,"[5, 3]",1,5,35784749.53944766,0.0889552977577175,5983863856363.612,False,7.894292831420898,1.382282018661499,9.276574850082396
6,"[5, 3]",1,6,35784749.53944766,0.0889552977577175,4777131196061.841,False,9.243071794509888,1.382282018661499,10.625353813171388
7,"[5, 3]",1,7,35784749.53944766,0.0889552977577175,4203925413448.756,False,10.423004627227783,1.382282018661499,11.805286645889282
8,"[5, 3]",1,8,35784749.53944766,0.0889552977577175,3280246127355.7886,False,11.72567367553711,1.382282018661499,13.107955694198608
9,"[5, 3]",1,9,35947790.98403098,0.0889552977577175,4993683723122.43,False,12.995444059371948,1.382282018661499,14.377726078033447
10,"[5, 3]",1,10,35947790.98403098,0.0889552977577175,4684491445688.025,False,14.201759338378906,1.382282018661499,15.584041357040403
11,"[5, 3]",1,11,36324903.60822857,0.0889552977577175,4598118337606.461,False,15.594648599624634,1.382282018661499,16.976930618286133
12,"[5, 3]",1,12,36324903.60822857,0.0889552977577175,6820271467602.08,False,16.736666679382324,1.382282018661499,18.118948698043823
13,"[5, 3]",1,13,36324903.60822857,0.0889552977577175,5055373968285.458,True,18.01183032989502,2.565997838973999,20.57782816886902
14,"[5, 3]",1,14,36324903.60822857,0.0889552977577175,4314611905246.4014,False,19.41939330101013,2.565997838973999,21.98539113998413
15,"[5, 3]",1,15,36324903.60822857,0.0889552977577175,2961934765365.0493,False,20.737850189208984,2.565997838973999,23.303848028182983
16,"[5, 3]",1,16,36324903.60822857,0.0889552977577175,4250404508034.714,False,22.02200675010681,2.565997838973999,24.58800458908081
17,"[5, 3]",1,17,36324903.60822857,0.0889552977577175,3397056971782.4688,False,23.38296341896057,2.565997838973999,25.94896125793457
18,"[5, 3]",1,18,36324903.60822857,0.0889552977577175,5853529118728.503,False,24.589285850524902,2.565997838973999,27.1552836894989
