,heuristic_param,seed,n_gen,score,accuracy,variance,elapsed_time_proc,elapsed_time_acc,elapsed_time
0,5,1,0,35323760.339758955,0.0889552977577175,5185581819652.423,1.5114212036132812,1.3347902297973633,2.8462114334106445
1,5,1,1,35323760.339758955,0.0889552977577175,5752926671519.933,3.151005268096924,1.3347902297973633,4.485795497894287
2,5,1,2,35323760.339758955,0.0889552977577175,3621468077602.4136,4.7730913162231445,1.3347902297973633,6.107881546020508
3,5,1,3,35323760.339758955,0.0889552977577175,4887392491073.804,6.244957208633423,1.3347902297973633,7.579747438430786
4,5,1,4,35784749.53944766,0.0889552977577175,4770262562229.561,7.705595254898071,2.436809539794922,10.142404794692991
5,5,1,5,35784749.53944766,0.0889552977577175,5983863856363.612,9.272728204727173,2.436809539794922,11.709537744522097
6,5,1,6,35784749.53944766,0.0889552977577175,4777131196061.841,10.64592957496643,2.436809539794922,13.082739114761353
7,5,1,7,35784749.53944766,0.0889552977577175,5235354810964.127,12.300373554229736,2.436809539794922,14.737183094024658
8,5,1,8,35784749.53944766,0.0889552977577175,5901944506016.29,13.747661590576172,2.436809539794922,16.184471130371094
9,5,1,9,35784749.53944766,0.0889552977577175,5886951667027.34,15.34085249900818,3.784395694732666,19.125248193740845
10,5,1,10,35784749.53944766,0.0889552977577175,4579436984578.926,16.78140425682068,3.784395694732666,20.565799951553345
11,5,1,11,35784749.53944766,0.0889552977577175,5903036769403.12,18.299962282180783,3.784395694732666,22.08435797691345
12,5,1,12,35784749.53944766,0.0889552977577175,4062273230510.346,19.773248195648197,3.784395694732666,23.55764389038086
13,5,1,13,35784749.53944766,0.0889552977577175,3546757356838.425,21.190375328063965,4.920369625091553,26.11074495315552
14,5,1,14,35784749.53944766,0.0889552977577175,4484815070775.707,22.718195915222168,4.920369625091553,27.63856554031372
15,5,1,15,35784749.53944766,0.0889552977577175,5398441443455.84,24.149200677871704,4.920369625091553,29.069570302963257
16,5,1,16,36084938.19320488,0.0889552977577175,6559363407591.747,25.658334732055664,4.920369625091553,30.578704357147217
17,5,1,17,36084938.19320488,0.0889552977577175,5218212607034.895,27.24393200874329,6.39256477355957,33.636496782302856
18,5,1,18,36084938.19320488,0.0889552977577175,5428103713247.905,28.941792488098145,6.39256477355957,35.334357261657715
19,5,1,19,36084938.19320488,0.0889552977577175,4101417612816.99,30.22285461425781,6.39256477355957,36.61541938781738
20,5,1,20,36084938.19320488,0.0889552977577175,3824742436239.5137,31.69623351097107,6.39256477355957,38.08879828453064
21,5,1,21,36948765.26540214,0.0889552977577175,4587878404644.24,33.18093013763428,7.530843496322632,40.71177363395691
22,5,2,0,35309448.70464581,0.0889552977577175,4925413999364.69,1.4755425453186035,1.3836872577667236,2.859229803085327
23,5,2,1,35309448.70464581,0.0889552977577175,3673858602567.342,2.9547197818756104,1.3836872577667236,4.338407039642334
24,5,2,2,35309448.70464581,0.0889552977577175,5100069592825.475,4.372840166091919,1.3836872577667236,5.756527423858643
25,5,2,3,35309448.70464581,0.0889552977577175,4525360248506.211,5.826914310455322,1.3836872577667236,7.210601568222046
26,5,2,4,35309448.70464581,0.0889552977577175,5247550019820.731,7.2931201457977295,2.505070447921753,9.798190593719482
27,5,2,5,35404005.431255855,0.0889552977577175,4470654203372.065,8.733079433441162,2.505070447921753,11.238149881362917
28,5,2,6,35367196.38575882,0.0889552977577175,5178349994282.916,10.192245721817017,2.505070447921753,12.69731616973877
29,5,2,7,35367196.38575882,0.0889552977577175,5610799404852.929,11.549004077911375,2.505070447921753,14.05407452583313
30,5,2,8,35367196.38575882,0.0889552977577175,4304050002547.152,12.9780855178833,3.890259504318237,16.868345022201538
31,5,2,9,35367196.38575882,0.0889552977577175,6545655818289.305,14.46519136428833,3.890259504318237,18.355450868606567
32,5,2,10,35367196.38575882,0.0889552977577175,3938662584542.248,16.000429153442383,3.890259504318237,19.89068865776062
33,5,2,11,35868688.07253825,0.0889552977577175,3914813128354.672,17.583082675933838,3.890259504318237,21.473342180252075
34,5,2,12,35868688.07253825,0.0889552977577175,4689949050265.003,19.012736320495605,4.892366170883179,23.905102491378784
35,5,2,13,35868688.07253825,0.0889552977577175,5104796086898.655,20.39959287643433,4.892366170883179,25.291959047317505
36,5,2,14,35868688.07253825,0.0889552977577175,3557691715502.263,21.84458303451538,4.892366170883179,26.73694920539856
37,5,2,15,37552421.43903778,0.0889552977577175,4306531446339.321,23.347132682800293,4.892366170883179,28.23949885368347
38,5,2,16,37552421.43903778,0.0889552977577175,5271370504787.199,24.829137802124023,4.892366170883179,29.7215039730072
39,5,2,17,37552421.43903778,0.0889552977577175,6254230522469.034,26.358991861343384,6.1948301792144775,32.55382204055786
40,5,2,18,37552421.43903778,0.0889552977577175,3389076377650.8745,27.7317533493042,6.1948301792144775,33.92658352851868
41,5,2,19,37552421.43903778,0.0889552977577175,4031823758777.471,29.1561222076416,6.1948301792144775,35.35095238685608
42,5,2,20,37552421.43903778,0.0889552977577175,5236183892012.447,30.73532056808472,6.1948301792144775,36.9301507472992
43,5,2,21,37552421.43903778,0.0889552977577175,5317897947380.481,31.960941314697266,6.1948301792144775,38.15577149391174
44,5,2,22,37552421.43903778,0.0889552977577175,4405411383129.197,33.30901622772217,6.1948301792144775,39.503846406936646
45,5,2,23,37552421.43903778,0.0889552977577175,4869682689608.157,34.71412014961243,6.1948301792144775,40.9089503288269
46,5,3,0,35253089.233387224,0.0889552977577175,4611379499291.316,1.454085111618042,1.288609504699707,2.742694616317749
47,5,3,1,35253089.233387224,0.0889552977577175,4925908924388.089,2.8686110973358154,1.288609504699707,4.1572206020355225
48,5,3,2,36363082.76039141,0.0889552977577175,4224631767051.1367,4.279486179351807,1.288609504699707,5.568095684051514
49,5,3,3,36363082.76039141,0.0889552977577175,5150293438064.727,5.722703456878662,1.288609504699707,7.011312961578369
50,5,3,4,36363082.76039141,0.0889552977577175,4636670724405.271,7.187339782714844,2.51455307006836,9.701892852783203
51,5,3,5,36363082.76039141,0.0889552977577175,4540762794414.624,8.665384292602539,2.51455307006836,11.179937362670898
52,5,3,6,36363082.76039141,0.0889552977577175,7771100210743.0625,10.080080032348633,2.51455307006836,12.594633102416992
53,5,3,7,36363082.76039141,0.0889552977577175,4532354321644.349,11.493506669998167,2.51455307006836,14.008059740066528
54,5,3,8,36363082.76039141,0.0889552977577175,4925118169881.418,12.969242811203005,2.51455307006836,15.483795881271362
