,heuristic_param,seed,n_gen,score,accuracy,threshold,variance,elapsed_time_proc,elapsed_time_acc,elapsed_time
0,5,1,0,35323760.339758955,0.0634375,0.95,5372810730580.89,1.2481660842895508,2.225370168685913,3.4735395908355717
1,5,1,1,35323760.339758955,0.0634375,0.95,5879941093322.829,2.4750330448150635,3.456141471862793,5.931176662445068
2,5,1,2,35323760.339758955,0.0634375,0.95,5499415109713.994,3.786623239517212,4.785492181777954,8.572118997573853
3,5,1,3,35323760.339758955,0.0634375,0.95,5009649979354.253,5.064175367355347,6.07517147064209,11.13935089111328
4,5,1,4,35948577.17657362,0.0634375,0.95,7362634403824.322,6.2154154777526855,7.317357778549194,13.53277826309204
5,5,1,5,35948577.17657362,0.0634375,0.95,3208541704712.02,7.444060564041138,8.592248439788818,16.036311388015747
6,5,1,6,35948577.17657362,0.0634375,0.95,3719561793798.672,8.823317766189575,10.027631044387816,18.850953102111816
7,5,1,7,35948577.17657362,0.0634375,0.95,5105794688812.685,9.9070782661438,11.178125619888306,21.085206270217896
8,5,1,8,35948577.17657362,0.0634375,0.95,4650902407747.905,11.062922239303589,12.380976915359495,23.44390296936035
9,5,1,9,35948577.17657362,0.0634375,0.95,5053000930296.811,12.10763144493103,13.46247172355652,25.570106029510494
10,5,1,10,35948577.17657362,0.0634375,0.95,5751277734671.287,13.408559560775757,14.7975172996521,28.206080198287964
11,5,1,11,35948577.17657362,0.0634375,0.95,4029558097968.632,14.631017684936523,16.07825255393982,30.709272861480716
12,5,1,12,35948577.17657362,0.0634375,0.95,5905891651168.855,15.599076747894289,17.129735708236694,32.72881603240967
13,5,1,13,35948577.17657362,0.0634375,0.95,5649762086601.379,16.79562211036682,18.3957793712616,35.19140362739563
14,5,2,0,35309448.70464581,0.0634375,0.95,4861430489405.896,1.1884217262268066,2.240746021270752,3.4291718006134038
15,5,2,1,35734076.79716357,0.0634375,0.95,5766959209172.295,2.5021302700042725,3.5646328926086426,6.066766262054443
16,5,2,2,35734076.79716357,0.0634375,0.95,5207708421007.645,3.624226093292236,4.729259252548218,8.35348892211914
17,5,2,3,35734076.79716357,0.0634375,0.95,5058045859802.368,4.815595865249634,5.940898180007935,10.756498575210571
18,5,2,4,36079247.26342803,0.0634375,0.95,4170224245124.273,5.935256242752075,7.08631706237793,13.02157711982727
19,5,2,5,36079247.26342803,0.0634375,0.95,5694386922761.153,7.11340856552124,8.306745529174805,15.420159578323364
20,5,2,6,36079247.26342803,0.0634375,0.95,7410918245793.624,8.128172397613525,9.350088596343994,17.4782657623291
21,5,2,7,36079247.26342803,0.0634375,0.95,3723984045187.395,9.41979956626892,10.675557613372805,20.09536123275757
22,5,2,8,36904943.66935001,0.0634375,0.95,4771493575206.153,10.436792850494385,11.760353326797484,22.197150230407715
23,5,2,9,36904943.66935001,0.0634375,0.95,7133373115979.52,11.557621002197266,12.91344952583313,24.47107553482056
24,5,2,10,36904943.66935001,0.0634375,0.95,5809717751087.119,12.736659526824951,14.159739255905151,26.89640188217163
25,5,2,11,36904943.66935001,0.0634375,0.95,5243690041111.102,13.899157524108888,15.356979846954346,29.25614142417908
26,5,2,12,36904943.66935001,0.0634375,0.95,4825966746262.148,14.8944411277771,16.387513160705566,31.28195643424988
27,5,2,13,36904943.66935001,0.0634375,0.95,3494232573690.9414,16.060312747955322,17.593562602996826,33.65387964248657
28,5,2,14,36904943.66935001,0.0634375,0.95,4332297377795.9,17.30971670150757,18.90199494361877,36.21171426773071
29,5,3,0,35253089.233387224,0.0634375,0.95,4580243975680.648,1.221696376800537,2.256861448287964,3.4785594940185547
30,5,3,1,35253089.233387224,0.0634375,0.95,4730037543532.473,2.4311656951904297,3.4946563243865967,5.925825119018555
31,5,3,2,35253089.233387224,0.0634375,0.95,2818767355181.8774,3.5763869285583496,4.639559030532837,8.215948343276978
32,5,3,3,35842626.77126126,0.0634375,0.95,3499988722334.909,4.713601589202881,5.772138357162476,10.48574423789978
33,5,3,4,35842626.77126126,0.0634375,0.95,5853299882548.1,5.844361066818237,6.903421401977539,12.747787475585938
34,5,3,5,35842626.77126126,0.0634375,0.95,4502733816782.698,6.930699348449707,8.012322902679443,14.94302463531494
35,5,3,6,35842626.77126126,0.0634375,0.95,4413974565640.817,8.072392463684082,9.166507720947266,17.238903999328613
36,5,3,7,35842626.77126126,0.0634375,0.95,5490849186108.824,9.269361972808838,10.356534004211426,19.625899076461792
37,5,3,8,35842626.77126126,0.0634375,0.95,4755383620719.403,10.392490148544312,11.48326015472412,21.875753164291385
38,5,3,9,35842626.77126126,0.0634375,0.95,4228291674900.378,11.577840566635132,12.700591325759888,24.278436422348022
39,5,3,10,35842626.77126126,0.0634375,0.95,4608774860898.969,12.71543288230896,13.850950956344604,26.566386938095093
40,5,3,11,35842626.77126126,0.0634375,0.95,5760304315388.049,13.703331470489502,14.853593111038208,28.55692768096924
41,5,3,12,35842626.77126126,0.0634375,0.95,5075783757824.08,14.867981433868408,16.082682132720947,30.950668334960938
42,5,3,13,35842626.77126126,0.0634375,0.95,4331148519741.0186,16.060935258865356,17.318971157073975,33.379910945892334
43,5,3,14,35842626.77126126,0.0634375,0.95,5055663857633.648,17.176738023757935,18.49745321273804,35.6741943359375
44,5,4,0,34726060.979947455,0.0634375,0.95,6112226140254.308,1.2446250915527344,2.2923688888549805,3.536997079849243
45,5,4,1,34726060.979947455,0.0634375,0.95,3701108888334.1846,2.4273769855499268,3.4614663124084477,5.888847351074219
46,5,4,2,35138932.90900654,0.0634375,0.95,4743101487594.999,3.715547561645508,4.744145393371582,8.459697008132935
47,5,4,3,35138932.90900654,0.0634375,0.95,3812858588435.409,4.9431798458099365,6.003073453903198,10.94625735282898
48,5,4,4,35138932.90900654,0.0634375,0.95,5040589875354.566,6.036912202835083,7.112265348434448,13.149182081222534
49,5,4,5,35138932.90900654,0.0634375,0.95,6699573115990.832,7.37134861946106,8.454156875610352,15.825509548187256
50,5,4,6,35138932.90900654,0.0634375,0.95,4389869363683.085,8.405103206634521,9.524894714355469,17.930002450942993
51,5,4,7,35299347.66455197,0.0634375,0.95,5470177758397.793,9.682720422744753,10.854841709136965,20.53756594657898
52,5,4,8,35616967.40145948,0.0634375,0.95,6565757791397.549,10.772631406784058,11.9614679813385,22.73410558700561
53,5,4,9,35616967.40145948,0.0634375,0.95,5072853159834.485,11.94724178314209,13.10935878753662,25.05660343170166
54,5,4,10,35582624.039991826,0.0634375,0.95,5436650411638.115,13.191964864730837,14.36308217048645,27.555050134658813
55,5,4,11,35582624.039991826,0.0634375,0.95,4508513543855.58,14.22553300857544,15.440849542617798,29.66638493537903
56,5,4,12,36127993.99537907,0.0634375,0.95,5112270154727.48,15.352117538452148,16.56740093231201,31.919522285461422
57,5,4,13,36127993.99537907,0.0634375,0.95,5245581368546.162,16.51780366897583,17.796536445617676,34.31434369087219
58,5,4,14,36127993.99537907,0.0634375,0.95,5033925247511.685,17.665005207061768,18.977309226989743,36.64231705665589
59,5,5,0,36176217.498365335,0.0634375,0.95,3558539590157.6333,1.2079954147338867,2.3361306190490723,3.544130802154541
60,5,5,1,36176217.498365335,0.0634375,0.95,6437991387627.714,2.3800811767578125,3.521047115325928,5.90113091468811
61,5,5,2,36176217.498365335,0.0634375,0.95,6374953313842.07,3.528478145599365,4.664247751235962,8.192729949951172
62,5,5,3,36176217.498365335,0.0634375,0.95,4851707232854.676,4.6985251903533936,5.845660209655762,10.544187307357788
63,5,5,4,36176217.498365335,0.0634375,0.95,4537106903017.267,5.932141542434692,7.074329614639282,13.006474256515505
64,5,5,5,36176217.498365335,0.0634375,0.95,3842837223103.5537,7.07633113861084,8.242774486541748,15.319111347198486
65,5,5,6,36176217.498365335,0.0634375,0.95,3824783555263.77,8.278199434280396,9.464810371398926,17.74301290512085
66,5,5,7,36176217.498365335,0.0634375,0.95,4334223151177.991,9.415388345718384,10.631063461303713,20.04645419120789
67,5,5,8,36176217.498365335,0.0634375,0.95,6527404209213.947,10.727469205856323,11.971036911010742,22.698510885238647
68,5,5,9,36176217.498365335,0.0634375,0.95,4588077388094.806,11.980343103408812,13.252692461013794,25.233038902282715
69,5,5,10,36176217.498365335,0.0634375,0.95,5511092657037.142,12.975797653198242,14.2901508808136,27.265953302383423
70,5,5,11,36176217.498365335,0.0634375,0.95,4394624318385.119,14.218021392822266,15.562424898147585,29.780447959899902
71,5,5,12,36176217.498365335,0.0634375,0.95,5302263449533.276,15.426798582077026,16.793234825134277,32.220038414001465
72,5,5,13,36176217.498365335,0.0634375,0.95,5043764748067.233,16.562517881393433,17.95999765396118,34.52251935005188
73,5,5,14,36176217.498365335,0.0634375,0.95,4726191694532.806,17.68539571762085,19.12257671356201,36.80797481536865
74,5,6,0,35131345.78449108,0.0634375,0.95,5555956072310.895,1.1821422576904297,2.243844747543335,3.4259908199310303
75,5,6,1,35131345.78449108,0.0634375,0.95,3301873791429.504,2.3431177139282227,3.4202799797058105,5.76340126991272
76,5,6,2,35131345.78449108,0.0634375,0.95,5205006678485.806,3.556394338607788,4.660343885421753,8.216742277145386
77,5,6,3,35131345.78449108,0.0634375,0.95,5953774650849.888,4.714235305786133,5.849971055984497,10.564208507537842
78,5,6,4,36183052.34870144,0.0634375,0.95,4303392459801.676,5.792038440704346,6.949007749557495,12.741048574447632
79,5,6,5,36183052.34870144,0.0634375,0.95,4448800739038.45,7.083622694015503,8.230945587158203,15.314572095870972
80,5,6,6,36398386.20722851,0.0634375,0.95,4968435677139.379,8.210763454437256,9.386365413665771,17.59713053703308
81,5,6,7,36398386.20722851,0.0634375,0.95,4835174983644.667,9.35292673110962,10.546793937683104,19.899723768234253
82,5,6,8,36361631.8715233,0.0634375,0.95,7717453341443.137,10.5960111618042,11.839660882949827,22.435676097869877
83,5,6,9,36361631.8715233,0.0634375,0.95,5590079320560.179,11.666846513748167,12.946930170059204,24.61378002166748
84,5,6,10,36361631.8715233,0.0634375,0.95,5817706032862.688,12.828927040100098,14.147483587265016,26.97641324996948
85,5,6,11,36361631.8715233,0.0634375,0.95,5618608349572.935,13.982776880264282,15.332427501678469,29.315208911895752
86,5,6,12,36361631.8715233,0.0634375,0.95,4425455416701.762,15.122090101242064,16.53052067756653,31.652615547180176
87,5,6,13,36361631.8715233,0.0634375,0.95,6037161855344.107,16.293646812438965,17.785263299942017,34.07891249656677
88,5,6,14,36361631.8715233,0.0634375,0.95,5365390428208.965,17.548036575317383,19.05427384376526,36.602314710617065
89,5,7,0,36202435.44563721,0.0634375,0.95,5142580734147.275,1.1738553047180176,2.242191791534424,3.41604995727539
90,5,7,1,36202435.44563721,0.0634375,0.95,5079780389177.699,2.3447399139404297,3.392784595489502,5.737530469894409
91,5,7,2,36389923.7812261,0.0634375,0.95,4851718415527.215,3.483325958251953,4.5353193283081055,8.018651485443115
92,5,7,3,36480860.18422259,0.0634375,0.95,4876325473931.993,4.613623380661011,5.668061494827271,10.281687021255491
93,5,7,4,36480860.18422259,0.0634375,0.95,5952125397932.213,5.782765626907349,6.812731981277466,12.595500230789185
94,5,7,5,36480860.18422259,0.0634375,0.95,3015028123326.8965,6.984239816665649,7.99824595451355,14.982488632202148
95,5,7,6,36480860.18422259,0.0634375,0.95,5490129839773.213,8.12074613571167,9.151078462600708,17.271828413009644
96,5,7,7,36480860.18422259,0.0634375,0.95,2862252881691.7075,9.274265050888062,10.30643081665039,19.58070039749145
97,5,7,8,36480860.18422259,0.0634375,0.95,5771050089433.211,10.471792221069336,11.54780411720276,22.0195996761322
98,5,7,9,36480860.18422259,0.0634375,0.95,5682983953247.975,11.55145788192749,12.631399631500244,24.18286228179932
99,5,7,10,36480860.18422259,0.0634375,0.95,4798106528054.941,12.826186418533323,13.925936937332152,26.75212860107422
100,5,7,11,36480860.18422259,0.0634375,0.95,5532041657085.888,14.206333637237549,15.288141012191772,29.49447870254517
101,5,7,12,36480860.18422259,0.0634375,0.95,4097589447732.064,15.356099128723145,16.46678376197815,31.822885751724243
102,5,7,13,36480860.18422259,0.0634375,0.95,4408011578712.693,16.510959148406982,17.64351463317871,34.15447688102722
103,5,7,14,36480860.18422259,0.0634375,0.95,3157914015425.612,17.723037481307983,18.868149518966675,36.59119129180908
104,5,8,0,34644142.27249224,0.0634375,0.95,5395618296503.379,1.2029986381530762,2.224738121032715,3.427741050720215
105,5,8,1,35170340.73923062,0.0634375,0.95,4899523623352.301,2.3252577781677246,3.3641796112060547,5.689443111419678
106,5,8,2,35170340.73923062,0.0634375,0.95,5442077776986.853,3.6788830757141113,4.738338232040405,8.417224884033203
107,5,8,3,35170340.73923062,0.0634375,0.95,4488829452360.663,4.789637804031372,5.857514381408691,10.647156953811646
108,5,8,4,35170340.73923062,0.0634375,0.95,3622427657564.862,6.058987140655518,7.169450283050537,13.22844171524048
109,5,8,5,35788287.84306118,0.0634375,0.95,4167835666412.384,7.118193626403809,8.23177433013916,15.349972248077393
110,5,8,6,35788287.84306118,0.0634375,0.95,4423399125806.066,8.35507082939148,9.519864320755005,17.874940633773804
111,5,8,7,35788287.84306118,0.0634375,0.95,5003273209048.415,9.418161153793337,10.633994102478027,20.052157640457157
112,5,8,8,35788287.84306118,0.0634375,0.95,6271663306201.486,10.52214527130127,11.766101360321043,22.28825092315674
113,5,8,9,35788287.84306118,0.0634375,0.95,4618422595248.512,11.66567039489746,12.981226205825806,24.64690065383911
114,5,8,10,35788287.84306118,0.0634375,0.95,3533069760990.7383,12.811049699783323,14.18498969078064,26.996065139770508
115,5,8,11,35788287.84306118,0.0634375,0.95,5290290836866.675,14.104649066925049,15.53105878829956,29.63571190834045
116,5,8,12,35788287.84306118,0.0634375,0.95,5793765453657.428,15.1749005317688,16.63822317123413,31.81312775611877
117,5,8,13,35788287.84306118,0.0634375,0.95,5511059947954.606,16.376155853271484,17.903586626052856,34.27974605560303
118,5,8,14,35788287.84306118,0.0634375,0.95,3850747770563.152,17.408488988876343,18.997318983078003,36.40581226348877
119,5,9,0,35540052.65669111,0.0634375,0.95,6047005353353.446,1.1984214782714844,2.236379384994507,3.4348039627075195
120,5,9,1,35540052.65669111,0.0634375,0.95,5371479414672.823,2.382743120193481,3.4071803092956543,5.789925813674927
121,5,9,2,35540052.65669111,0.0634375,0.95,5798048108929.866,3.5337822437286377,4.560680150985718,8.094465494155884
122,5,9,3,35540052.65669111,0.0634375,0.95,3452650457764.345,4.587403774261475,5.622854709625244,10.210262775421144
123,5,9,4,35540052.65669111,0.0634375,0.95,5028230421715.621,5.777315855026245,6.815154552459717,12.59247374534607
124,5,9,5,35540052.65669111,0.0634375,0.95,3487513119190.071,6.751013278961182,7.771674633026123,14.522691011428831
125,5,9,6,35540052.65669111,0.0634375,0.95,4034638117013.928,8.086880207061768,9.092654466629028,17.17953896522522
126,5,9,7,35540052.65669111,0.0634375,0.95,4329772770839.49,9.26389503479004,10.346436738967896,19.61033344268799
127,5,9,8,35738368.89067098,0.0634375,0.95,3999221188756.334,10.392523288726808,11.464315176010132,21.856842041015625
128,5,9,9,35888890.35276054,0.0634375,0.95,7598665949955.003,11.67003583908081,12.765331268310549,24.435370922088623
129,5,9,10,35888890.35276054,0.0634375,0.95,5622919511010.686,12.882996797561646,13.97676682472229,26.859766006469727
130,5,9,11,35888890.35276054,0.0634375,0.95,4445054097746.159,13.86869478225708,14.953710317611694,28.822407245635983
131,5,9,12,35888890.35276054,0.0634375,0.95,4546714105293.921,14.9855375289917,16.082148790359497,31.067689418792725
132,5,9,13,36233470.10991922,0.0634375,0.95,3808390783413.959,16.18216609954834,17.275896072387695,33.458067893981934
133,5,9,14,36233470.10991922,0.0634375,0.95,4728833528611.013,17.30008864402771,18.3992018699646,35.69929480552673
134,5,10,0,34037376.051409,0.0634375,0.95,4037652930377.7305,1.207383632659912,2.178358554840088,3.3857452869415283
135,5,10,1,35767911.1983069,0.0634375,0.95,5338290522637.39,2.3407680988311768,3.32468318939209,5.6654558181762695
136,5,10,2,35767911.1983069,0.0634375,0.95,5076594841498.387,3.560887098312378,4.544931650161743,8.105821132659912
137,5,10,3,35767911.1983069,0.0634375,0.95,4659330432460.22,4.763816356658936,5.743358135223389,10.507177829742432
138,5,10,4,35767911.1983069,0.0634375,0.95,5906269196398.336,5.821958780288696,6.814032077789307,12.635994672775269
139,5,10,5,35767911.1983069,0.0634375,0.95,5184774511595.125,7.005367279052734,8.017902135848999,15.023272275924684
140,5,10,6,35767911.1983069,0.0634375,0.95,5284806000804.114,8.112337112426758,9.170238733291626,17.282577753067017
141,5,10,7,35767911.1983069,0.0634375,0.95,4057962378248.773,9.332573175430298,10.410869359970093,19.74344539642334
142,5,10,8,35767911.1983069,0.0634375,0.95,5537368813955.825,10.624725580215454,11.745035171508787,22.369765758514404
143,5,10,9,35767911.1983069,0.0634375,0.95,4074836651228.293,11.599451541900637,12.753446102142334,24.35290098190308
144,5,10,10,37079039.69831587,0.0634375,0.95,5511108611972.73,12.76843810081482,13.949193477630615,26.71763515472412
145,5,10,11,37079039.69831587,0.0634375,0.95,5646192020118.755,13.844521522521973,15.088163614273071,28.932690143585205
146,5,10,12,37079039.69831587,0.0634375,0.95,5460424830908.358,14.925602197647097,16.218591451644897,31.14419722557068
147,5,10,13,37079039.69831587,0.0634375,0.95,6910013028582.653,16.146519422531128,17.453782558441162,33.600306272506714
148,5,10,14,37079039.69831587,0.0634375,0.95,5347479091567.079,17.313567876815796,18.690842628479004,36.00441646575928
149,5,11,0,33800527.6432942,0.0634375,0.95,6209794469535.723,1.258455514907837,2.36258316040039,3.621042013168335
150,5,11,1,35561725.27615394,0.0634375,0.95,5851146246558.464,2.385173797607422,3.540860414505005,5.926038980484009
151,5,11,2,35561725.27615394,0.0634375,0.95,5831469666669.742,3.594558954238892,4.770026445388794,8.364588975906372
152,5,11,3,36061556.15851563,0.0634375,0.95,5906403715899.64,4.728127956390381,5.93198299407959,10.660115718841553
153,5,11,4,36061556.15851563,0.0634375,0.95,3504179397606.964,5.913185834884644,7.131408929824829,13.044598579406738
154,5,11,5,36248876.7636809,0.0634375,0.95,4641866393131.555,6.940201997756958,8.197109699249268,15.137315034866331
155,5,11,6,36248876.7636809,0.0634375,0.95,6116821373415.028,8.165456056594849,9.509480237960815,17.67493987083435
156,5,11,7,36248876.7636809,0.0634375,0.95,5030353067256.996,9.178940057754517,10.577597856521606,19.756540775299072
157,5,11,8,36248876.7636809,0.0634375,0.95,4619195894302.35,10.441713333129885,11.86742115020752,22.309138536453247
158,5,11,9,36248876.7636809,0.0634375,0.95,5179865562168.744,11.689591646194458,13.173962116241457,24.863556623458862
159,5,11,10,36248876.7636809,0.0634375,0.95,5085603328834.867,12.707300424575806,14.261366605758669,26.968669652938843
160,5,11,11,36248876.7636809,0.0634375,0.95,3870610615440.976,13.800673484802246,15.393404245376589,29.194082975387573
161,5,11,12,36248876.7636809,0.0634375,0.95,7346343595839.634,14.962661981582642,16.589589595794678,31.552255630493164
162,5,11,13,36212606.71662378,0.0634375,0.95,5678136590428.934,16.039417266845703,17.720902919769287,33.76032567024231
163,5,11,14,36212606.71662378,0.0634375,0.95,4282119112940.7793,17.364495038986206,19.12195897102356,36.48645806312561
164,5,12,0,34711815.741597086,0.0634375,0.95,5088951604344.023,1.2840533256530762,2.3047127723693848,3.5887701511383057
165,5,12,1,34711815.741597086,0.0634375,0.95,4895578309192.118,2.44083833694458,3.4788737297058105,5.919715404510498
166,5,12,2,34711815.741597086,0.0634375,0.95,3895065822303.7593,3.5695114135742188,4.62233829498291,8.191853046417236
167,5,12,3,34711815.741597086,0.0634375,0.95,4538896286261.746,4.671166658401489,5.746639966964722,10.417809963226318
168,5,12,4,35196816.68485111,0.0634375,0.95,4803023327301.256,5.857459306716919,6.95107889175415,12.808541297912598
169,5,12,5,35702675.422748454,0.0634375,0.95,3982584955601.6855,6.898046493530273,8.013290643692017,14.911340475082396
170,5,12,6,35702675.422748454,0.0634375,0.95,5076106687510.477,8.214746475219727,9.373875856399536,17.58862543106079
171,5,12,7,36425413.89553936,0.0634375,0.95,4213484317247.271,9.384214401245115,10.601238012313845,19.98545503616333
172,5,12,8,36425413.89553936,0.0634375,0.95,4912393287795.351,10.389670133590698,11.657962322235107,22.047635793685917
173,5,12,9,36425413.89553936,0.0634375,0.95,6581345206639.131,11.609547853469849,12.94109034538269,24.550642251968384
174,5,12,10,36425413.89553936,0.0634375,0.95,5894347131261.856,12.725306034088137,14.097047090530396,26.822355031967163
175,5,12,11,36425413.89553936,0.0634375,0.95,4971807346573.195,14.042243242263794,15.457399845123293,29.499647855758667
176,5,12,12,36425413.89553936,0.0634375,0.95,4523940541528.282,15.107089519500732,16.579476833343506,31.68656897544861
177,5,12,13,36425413.89553936,0.0634375,0.95,6336267056736.074,16.355714797973633,17.88387179374695,34.23959040641785
178,5,12,14,36425413.89553936,0.0634375,0.95,5127728972654.145,17.40166473388672,18.96026301383972,36.36193013191223
179,5,13,0,36368929.35263738,0.0634375,0.95,6806964411121.938,1.272458791732788,2.36174750328064,3.63420844078064
180,5,13,1,36368929.35263738,0.0634375,0.95,3703084272711.217,2.541222095489502,3.630831241607666,6.172054767608643
181,5,13,2,36368929.35263738,0.0634375,0.95,3973822231255.5454,3.7430202960968018,4.82532000541687,8.568341970443726
182,5,13,3,36368929.35263738,0.0634375,0.95,4282693172575.935,4.86687159538269,5.958420276641846,10.825293779373167
183,5,13,4,36368929.35263738,0.0634375,0.95,5153988006191.866,6.19566798210144,7.291130542755127,13.486800909042358
184,5,13,5,36368929.35263738,0.0634375,0.95,4277904022700.132,7.350355863571167,8.464682817459106,15.815041780471802
185,5,13,6,36368929.35263738,0.0634375,0.95,4996232085010.617,8.557039260864258,9.707919359207152,18.26497054100037
186,5,13,7,36368929.35263738,0.0634375,0.95,2764505247944.5825,9.81692361831665,10.998427867889404,20.8153555393219
187,5,13,8,36368929.35263738,0.0634375,0.95,4087339862427.956,10.91119909286499,12.1372652053833,23.04846715927124
188,5,13,9,36368929.35263738,0.0634375,0.95,3635092978312.844,12.159382343292236,13.424456596374512,25.58384108543396
189,5,13,10,36368929.35263738,0.0634375,0.95,6365338063121.05,13.350719928741457,14.65585470199585,28.00657868385315
190,5,13,11,36368929.35263738,0.0634375,0.95,3721669523048.6895,14.477514505386353,15.820924520492554,30.29844093322754
191,5,13,12,36368929.35263738,0.0634375,0.95,3822787778634.5664,15.656843185424805,17.043081521987915,32.69992661476135
