,heuristic_param,seed,n_gen,score,accuracy,variance,update,elapsed_time_proc,elapsed_time_acc,elapsed_time
0,0.8,1,0,35323760.339758955,0.0889552977577175,5185581819652.423,True,1.4710540771484375,1.3392043113708496,2.810258388519287
1,0.8,1,1,35323760.339758955,0.0889552977577175,5752926671519.933,False,3.053744077682495,1.3392043113708496,4.392948389053345
2,0.8,1,2,35323760.339758955,0.0889552977577175,3621468077602.4136,False,4.479906797409058,1.3392043113708496,5.819111108779907
3,0.8,1,3,35323760.339758955,0.0889552977577175,4887392491073.804,False,5.952906847000122,1.3392043113708496,7.292111158370972
4,0.8,1,4,35784749.53944766,0.0889552977577175,4770262562229.561,False,7.469946622848511,1.3392043113708496,8.80915093421936
5,0.8,1,5,35784749.53944766,0.0889552977577175,5983863856363.612,False,8.89761233329773,1.3392043113708496,10.23681664466858
6,0.8,1,6,35784749.53944766,0.0889552977577175,4777131196061.841,False,10.430930137634276,1.3392043113708496,11.770134449005129
7,0.8,1,7,35784749.53944766,0.0889552977577175,4203925413448.756,False,11.74126672744751,1.3392043113708496,13.08047103881836
8,0.8,1,8,35784749.53944766,0.0889552977577175,3280246127355.7886,False,13.380157947540283,1.3392043113708496,14.719362258911133
9,0.8,1,9,35947790.98403098,0.0889552977577175,4993683723122.43,False,14.966511964797974,1.3392043113708496,16.305716276168823
10,0.8,1,10,35947790.98403098,0.0889552977577175,4684491445688.025,True,16.420298099517822,2.4284634590148926,18.848761558532715
11,0.8,1,11,36324903.60822857,0.0889552977577175,4598118337606.461,False,17.746560096740723,2.4284634590148926,20.17502355575561
12,0.8,1,12,36324903.60822857,0.0889552977577175,6820271467602.08,False,18.956855297088623,2.4284634590148926,21.38531875610352
13,0.8,1,13,36324903.60822857,0.0889552977577175,5055373968285.458,False,20.19513940811157,2.4284634590148926,22.623602867126465
14,0.8,1,14,36324903.60822857,0.0889552977577175,4314611905246.4014,False,21.60135698318481,2.4284634590148926,24.029820442199707
15,0.8,1,15,36324903.60822857,0.0889552977577175,2961934765365.0493,False,22.989468812942505,2.4284634590148926,25.4179322719574
16,0.8,1,16,36324903.60822857,0.0889552977577175,4250404508034.714,False,24.381563425064087,2.4284634590148926,26.81002688407898
17,0.8,1,17,36324903.60822857,0.0889552977577175,3397056971782.4688,False,25.43532633781433,2.4284634590148926,27.863789796829224
18,0.8,1,18,36324903.60822857,0.0889552977577175,5853529118728.503,False,26.79817032814026,2.4284634590148926,29.22663378715515
19,0.8,1,19,36324903.60822857,0.0889552977577175,4638647129209.56,False,28.125662326812744,2.4284634590148926,30.55412578582764
20,0.8,1,20,36324903.60822857,0.0889552977577175,3780276963694.873,False,29.22506856918335,2.4284634590148926,31.65353202819824
21,0.8,1,21,36324903.60822857,0.0889552977577175,4887673248135.598,True,30.55509376525879,3.5504982471466064,34.1055920124054
22,0.8,1,22,36324903.60822857,0.0889552977577175,4539052901645.388,False,31.91032838821411,3.5504982471466064,35.46082663536072
23,0.8,1,23,36324903.60822857,0.0889552977577175,3942163508665.716,False,33.276015520095825,3.5504982471466064,36.82651376724243
24,0.8,1,24,36324903.60822857,0.0889552977577175,2775921662066.9136,False,34.5889778137207,3.5504982471466064,38.13947606086731
25,0.8,1,25,36324903.60822857,0.0889552977577175,6047850973217.725,False,35.853395223617554,3.5504982471466064,39.40389347076416
26,0.8,1,26,36324903.60822857,0.0889552977577175,4767947604867.227,False,37.184263944625854,3.5504982471466064,40.73476219177246
27,0.8,2,0,35309448.70464581,0.0889552977577175,4925413999364.69,True,1.3936803340911863,1.162207841873169,2.5558881759643555
28,0.8,2,1,35309448.70464581,0.0889552977577175,3673858602567.342,False,2.633709669113159,1.162207841873169,3.795917510986328
29,0.8,2,2,35309448.70464581,0.0889552977577175,5100069592825.475,False,3.87299919128418,1.162207841873169,5.035207033157349
30,0.8,2,3,35309448.70464581,0.0889552977577175,4525360248506.211,False,5.158747911453247,1.162207841873169,6.320955753326416
31,0.8,2,4,35309448.70464581,0.0889552977577175,5247550019820.731,False,6.508348226547241,1.162207841873169,7.67055606842041
32,0.8,2,5,35404005.431255855,0.0889552977577175,4470654203372.065,False,7.672693729400635,1.162207841873169,8.834901571273804
33,0.8,2,6,35367196.38575882,0.0889552977577175,5178349994282.916,False,8.978552103042603,1.162207841873169,10.140759944915771
34,0.8,2,7,35367196.38575882,0.0889552977577175,5865192481778.789,False,10.383262872695925,1.162207841873169,11.545470714569092
35,0.8,2,8,35367196.38575882,0.0889552977577175,4313701531932.272,False,11.48558259010315,1.162207841873169,12.647790431976318
