,heuristic_param,seed,n_gen,score,accuracy,variance,elapsed_time_proc,elapsed_time_acc,elapsed_time
0,0.8,1,0,35323760.339758955,0.0965524608436609,5185581819652.425,1.3593182563781738,1.3531925678253174,2.712510824203491
1,0.8,1,1,35323760.339758955,0.0965524608436609,5752926671519.937,2.618968725204468,1.3531925678253174,3.972161293029785
2,0.8,1,2,35323760.339758955,0.0965524608436609,3621468077602.416,3.726840019226074,1.3531925678253174,5.080032587051392
3,0.8,1,3,35323760.339758955,0.0965524608436609,4887392491073.802,4.834530591964722,1.3531925678253174,6.187723159790039
4,0.8,1,4,35784749.53944766,0.0965524608436609,4770262562229.566,5.869327783584595,1.3531925678253174,7.222520351409912
5,0.8,1,5,35784749.53944766,0.0965524608436609,5983863856363.603,6.966040134429932,2.371955633163452,9.337995767593384
6,0.8,1,6,35784749.53944766,0.0965524608436609,4777131196061.847,8.080919742584229,2.371955633163452,10.45287537574768
7,0.8,1,7,35784749.53944766,0.0965524608436609,4203925413448.755,9.159239292144775,2.371955633163452,11.531194925308228
8,0.8,1,8,35784749.53944766,0.0965524608436609,3280246127355.787,10.235436916351318,2.371955633163452,12.60739254951477
9,0.8,1,9,35947790.98403098,0.0965524608436609,4993683723122.437,11.314823389053345,2.371955633163452,13.686779022216797
10,0.8,1,10,35947790.98403098,0.0965524608436609,4684491445688.017,12.594034910202026,3.219651699066162,15.813686609268188
11,0.8,1,11,36324903.60822857,0.0965524608436609,4598118337606.462,13.781248569488524,3.219651699066162,17.000900268554688
12,0.8,1,12,36324903.60822857,0.0965524608436609,6820271467602.088,15.07776975631714,3.219651699066162,18.2974214553833
13,0.8,1,13,36324903.60822857,0.0965524608436609,5055373968285.458,16.153231859207153,3.219651699066162,19.372883558273315
14,0.8,1,14,36324903.60822857,0.0965524608436609,4314611905246.4033,17.287524700164795,3.219651699066162,20.50717639923096
15,0.8,1,15,36324903.60822857,0.0965524608436609,2961934765365.0474,18.370230436325077,4.228578805923462,22.59880924224853
16,0.8,1,16,36324903.60822857,0.0965524608436609,4250404508034.712,19.634334564208984,4.228578805923462,23.862913370132446
17,0.8,1,17,36324903.60822857,0.0965524608436609,3397056971782.4663,20.74822998046875,4.228578805923462,24.97680878639221
18,0.8,1,18,36324903.60822857,0.0965524608436609,5853529118728.501,21.829992294311523,4.228578805923462,26.058571100234985
19,0.8,1,19,36324903.60822857,0.0965524608436609,4638647129209.563,22.962589502334595,4.228578805923462,27.191168308258057
20,0.8,1,20,36324903.60822857,0.0965524608436609,3780276963694.8687,24.015992164611816,5.2668845653533936,29.28287672996521
21,0.8,1,21,36324903.60822857,0.0965524608436609,4887673248135.593,25.145453453063965,5.2668845653533936,30.41233801841736
22,0.8,1,22,36324903.60822857,0.0965524608436609,4539052901645.385,26.199594497680664,5.2668845653533936,31.466479063034058
23,0.8,1,23,36324903.60822857,0.0965524608436609,3942163508665.719,27.25383734703064,5.2668845653533936,32.52072191238403
24,0.8,1,24,36324903.60822857,0.0965524608436609,2775921662066.9126,28.34490656852722,5.2668845653533936,33.611791133880615
25,0.8,1,25,36324903.60822857,0.0965524608436609,6047850973217.723,29.42570233345032,6.2828209400177,35.70852327346802
26,0.8,1,26,36324903.60822857,0.0965524608436609,4767947604867.231,30.505183935165405,6.2828209400177,36.78800487518311
27,0.8,2,0,35309448.70464581,0.0965524608436609,4925413999364.687,1.126945972442627,0.991868019104004,2.118813991546631
28,0.8,2,1,35309448.70464581,0.0965524608436609,3673858602567.3394,2.270015239715576,0.991868019104004,3.26188325881958
29,0.8,2,2,35309448.70464581,0.0965524608436609,5100069592825.47,3.3529257774353027,0.991868019104004,4.344793796539307
30,0.8,2,3,35309448.70464581,0.0965524608436609,4525360248506.216,4.449198722839356,0.991868019104004,5.441066741943359
31,0.8,2,4,35309448.70464581,0.0965524608436609,5247550019820.73,5.56065821647644,0.991868019104004,6.552526235580444
32,0.8,2,5,35404005.431255855,0.0965524608436609,4470654203372.063,6.6478431224823,1.9160778522491453,8.563920974731445
33,0.8,2,6,35367196.38575882,0.0965524608436609,5178349994282.911,7.754287719726562,1.9160778522491453,9.670365571975708
